category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),nMAE,nRMSE
120,6vD1_Lancher-AverageValueNaive-30Seed/260428_073303/120/forecast_Wh_metrics_120d.json,[1.0116910797101426],[18.485974132546364],[1.2397970041239448],[0.9392607682814269],[-2.9360104778926064],[1.0671171908060155],[21.307365665779653],[0.18506532856567942],[0.23775757525471064]
60,6vD1_Lancher-AverageValueNaive-30Seed/260428_073303/60/forecast_Wh_metrics_60d.json,[0.7663765533875918],[13.675370117591731],[1.0427123258899285],[1.026394878655528],[-2.307879890458906],[0.8317803997705009],[15.078060173599289],[0.14399891046527288],[0.17342548328122204]
90,6vD1_Lancher-AverageValueNaive-30Seed/260428_073303/90/forecast_Wh_metrics_90d.json,[0.5808419797979768],[11.714839782037371],[0.75756028573278],[0.8699751165327911],[-0.5508870252468474],[0.6045841006166166],[10.881402231627511],[0.10998608311591987],[0.13246352459781888]
120,6vD1_Lancher-AverageValueNaive-30Seed/260428_073431/120/forecast_Wh_metrics_120d.json,[1.0116910797101426],[18.485974132546364],[1.2397970041239448],[0.9392607682814269],[-2.9360104778926064],[1.0671171908060155],[21.307365665779653],[0.18506532856567942],[0.23775757525471064]
60,6vD1_Lancher-AverageValueNaive-30Seed/260428_073431/60/forecast_Wh_metrics_60d.json,[0.7663765533875918],[13.675370117591731],[1.0427123258899285],[1.026394878655528],[-2.307879890458906],[0.8317803997705009],[15.078060173599289],[0.14399891046527288],[0.17342548328122204]
90,6vD1_Lancher-AverageValueNaive-30Seed/260428_073431/90/forecast_Wh_metrics_90d.json,[0.5808419797979768],[11.714839782037371],[0.75756028573278],[0.8699751165327911],[-0.5508870252468474],[0.6045841006166166],[10.881402231627511],[0.10998608311591987],[0.13246352459781888]
120,6vD1_Lancher-AverageValueNaive-30Seed/260428_073529/120/forecast_Wh_metrics_120d.json,[1.0116910797101426],[18.485974132546364],[1.2397970041239448],[0.9392607682814269],[-2.9360104778926064],[1.0671171908060155],[21.307365665779653],[0.18506532856567942],[0.23775757525471064]
60,6vD1_Lancher-AverageValueNaive-30Seed/260428_073529/60/forecast_Wh_metrics_60d.json,[0.7663765533875918],[13.675370117591731],[1.0427123258899285],[1.026394878655528],[-2.307879890458906],[0.8317803997705009],[15.078060173599289],[0.14399891046527288],[0.17342548328122204]
90,6vD1_Lancher-AverageValueNaive-30Seed/260428_073529/90/forecast_Wh_metrics_90d.json,[0.5808419797979768],[11.714839782037371],[0.75756028573278],[0.8699751165327911],[-0.5508870252468474],[0.6045841006166166],[10.881402231627511],[0.10998608311591987],[0.13246352459781888]
120,6vD1_Lancher-AverageValueNaive-30Seed/260428_073652/120/forecast_Wh_metrics_120d.json,[1.0116910797101426],[18.485974132546364],[1.2397970041239448],[0.9392607682814269],[-2.9360104778926064],[1.0671171908060155],[21.307365665779653],[0.18506532856567942],[0.23775757525471064]
60,6vD1_Lancher-AverageValueNaive-30Seed/260428_073652/60/forecast_Wh_metrics_60d.json,[0.7663765533875918],[13.675370117591731],[1.0427123258899285],[1.026394878655528],[-2.307879890458906],[0.8317803997705009],[15.078060173599289],[0.14399891046527288],[0.17342548328122204]
90,6vD1_Lancher-AverageValueNaive-30Seed/260428_073652/90/forecast_Wh_metrics_90d.json,[0.5808419797979768],[11.714839782037371],[0.75756028573278],[0.8699751165327911],[-0.5508870252468474],[0.6045841006166166],[10.881402231627511],[0.10998608311591987],[0.13246352459781888]
120,6vD1_Lancher-AverageValueNaive-30Seed/260428_073800/120/forecast_Wh_metrics_120d.json,[1.0116910797101426],[18.485974132546364],[1.2397970041239448],[0.9392607682814269],[-2.9360104778926064],[1.0671171908060155],[21.307365665779653],[0.18506532856567942],[0.23775757525471064]
60,6vD1_Lancher-AverageValueNaive-30Seed/260428_073800/60/forecast_Wh_metrics_60d.json,[0.7663765533875918],[13.675370117591731],[1.0427123258899285],[1.026394878655528],[-2.307879890458906],[0.8317803997705009],[15.078060173599289],[0.14399891046527288],[0.17342548328122204]
90,6vD1_Lancher-AverageValueNaive-30Seed/260428_073800/90/forecast_Wh_metrics_90d.json,[0.5808419797979768],[11.714839782037371],[0.75756028573278],[0.8699751165327911],[-0.5508870252468474],[0.6045841006166166],[10.881402231627511],[0.10998608311591987],[0.13246352459781888]
120,6vD1_Lancher-AverageValueNaive-30Seed/260428_073900/120/forecast_Wh_metrics_120d.json,[1.0116910797101426],[18.485974132546364],[1.2397970041239448],[0.9392607682814269],[-2.9360104778926064],[1.0671171908060155],[21.307365665779653],[0.18506532856567942],[0.23775757525471064]
60,6vD1_Lancher-AverageValueNaive-30Seed/260428_073900/60/forecast_Wh_metrics_60d.json,[0.7663765533875918],[13.675370117591731],[1.0427123258899285],[1.026394878655528],[-2.307879890458906],[0.8317803997705009],[15.078060173599289],[0.14399891046527288],[0.17342548328122204]
90,6vD1_Lancher-AverageValueNaive-30Seed/260428_073900/90/forecast_Wh_metrics_90d.json,[0.5808419797979768],[11.714839782037371],[0.75756028573278],[0.8699751165327911],[-0.5508870252468474],[0.6045841006166166],[10.881402231627511],[0.10998608311591987],[0.13246352459781888]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_070912/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_070927/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_070941/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_070955/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071009/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071024/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071038/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071053/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071110/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071124/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071138/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071152/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071206/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071220/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071234/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071248/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071302/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071316/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
30,6vD1_Lancher-AverageValueNaive_G5_30d-30Seed/260428_071331/30/forecast_Wh_metrics_30d.json,[0.47707647028711897],[8.360702230904677],[0.6673292459316205],[0.6416489442112042],[-0.38581179663008824],[0.5455165762479605],[8.76752982196836],[0.08736563953278391],[0.1069369994541951]
