,Wh
2025-12-11,5.80887712495669
2025-12-12,5.809942122157561
2025-12-13,5.81021578841808
2025-12-14,5.806951755378911
2025-12-15,5.803633197515825
2025-12-16,5.800521384423614
2025-12-17,5.793185624416083
2025-12-18,5.792119016914204
2025-12-19,5.789358412459382
2025-12-20,5.786698463108433
2025-12-21,5.784123395130983
2025-12-22,5.781570206474622
2025-12-23,5.779037237592761
2025-12-24,5.776527380268829
2025-12-25,5.833204966084371
2025-12-26,5.82967807587428
2025-12-27,5.826196580452638
2025-12-28,5.822761114269242
2025-12-29,5.819372031171549
2025-12-30,5.8160285923062345
2025-12-31,5.812730046044568
2026-01-01,5.887493092597887
2026-01-02,5.883956184082796
2026-01-03,5.880449405580915
2026-01-04,5.876972721563593
2026-01-05,5.873526111086634
2026-01-06,5.870109562654425
2026-01-07,5.86672305512612
2026-01-08,5.863366557632147
2026-01-09,5.861389516864137
2026-01-10,5.859413416302581
2026-01-11,5.857438481634538
2026-01-12,5.855464936820915
2026-01-13,5.853493004350676
2026-01-14,5.8515229054020965
2026-01-15,5.849554859671231
2026-01-16,5.847589085202174
2026-01-17,5.845649140635795
2026-01-18,5.84373433520108
2026-01-19,5.841843996581692
2026-01-20,5.839977470540879
2026-01-21,5.838134120557517
2026-01-22,5.8363133274715056
2026-01-23,5.834514489132573
2026-01-24,5.832737020052483
2026-01-25,5.830980754820151
2026-01-26,5.8292455213628935
2026-01-27,5.827531141356609
2026-01-28,5.825837430622624
2026-01-29,5.824164199511624
2026-01-30,5.822511253275035
2026-01-31,5.820878392424156
2026-02-01,5.819265413077281
2026-02-02,5.817672114279035
2026-02-03,5.816098297811917
2026-02-04,5.814543768018422
2026-02-05,5.813008331633346
2026-02-06,5.811491797625828
2026-02-07,5.809993977050787
2026-02-08,5.808514682909354
2026-02-09,5.807053730017927
2026-02-10,5.805610935006328
2026-02-11,5.80418611631292
2026-02-12,5.802779094176959
2026-02-13,5.801389690628372
2026-02-14,5.80001772947519
2026-02-15,5.798663036288834
2026-02-16,5.797325438387429
2026-02-17,5.796004764817359
2026-02-18,5.7947008463352825
2026-02-19,5.793413515390597
2026-02-20,5.792142606108235
2026-02-21,5.790887954271802
2026-02-22,5.789649397306957
2026-02-23,5.7884267742650195
2026-02-24,5.787219925806757
2026-02-25,5.786028694186317
2026-02-26,5.784852923235306
2026-02-27,5.783692458347017
2026-02-28,5.782547146460817
2026-03-01,5.7814168360466835
2026-03-02,5.780301377089898
2026-03-03,5.779200621075884
2026-03-04,5.778114420975219
2026-03-05,5.777042631228767
2026-03-06,5.7759851077329865
2026-03-07,5.774941707825373
2026-03-08,5.773912290270043
2026-03-09,5.772896715243473
2026-03-10,5.771894844320376
