category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
30,260506_052523/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260506_052523/60/forecast_Wh_metrics_60d.json,[1.200945666666666],[21.8621123830412],[1.6339759401852607],[1.6084057848085154],[-5.600213927721039],[1.1749322442544268],[24.933454257309023],"[""2025-12-30T00:00:00""]",[4.57906],[0.22565260740764023],[0.2449723416646217]
90,260506_052523/90/forecast_Wh_metrics_90d.json,[0.8855651326657478],[17.97055121372787],[1.1549939540709278],[1.3263842082423534],[-2.3306289833694938],[0.8859919358967834],[15.970970664586165],"[""2025-11-30T00:00:00""]",[5.85374],[0.16768732921097107],[0.1941195848095168]
120,260506_074550/120/forecast_Wh_metrics_120d.json,[0.6916746666666665],[13.758560246345622],[0.8476265104635025],[0.642155388975325],[-0.615109477787184],[0.6835731191215465],[12.518315867397344],"[""2025-10-31T00:00:00""]",[6.54126],[0.12652577650867283],[0.15230256687072968]
30,260506_074550/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260506_074550/60/forecast_Wh_metrics_60d.json,[1.4434294382987491],[26.278921931790073],[1.9638931543685845],[1.9331601112034338],[-9.070884262817204],[1.4513348335247116],[31.24532343290148],"[""2025-12-30T00:00:00""]",[4.57906],[0.2712142817127656],[0.30260203892318444]
90,260506_074550/90/forecast_Wh_metrics_90d.json,[0.8740080967741937],[17.721062023515792],[1.1399207470426154],[1.3090742788704692],[-2.2204787861478916],[0.8712180446114742],[15.789233169106184],"[""2025-11-30T00:00:00""]",[5.85374],[0.16549893175632385],[0.19088264604503205]
120,260506_094838/120/forecast_Wh_metrics_120d.json,[2.0258232582775966],[37.007669360096166],[2.4825855015117546],[1.880787869076951],[-11.093523872985482],[1.870511688830985],[48.542726334163625],"[""2025-10-31T00:00:00""]",[6.54126],[0.3705771993329754],[0.4167567793431726]
30,260506_094838/30/forecast_Wh_metrics_30d.json,[0.45360433333333317],[8.14147525429837],[0.6344966825391171],[0.6100798502969448],[-0.10579836840416523],[0.4872970667518958],[8.322237490100395],"[""2026-01-29T00:00:00""]",[4.72749],[0.08306725471633208],[0.0955242946414008]
60,260506_094838/60/forecast_Wh_metrics_60d.json,[0.7806276666666668],[13.917182957901883],[1.062102025911492],[1.0454811484795796],[-2.4958794557693307],[0.8550904200965435],[15.431661752413081],"[""2025-12-30T00:00:00""]",[4.57906],[0.14667663432834377],[0.17828560205951305]
90,260506_094838/90/forecast_Wh_metrics_90d.json,[4.906668712209782],[92.85411775344625],[6.3994984537973325],[7.349123915212186],[-76.95310861358426],[4.286307852810602],[174.7566943631967],"[""2025-11-30T00:00:00""]",[5.85374],[0.9291085898975312],[0.9391240112261006]
