column,corr_with_Wh,abs_corr,weight
cos_DOY_k1_roll7,-0.7362885881253476,0.7362885881253476,0.02035715564687718
cos_DOY_k1,-0.7111596022685549,0.7111596022685549,0.019662380955831966
dayofyear_cos,-0.7109365119111959,0.7109365119111959,0.01965621287825842
Wh_roll_mean_7,0.6795317008437725,0.6795317008437725,0.01878792205144002
Wh_roll_mean_14,0.6760640790741853,0.6760640790741853,0.018692048073184135
Wh_lag1,0.6708342431013912,0.6708342431013912,0.018547451801256474
Wh_roll_mean_30,0.6659541597045368,0.6659541597045368,0.018412525606715763
Td dew point_roll7,0.592651055609192,0.592651055609192,0.016385816618508367
TxSoil0cm_roll7,0.58632909734524,0.58632909734524,0.016211024980490447
Temperature_roll7,0.5860178318268848,0.5860178318268848,0.016202419006274827
T Min_roll7,0.5849867054956521,0.5849867054956521,0.01617391007709267
TxSoil0cm,0.5817171640111032,0.5817171640111032,0.016083512689480904
TxSoil10cm,0.5809291433297757,0.5809291433297757,0.016061725227442977
TxSoil10cm_roll7,0.5793238575454528,0.5793238575454528,0.016017341743716326
T Min,0.5788934951781147,0.5788934951781147,0.016005442939581976
Temperature,0.5780232907372154,0.5780232907372154,0.015981383233192807
TxSoil5cm_roll7,0.5737575103148094,0.5737575103148094,0.015863441494837986
Wh_lag7,0.5734437497517789,0.5734437497517789,0.015854766536784207
Wh_lag14,0.5729535419928607,0.5729535419928607,0.015841213107044092
TxSoil5cm,0.5686129081958696,0.5686129081958696,0.01572120179729879
TxSoil20cm,0.5636287284006953,0.5636287284006953,0.015583397510367332
DHT11_temp_roll7,0.5610805278622795,0.5610805278622795,0.015512944000946435
TxSoil20cm_roll7,0.555410082626785,0.555410082626785,0.015356165615259433
DHT11_humidity_roll7,0.5552379615162057,0.5552379615162057,0.015351406752641317
T Max_roll7,0.5542182094685133,0.5542182094685133,0.015323212303493393
TxSoil30cm,0.5534065273956449,0.5534065273956449,0.015300770643307903
DHT11_temp,0.5533322378471283,0.5533322378471283,0.015298716660771056
Wh_lag30,0.5475923291953897,0.5475923291953897,0.015140017727082835
TxSoil50cm,0.5436656358692423,0.5436656358692423,0.015031451183329304
TxSoil30cm_roll7,0.5416066427789957,0.5416066427789957,0.01497452344671897
Td dew point,0.53736471955588,0.53736471955588,0.014857241320270519
TxSoil50cm_roll7,0.524561251729623,0.524561251729623,0.014503246716031825
Wh_roll_std_30,0.5063609646824762,0.5063609646824762,0.014000039030605177
T Max,0.5031291596805182,0.5031291596805182,0.013910684994013734
season_spring_roll7,0.49779485119544215,0.49779485119544215,0.013763200230769428
UVI Max_roll7,0.48171382025287274,0.48171382025287274,0.01331858645413379
TxSoil100cm,0.475375642790919,0.475375642790919,0.013143346382249699
Wh_roll_std_14,0.46255077309937936,0.46255077309937936,0.01278876005200884
season_summer_roll7,0.4424528559052579,0.4424528559052579,0.012233086047145509
season_summer,0.4412724851965073,0.4412724851965073,0.012200450758990044
TxSoil100cm_roll7,0.4373608875762221,0.4373608875762221,0.012092301586412425
UVI Max,0.4326912617758038,0.4326912617758038,0.011963194194603162
DHT11_humidity,0.43242595085828855,0.43242595085828855,0.01195585878871778
RHMin_roll7,0.4321998417654386,0.4321998417654386,0.011949607248125469
SunshineRate_roll7,-0.4217401087498285,0.4217401087498285,0.011660413015785546
season_spring,0.4083868776454929,0.4083868776454929,0.011291218370691573
Wh_roll_std_7,0.39361704443463663,0.39361704443463663,0.010882857031943471
month_6_roll7,0.39074213285632753,0.39074213285632753,0.010803370505309048
month_5,0.38520708589086966,0.38520708589086966,0.010650335656737663
month_5_roll7,0.3842621424005468,0.3842621424005468,0.010624209539858704
month_12_roll7,-0.38070870145985103,0.38070870145985103,0.010525962804165153
RH_roll7,0.36797479452116005,0.36797479452116005,0.01017389144284772
month_6,0.35622060871721356,0.35622060871721356,0.009848907742472187
Cloud Amount Sat_roll7,0.33699943550703526,0.33699943550703526,0.00931747425149355
month_12,-0.3261368962714234,0.3261368962714234,0.009017143096690949
PrecpMax10_roll7,0.32266178389339045,0.32266178389339045,0.00892106201556198
month_4_roll7,0.32173407784554725,0.32173407784554725,0.00889541248531654
GloblRad_roll7,0.3176200720741095,0.3176200720741095,0.008781667063790258
PrecpHour_roll7,0.30820668202750934,0.30820668202750934,0.008521402475374851
SunshineRate,-0.3032724613858488,0.3032724613858488,0.008384979475998935
month_2_roll7,-0.2671960244415567,0.2671960244415567,0.007387525958581828
sin_DOY_k1_roll7,0.25894913140516285,0.25894913140516285,0.007159513073617167
month_2,-0.2516232425225318,0.2516232425225318,0.006956964422666111
SunShine_roll7,-0.24436710634854905,0.24436710634854905,0.006756344318170405
Cloud Amount Sat,0.2440272925744783,0.2440272925744783,0.00674694903213545
GloblRad,0.2425329736068607,0.2425329736068607,0.006705633596448304
RHMin,0.22082187371339998,0.22082187371339998,0.0061053577712838975
season_autumn_roll7,-0.21980208703618928,0.21980208703618928,0.006077162364687353
Precp_roll7,0.21052137519319425,0.21052137519319425,0.005820566108071867
sin_DOY_k2_roll7,-0.20833458372717864,0.20833458372717864,0.005760104958790324
sin_DOY_k2,-0.19188787313327588,0.19188787313327588,0.005305380747606131
SunShine,-0.18770775716987698,0.18770775716987698,0.005189807489156523
month_8_roll7,0.18671803547639776,0.18671803547639776,0.005162443329387939
LM35_tempC,0.1687189627125366,0.1687189627125366,0.0046647988844478105
month_8,0.16542914488650617,0.16542914488650617,0.004573840889696205
season_autumn,-0.16486059362893954,0.16486059362893954,0.004558121392436333
dayofyear_sin,0.16483385811146442,0.16483385811146442,0.004557382199816321
sin_DOY_k1,0.16319924963830337,0.16319924963830337,0.004512187992481711
month_7,0.15547947531330356,0.15547947531330356,0.004298749063741948
month_11_roll7,-0.14401812226818284,0.14401812226818284,0.0039818617024188745
month_4,0.1271238727651675,0.1271238727651675,0.0035147637842700865
month_10_roll7,-0.12609830400199973,0.12609830400199973,0.003486408512607466
day_of_year_roll7,-0.1252140022279171,0.1252140022279171,0.0034619590383875216
is_weekend_roll7,-0.12152791982535358,0.12152791982535358,0.0033600449867420192
month_7_roll7,0.11900663885472718,0.11900663885472718,0.003290335758626408
month_11,-0.1140178414789192,0.1140178414789192,0.0031524038032654947
month_10,-0.11151580615338484,0.11151580615338484,0.00308322668524772
RH,0.10507532943279999,0.10507532943279999,0.0029051582088981793
LM35_tempC_roll7,0.09174279899901695,0.09174279899901695,0.0025365359029375684
cos_DOY_k2_roll7,-0.07689954555091232,0.07689954555091232,0.00212614461666427
month_9_roll7,-0.075146989689066,0.075146989689066,0.0020776893600775973
Precp,-0.066478458173958,0.066478458173958,0.0018380188719987146
dayofweek,0.05698514658788019,0.05698514658788019,0.0015755445858575475
dayofyear,-0.053825983617806425,0.053825983617806425,0.001488198980706468
day_of_year,-0.053825983617806425,0.053825983617806425,0.001488198980706468
PrecpMax10,0.05065021641721711,0.05065021641721711,0.001400394296180191
month,-0.04835636238034757,0.04835636238034757,0.00133697304476753
is_weekend,0.0437648997975206,0.0437648997975206,0.0012100267360064482
is_weekend,0.0437648997975206,0.0437648997975206,0.0012100267360064482
is_weekend,0.0437648997975206,0.0437648997975206,0.0012100267360064482
is_weekend,0.0437648997975206,0.0437648997975206,0.0012100267360064482
PrecpHour,-0.04052730371885313,0.04052730371885313,0.0011205125857695678
month_9,-0.0267590823378254,0.0267590823378254,0.0007398441492970363
cos_DOY_k2,-0.023748222430325313,0.023748222430325313,0.0006565988773256515
sin_DOY_k3,0.022800398544914512,0.022800398544914512,0.0006303931223101321
cos_DOY_k3,-0.021205117440770478,0.021205117440770478,0.000586286251361246
sin_DOY_k3_roll7,0.012727687198659023,0.012727687198659023,0.00035189939584362836
EvapA,0.008801524950722646,0.008801524950722646,0.00024334753551990526
EvapA_roll7,0.0016944997833070734,0.0016944997833070734,4.6850102512398574e-05
cos_DOY_k3_roll7,0.00036361083107487824,0.00036361083107487824,1.0053235107076674e-05
WGustTime,0.0,0.0,0.0
Cloud Amount,0.0,0.0,0.0
month_3,0.0,0.0,0.0
RHMinTime,0.0,0.0,0.0
T Max Time,0.0,0.0,0.0
T Min Time,0.0,0.0,0.0
UVI Max Time,0.0,0.0,0.0
PrecpMax10Time,0.0,0.0,0.0
PrecpMax60Time,0.0,0.0,0.0
WGustTime_roll7,0.0,0.0,0.0
UVI Max Time_roll7,0.0,0.0,0.0
Cloud Amount_roll7,0.0,0.0,0.0
PrecpMax60Time_roll7,0.0,0.0,0.0
PrecpMax10Time_roll7,0.0,0.0,0.0
T Max Time_roll7,0.0,0.0,0.0
T Min Time_roll7,0.0,0.0,0.0
RHMinTime_roll7,0.0,0.0,0.0
month_3_roll7,0.0,0.0,0.0
