column,records,values_count,min,median,max,mean,std
category,30,30,90.0,90.0,90.0,90.0,0.0
file,30,0,,,,,
MAE,30,30,1.0717757936347116,1.0717757936347116,1.0717757936347116,1.0717757936347116,0.0
MAPE(%),30,30,21.59940232071156,21.59940232071156,21.59940232071156,21.59940232071156,0.0
MASE_lag1,30,30,1.3978582897017688,1.3978582897017688,1.3978582897017688,1.3978582897017688,0.0
R2,30,30,-3.904359723953214,-3.904359723953214,-3.904359723953214,-3.904359723953214,0.0
RMSSE,30,30,1.0751221246117189,1.0751221246117189,1.0751221246117189,1.0751221246117189,0.0
SMAPE(%),30,30,18.772705183992695,18.772705183992695,18.772705183992695,18.772705183992695,0.0
nMAE,30,30,0.202947489369378,0.202947489369378,0.202947489369378,0.202947489369378,0.0
nRMSE,30,30,0.23555774267618831,0.23555774267618831,0.23555774267618831,0.23555774267618831,0.0
