column,corr_with_Wh,abs_corr,weight
INA219_current_mA,0.9607957076006547,0.9607957076006547,0.019616420246971484
INA219_shuntVoltage_mV,0.9600236402450937,0.9600236402450937,0.0196006570648654
INA219_power_mW,0.9561515656217505,0.9561515656217505,0.0195216015045228
INA219_busVoltage_V,0.9369776778981738,0.9369776778981738,0.01913013114679899
INA219_busVoltage_V_roll7,0.7525989137888491,0.7525989137888491,0.015365697883022335
cos_DOY_k1_roll7,-0.7359164705566255,0.7359164705566255,0.015025094969623847
cos_DOY_k1,-0.7111094758820319,0.7111094758820319,0.014518614321603018
dayofyear_cos,-0.7108973335248782,0.7108973335248782,0.014514283043270704
INA219_shuntVoltage_mV_roll7,0.7108203232976488,0.7108203232976488,0.0145127107371408
INA219_current_mA_roll7,0.7093452599123685,0.7093452599123685,0.014482594591712927
INA219_power_mW_roll7,0.70494573104643,0.70494573104643,0.014392770078093425
Wh_roll_mean_7,0.6789232520194285,0.6789232520194285,0.013861473070390895
Wh_lag1_roll7,0.6778703999703549,0.6778703999703549,0.013839977149781416
Wh_roll_mean_14,0.6752183402195944,0.6752183402195944,0.013785830448063823
Wh_lag1,0.670693605786935,0.670693605786935,0.013693449631377369
Wh_roll_mean_30,0.6649805535367684,0.6649805535367684,0.013576807110032181
Wh_lag14_roll7,0.6537847424471287,0.6537847424471287,0.013348223932981435
Wh_lag7_roll7,0.6178325134973724,0.6178325134973724,0.012614192727060514
Td dew point_roll7,0.5942188752815472,0.5942188752815472,0.012132076656872881
Wh_roll_mean_7_roll7,0.5895420734753787,0.5895420734753787,0.012036591103684161
Temperature_roll7,0.5881685294973532,0.5881685294973532,0.012008547664597687
TxSoil0cm_roll7,0.5881631178547045,0.5881631178547045,0.012008437175910464
T Min_roll7,0.5865107545855384,0.5865107545855384,0.011974701125642745
TxSoil0cm,0.5828154205639356,0.5828154205639356,0.011899254051361248
TxSoil10cm,0.5822822211146528,0.5822822211146528,0.011888367799070732
TxSoil10cm_roll7,0.5813773737211595,0.5813773737211595,0.01186989366706772
T Min,0.5803398914344473,0.5803398914344473,0.011848711548565382
Temperature,0.5789930319015038,0.5789930319015038,0.011821212921747159
Wh_roll_mean_14_roll7,0.5786922693110067,0.5786922693110067,0.011815072297550896
Wh_lag30_roll7,0.5727111161024258,0.5727111161024258,0.011692955999598187
