column,corr_with_Wh,abs_corr,weight
day_of_year_roll7,-0.767445474482222,0.767445474482222,0.022822308801202854
day_of_year,-0.6873805699496016,0.6873805699496016,0.020441337075993184
dayofyear,-0.6873805699496016,0.6873805699496016,0.020441337075993184
month,-0.6784644942269616,0.6784644942269616,0.02017619063862018
cos_DOY_k1_roll7,-0.6625861201251144,0.6625861201251144,0.01970399923341596
cos_DOY_k1,-0.6393857075065242,0.6393857075065242,0.019014064901007495
dayofyear_cos,-0.6389994756562879,0.6389994756562879,0.019002579130554684
Wh_lag1,0.6000122951011473,0.6000122951011473,0.01784317757890962
Wh_roll_mean_7,0.5934176191825086,0.5934176191825086,0.017647064975130737
Wh_roll_mean_14,0.5832993654034401,0.5832993654034401,0.017346168142778395
sin_DOY_k1_roll7,0.5753026237977261,0.5753026237977261,0.01710836088167993
Wh_roll_mean_30,0.5600060130190443,0.5600060130190443,0.016653469965763827
season_spring_roll7,0.47771963219213653,0.47771963219213653,0.014206435934281543
Wh_lag7,0.4747663144805486,0.4747663144805486,0.014118610113369125
month_12_roll7,-0.4715575003567121,0.4715575003567121,0.014023186335061923
dayofyear_sin,0.46804331508729186,0.46804331508729186,0.013918681423546927
Wh_lag14,0.46742204388314984,0.46742204388314984,0.013900206048107662
sin_DOY_k1,0.46634971217165266,0.46634971217165266,0.013868317026319342
Temperature,0.4653562954876916,0.4653562954876916,0.013838774781191214
Wh_roll_std_30,0.46279224081635256,0.46279224081635256,0.01376252487232056
TxSoil0cm,0.45857635471961805,0.45857635471961805,0.013637152767630924
TxSoil5cm,0.45057474743807363,0.45057474743807363,0.013399200810967727
TxSoil10cm,0.449533495990393,0.449533495990393,0.01336823605468364
month_12,-0.44484853111586103,0.44484853111586103,0.013228914475959764
T Min,0.443429146053829,0.443429146053829,0.01318670477472286
season_autumn_roll7,-0.4390247147212724,0.4390247147212724,0.013055725708056113
Td dew point_roll7,0.4290581643906552,0.4290581643906552,0.012759340235874472
Wh_roll_std_14,0.424754957923905,0.424754957923905,0.012631371396282624
TxSoil0cm_roll7,0.42007001625367457,0.42007001625367457,0.012492050507608729
Temperature_roll7,0.4178969194916744,0.4178969194916744,0.012427426912830582
