category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
60,260507_220033/60/forecast_Wh_metrics_60d.json,[0.8137275315043013],[14.628612860536636],[1.1071368549376834],[1.0898112256503465],[-2.6980447380681323],[0.8794677060345747],[15.707852505156955],"[""2025-12-30T00:00:00""]",[4.57906],[0.15289595882633192],[0.18336824478114255]
90,260507_220033/90/forecast_Wh_metrics_90d.json,[0.4819305679012347],[9.33189276112158],[0.6285555648880666],[0.7218273068286433],[-0.02051430009632993],[0.49042905079363985],[9.117597937018505],"[""2025-11-30T00:00:00""]",[5.85374],[0.09125658499360464],[0.10745231402385771]
120,260508_012821/120/forecast_Wh_metrics_120d.json,[0.5945611369671611],[11.048539018271414],[0.7286167993016284],[0.551994538152945],[-0.1557920869834013],[0.5782609318343843],[10.89433965458746],"[""2025-10-31T00:00:00""]",[6.54126],[0.10876111727379942],[0.12883863009799965]
30,260508_012821/30/forecast_Wh_metrics_30d.json,[0.6178390363967413],[10.986163455417806],[0.8642263535185891],[0.830969016681644],[-1.2330499298426965],[0.692476503154185],[11.772944355432944],"[""2026-01-29T00:00:00""]",[4.72749],[0.11314308272347771],[0.13574538825046173]
60,260508_012821/60/forecast_Wh_metrics_60d.json,[0.5847583242452968],[10.795813632770594],[0.7956072111837423],[0.783156721853697],[-1.0191943058740476],[0.6498645887825275],[11.212629359291507],"[""2025-12-30T00:00:00""]",[4.57906],[0.10987361396250257],[0.13549619636151405]
90,260508_012821/90/forecast_Wh_metrics_90d.json,[0.5896111992502984],[11.18805520567727],[0.7689974969279226],[0.8831095024419992],[-0.5307423036445826],[0.6006447464013395],[11.150928187932458],"[""2025-11-30T00:00:00""]",[5.85374],[0.11164658998885671],[0.1316004176397254]
120,260508_042748/120/forecast_Wh_metrics_120d.json,[0.6066610154589637],[11.392914564725318],[0.7434448366395662],[0.5632281463128376],[-0.29533736697895496],[0.6121747890968455],[11.19233721570638],"[""2025-10-31T00:00:00""]",[6.54126],[0.1109745083312078],[0.13639476033348652]
30,260508_042748/30/forecast_Wh_metrics_30d.json,[0.49612799999999974],[8.624143860487628],[0.6939783132173936],[0.6672724965916461],[-0.5669693860019547],[0.5800775804383181],[9.136542192874074],"[""2026-01-29T00:00:00""]",[4.72749],[0.09085449128110415],[0.11371195414330944]
60,260508_042748/60/forecast_Wh_metrics_60d.json,[0.8629492236047346],[15.648213000784732],[1.1741066295575024],[1.1557329875666367],[-2.9245777439657488],[0.906004353934046],[16.745122994539035],"[""2025-12-30T00:00:00""]",[4.57906],[0.1621445064265804],[0.18890111257641548]
90,260508_042748/90/forecast_Wh_metrics_90d.json,[0.8790111259259257],[17.819997011729942],[1.1464459231241269],[1.316567729792885],[-2.2520232416025188],[0.8754744194700375],[15.870146604400876],"[""2025-11-30T00:00:00""]",[5.85374],[0.1664462868016757],[0.19181521177939356]
120,260508_085818/120/forecast_Wh_metrics_120d.json,[0.5776911614364211],[10.505412919410153],[0.7079431514439759],[0.5363323399823022],[-0.09465440436518646],[0.5627590757764486],[10.668498839475067],"[""2025-10-31T00:00:00""]",[6.54126],[0.10567514802181605],[0.12538476041992008]
30,260508_085818/30/forecast_Wh_metrics_30d.json,[0.5176391848650372],[9.322259051267274],[0.7240679186981289],[0.6962041876664051],[-0.6094416748734808],[0.5878864442689584],[9.816517522056364],"[""2026-01-29T00:00:00""]",[4.72749],[0.09479377259110232],[0.11524271691671321]
60,260508_085818/60/forecast_Wh_metrics_60d.json,[1.038317333333334],[18.778647306673456],[1.4127079917387226],[1.390600467409672],[-4.186182005620889],[1.041496208828176],[21.123067540767394],"[""2025-12-30T00:00:00""]",[4.57906],[0.19509543194700305],[0.21715104539782729]
90,260508_085818/90/forecast_Wh_metrics_90d.json,[0.6634753333333335],[13.500211695540479],[0.8653344292908534],[0.993741930695261],[-1.0151772219361455],[0.6891650795479953],[12.303194720164573],"[""2025-11-30T00:00:00""]",[5.85374],[0.12563322847763775],[0.1509950979087237]
120,260508_120620/120/forecast_Wh_metrics_120d.json,[0.8408470848929113],[16.417446041092862],[1.030432824489529],[0.780648060265581],[-1.2683856486775618],[0.8101071006556153],[14.952822992531129],"[""2025-10-31T00:00:00""]",[6.54126],[0.15381339735029026],[0.18049479626789755]
30,260508_120620/30/forecast_Wh_metrics_30d.json,[0.5835953260723559],[10.13329685959674],[0.8163266334277617],[0.7849125835016707],[-1.3242818464931552],[0.706480566324851],[11.00008251593998],"[""2026-01-29T00:00:00""]",[4.72749],[0.10687213070887759],[0.13849058896633756]
60,260508_120620/60/forecast_Wh_metrics_60d.json,[0.7313110107673814],[13.611848077403318],[0.9950030459772112],[0.9794322031880037],[-1.9976847481535756],[0.7918205988895833],[14.046490294749942],"[""2025-12-30T00:00:00""]",[4.57906],[0.13741024343225344],[0.16509389987109765]
