date,y_hat,pvgis_scaled,residual_fcst
2026-03-01,1.9089834904693035,2.851831161367566,-0.9428476708982627
2026-03-02,1.6801504985842426,2.6229981694825053,-0.9428476708982627
2026-03-03,2.30117781267231,3.2440254835705726,-0.9428476708982627
2026-03-04,3.537193792451477,4.48004146334974,-0.9428476708982627
2026-03-05,7.323585249149628,8.26643292004789,-0.9428476708982627
2026-03-06,7.2938687425645545,8.236716413462817,-0.9428476708982627
2026-03-07,6.313700760656879,7.256548431555141,-0.9428476708982627
2026-03-08,6.714953055455335,7.657800726353598,-0.9428476708982627
2026-03-09,7.296585660963127,6.921403445523479,0.375182215439648
2026-03-10,6.094258982767038,5.71907676732739,0.375182215439648
2026-03-11,6.288290290469579,5.913108075029931,0.375182215439648
2026-03-12,2.5541808159451684,2.1789986005055204,0.375182215439648
2026-03-13,4.748767169388449,3.864099326859119,0.8846678425293302
2026-03-14,5.08485122967405,4.709669014234402,0.375182215439648
2026-03-15,5.182899810224801,4.807717594785153,0.375182215439648
2026-03-16,7.535589008043079,7.160406792603431,0.375182215439648
2026-03-17,5.534397293848311,6.477244964746574,-0.9428476708982627
2026-03-18,6.693197556666201,6.318015341226553,0.375182215439648
2026-03-19,5.70937460336036,5.334192387920712,0.375182215439648
2026-03-20,7.438811721891689,7.063629506452041,0.375182215439648
2026-03-21,6.814923995405059,6.439741779965411,0.375182215439648
2026-03-22,6.515534164355438,6.14035194891579,0.375182215439648
2026-03-23,4.422650341606725,5.365498012504988,-0.9428476708982627
2026-03-24,4.770508271632001,5.713355942530264,-0.9428476708982627
2026-03-25,4.6212900915069515,5.564137762405214,-0.9428476708982627
2026-03-26,3.8755170144815425,4.818364685379805,-0.9428476708982627
2026-03-27,4.98885308472233,5.931700755620593,-0.9428476708982627
2026-03-28,4.926733988753469,4.551551773313821,0.375182215439648
2026-03-29,3.6018708950189904,4.544718565917253,-0.9428476708982627
2026-03-30,3.579797572630016,3.204615357190368,0.375182215439648
2026-03-31,0.9965119353276248,1.9393596062258875,-0.9428476708982627
2026-04-01,8.003584105349368,7.62840188990972,0.375182215439648
2026-04-02,9.1928679088944,8.30820006636507,0.8846678425293302
2026-04-03,11.119629210984998,10.234961368455668,0.8846678425293302
2026-04-04,10.40131669308877,10.026134477649123,0.375182215439648
2026-04-05,5.673410267400162,6.616257938298425,-0.9428476708982627
2026-04-06,7.531969595578411,8.474817266476673,-0.9428476708982627
2026-04-07,9.13369303463968,8.758510819200032,0.375182215439648
2026-04-08,8.591210675754589,9.53405834665285,-0.9428476708982627
2026-04-09,9.299725073232642,8.415057230703312,0.8846678425293302
2026-04-10,7.82016433624159,6.93549649371226,0.8846678425293302
2026-04-11,9.246548418181941,8.871366202742294,0.375182215439648
