category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
60,S9_G30_EsAll_36120d-30Seed/260506_073544/60/forecast_Wh_metrics_60d.json,[0.6946552353220172],[12.513488885555585],[0.9451301359788749],[0.930339756369317],[-2.100788075100646],[0.8053225480952034],[13.609050152699304],"[""2025-12-30T00:00:00""]",[4.57906],[0.13052277838252008],[0.16790904442952828]
120,S9_G30_EsAll_36120d-30Seed/260506_094208/120/forecast_Wh_metrics_120d.json,[0.7309610317270714],[13.672662594173127],[0.8957707697948831],[0.678629113187851],[-1.0057597428098988],[0.7617692689967107],[12.991242359062493],"[""2025-10-31T00:00:00""]",[6.54126],[0.1337123023206214],[0.16972495229264412]
30,S9_G30_EsAll_36120d-30Seed/260506_094208/30/forecast_Wh_metrics_30d.json,[0.549426466666667],[9.469602669580986],[0.7685316139672146],[0.7389568218407223],[-0.9925317936240714],[0.654121546318557],[10.189988084343089],"[""2026-01-29T00:00:00""]",[4.72749],[0.10061488592737072],[0.12822670930140467]
60,S9_G30_EsAll_36120d-30Seed/260506_094208/60/forecast_Wh_metrics_60d.json,[1.2481348333333337],[22.756828232470266],[1.6981803127150705],[1.6716054205236157],[-6.048962693237163],[1.214217317043503],[26.063873597965415],"[""2025-12-30T00:00:00""]",[4.57906],[0.2345192520821514],[0.25316324485982006]
120,S9_G30_EsAll_36120d-30Seed/260506_113754/120/forecast_Wh_metrics_120d.json,[0.883263931882092],[15.801954177977127],[1.0824133953142092],[0.8200281448488592],[-1.558113312233782],[0.8602880339659135],[17.1804801560373],"[""2025-10-31T00:00:00""]",[6.54126],[0.1615725719463754],[0.1916752899668728]
30,S9_G30_EsAll_36120d-30Seed/260506_113754/30/forecast_Wh_metrics_30d.json,[0.7483904818016291],[13.238815787485716],[1.0468402593456676],[1.0065555365091232],[-2.1138592021341003],[0.8177213001503888],[14.468541972959189],"[""2026-01-29T00:00:00""]",[4.72749],[0.13705059279804302],[0.16029698461100203]
60,S9_G30_EsAll_36120d-30Seed/260506_113754/60/forecast_Wh_metrics_60d.json,[1.3343986710156688],[25.230635343121005],[1.815548682653246],[1.787137088107842],[-10.928811160548038],[1.5795464368067729],[23.908028110547978],"[""2025-12-30T00:00:00""]",[4.57906],[0.25072786204536235],[0.32933404567350794]
120,S9_G30_EsAll_36120d-30Seed/260506_132240/120/forecast_Wh_metrics_120d.json,[0.6318919033538165],[11.552067566465004],[0.7743645312487032],[0.5866526714705881],[-0.32686218592472693],[0.6195793033555428],[11.77120888661106],"[""2025-10-31T00:00:00""]",[6.54126],[0.11558991183916655],[0.1380445129297848]
30,S9_G30_EsAll_36120d-30Seed/260506_132240/30/forecast_Wh_metrics_30d.json,[0.7099191115111357],[12.534990003277827],[0.9930269356442067],[0.9548130682327122],[-1.8734328803534188],[0.7855183835090028],[13.533822162648654],"[""2026-01-29T00:00:00""]",[4.72749],[0.1300054415938583],[0.15398428316572443]
60,S9_G30_EsAll_36120d-30Seed/260506_132240/60/forecast_Wh_metrics_60d.json,[1.0618652777777777],[21.024223200073678],[1.4447467223249582],[1.4221378226090269],[-4.339595022982047],[1.056788250769802],[18.550057077854255],"[""2025-12-30T00:00:00""]",[4.57906],[0.19951999103444912],[0.22033942272051363]
120,S9_G30_EsAll_36120d-30Seed/260506_164531/120/forecast_Wh_metrics_120d.json,[0.6399431402065759],[12.644717868616654],[0.7842310799706741],[0.5941274936407166],[-0.3763733837120846],[0.6310330796114406],[11.634687753067716],"[""2025-10-31T00:00:00""]",[6.54126],[0.1170626981702894],[0.14059645576565585]
30,S9_G30_EsAll_36120d-30Seed/260506_164531/30/forecast_Wh_metrics_30d.json,[0.6869225190924],[12.157154457922129],[0.9608595586437105],[0.9238835628704865],[-1.604979603154383],[0.747924893648795],[13.134472114796031],"[""2026-01-29T00:00:00""]",[4.72749],[0.12579414187805282],[0.14661487372941978]
60,S9_G30_EsAll_36120d-30Seed/260506_164531/60/forecast_Wh_metrics_60d.json,[0.6477086621375291],[11.562872468092475],[0.8812558299326118],[0.8674650219140526],[-1.4815282548121025],[0.7204327193889609],[12.560310726922122],"[""2025-12-30T00:00:00""]",[4.57906],[0.12170171599646153],[0.15020958965384199]
120,S9_G30_EsAll_36120d-30Seed/260506_184140/120/forecast_Wh_metrics_120d.json,[0.8075617248028213],[14.694001560483683],[0.9896426163434777],[0.7497457092240959],[-1.2523775656022482],[0.807243561503658],[16.21452931224154],"[""2025-10-31T00:00:00""]",[6.54126],[0.1477246156806285],[0.17985678937298277]
30,S9_G30_EsAll_36120d-30Seed/260506_184140/30/forecast_Wh_metrics_30d.json,[0.5715246957288601],[10.117382581314562],[0.7994423703237847],[0.7686780640938984],[-1.0672581980840348],[0.6662744910677482],[10.748459827454848],"[""2026-01-29T00:00:00""]",[4.72749],[0.10466167094990295],[0.13060903735997573]
60,S9_G30_EsAll_36120d-30Seed/260506_184140/60/forecast_Wh_metrics_60d.json,[0.4440307999999999],[8.632066528109979],[0.6041369431100105],[0.594682779725938],[-0.07872686878789459],[0.4749955757789106],[8.344225255578609],"[""2025-12-30T00:00:00""]",[4.57906],[0.08343150782783161],[0.09903616063642351]
120,S9_G30_EsAll_36120d-30Seed/260506_203606/120/forecast_Wh_metrics_120d.json,[0.6005260403938595],[10.94391186355488],[0.7359266091305617],[0.5575323944093137],[-0.1869705675913127],[0.5860085714684079],[11.116549237584945],"[""2025-10-31T00:00:00""]",[6.54126],[0.10985225747920754],[0.13056483227073515]
30,S9_G30_EsAll_36120d-30Seed/260506_203606/30/forecast_Wh_metrics_30d.json,[0.6181284666666665],[10.671973136775813],[0.8646312053522224],[0.8313582889234893],[-1.4156229245745942],[0.7202286546814696],[11.579209394825083],"[""2026-01-29T00:00:00""]",[4.72749],[0.11319608525495228],[0.14118561122798867]
60,S9_G30_EsAll_36120d-30Seed/260506_203606/60/forecast_Wh_metrics_60d.json,[0.7373022640466377],[13.132372703067603],[1.0031545918644058],[0.987456185204905],[-2.2046857244106963],[0.8187032969107512],[14.474745815897547],"[""2025-12-30T00:00:00""]",[4.57906],[0.13853597456366773],[0.17069891881300892]
120,S9_G30_EsAll_36120d-30Seed/260506_222335/120/forecast_Wh_metrics_120d.json,[0.7996799026368177],[14.947440370971771],[0.9799836802270807],[0.7424281727828146],[-1.482699412458734],[0.8475124057454593],[14.844902100896357],"[""2025-10-31T00:00:00""]",[6.54126],[0.1462828198220887],[0.18882883372549544]
30,S9_G30_EsAll_36120d-30Seed/260506_222335/30/forecast_Wh_metrics_30d.json,[0.440151],[8.15168066789724],[0.6156783099138714],[0.5919856501695324],[-0.0006065394320100559],[0.46354029542950165],[8.07239414053161],"[""2026-01-29T00:00:00""]",[4.72749],[0.08060358454243521],[0.09086728154124975]
60,S9_G30_EsAll_36120d-30Seed/260506_222335/60/forecast_Wh_metrics_60d.json,[0.7021305165616473],[13.207050922554172],[0.9553008123306003],[0.9403512713966897],[-1.7082988379254052],[0.7526310098233421],[13.213061796526738],"[""2025-12-30T00:00:00""]",[4.57906],[0.13192735208609974],[0.15692290494830238]
120,S9_G30_EsAll_36120d-30Seed/260507_010924/120/forecast_Wh_metrics_120d.json,[0.8191297819488998],[15.743052790472495],[1.0038189226101613],[0.7604855708878582],[-1.3326352324145074],[0.8214996993163807],[14.546465523678537],"[""2025-10-31T00:00:00""]",[6.54126],[0.14984072240484608],[0.18303310851398527]
30,S9_G30_EsAll_36120d-30Seed/260507_010924/30/forecast_Wh_metrics_30d.json,[0.46622433333333313],[8.234759095474596],[0.6521493977916395],[0.627053250119141],[-0.2656056187962712],[0.5213207626345282],[8.559993447774577],"[""2026-01-29T00:00:00""]",[4.72749],[0.0853783189577527],[0.10219392138868584]
60,S9_G30_EsAll_36120d-30Seed/260507_010924/60/forecast_Wh_metrics_60d.json,[0.628124683333333],[12.617660667433178],[0.8546103695530655],[0.841236537418443],[-1.230869389559743],[0.6830789287099183],[11.544960076300455],"[""2025-12-30T00:00:00""]",[4.57906],[0.11802196927415674],[0.14242135708345924]
