category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
30,260503_060859/30/forecast_Wh_metrics_30d.json,[0.6817171600872093],[11.818896259552938],[0.9535783605212236],[0.9168825613163524],[-1.8151734750220907],[0.777514336559561],[12.907322657764105],"[""2026-01-29T00:00:00""]",[4.72749],[0.12484089948021977],[0.15241525886558155]
60,260503_060859/60/forecast_Wh_metrics_60d.json,[1.380084591111057],[25.105211976851134],[1.8777077763683578],[1.8483234516588898],[-8.206010652848025],[1.3876168118965633],[29.587316877929727],"[""2025-12-30T00:00:00""]",[4.57906],[0.2593120530520675],[0.2893168873403461]
120,260503_072231/120/forecast_Wh_metrics_120d.json,[1.112193122572052],[19.849595169334275],[1.3629592362988405],[1.0325675373985133],[-2.993812602803639],[1.0749241864148613],[22.892805679414117],"[""2025-10-31T00:00:00""]",[6.54126],[0.2034498373913282],[0.23949700215362635]
30,260503_072231/30/forecast_Wh_metrics_30d.json,[0.7160140492785374],[12.547629836587543],[1.0015524666180409],[0.9630105179646862],[-1.8711205369480637],[0.7852022540041405],[13.688031262458185],"[""2026-01-29T00:00:00""]",[4.72749],[0.13112158998751328],[0.15392231265527465]
60,260503_072231/60/forecast_Wh_metrics_60d.json,[1.3423745857431462],[24.362639418663807],[1.8264005081166244],[1.7978190929169529],[-7.973471027487825],[1.3699794380074661],[28.72259102700681],"[""2025-12-30T00:00:00""]",[4.57906],[0.2522265026622287],[0.2856395103651586]
120,260503_081845/120/forecast_Wh_metrics_120d.json,[1.1134887038733607],[20.375583635006144],[1.3645469322350563],[1.0337703637482196],[-3.479745618297687],[1.1384413719371935],[23.485949958305742],"[""2025-10-31T00:00:00""]",[6.54126],[0.20368683382632585],[0.25364886114990653]
30,260503_081845/30/forecast_Wh_metrics_30d.json,[0.9272354263269267],[16.427525614024795],[1.2970065731379234],[1.2470948986015464],[-3.4385425355307415],[0.9762836538400005],[18.27049996442594],"[""2026-01-29T00:00:00""]",[4.72749],[0.16980195223158276],[0.19137978404962916]
60,260503_081845/60/forecast_Wh_metrics_60d.json,[0.5165363695625029],[9.436910138462684],[0.7027861655376908],[0.6917882364938958],[-0.6100834887866617],[0.5803072743244019],[9.791520774425406],"[""2025-12-30T00:00:00""]",[4.57906],[0.09705499744728],[0.120993557348894]
120,260503_092514/120/forecast_Wh_metrics_120d.json,[0.6328827002921701],[12.559526519935476],[0.7755787231107268],[0.587572533978218],[-0.3761192362149328],[0.6309748167578711],[11.532480241735694],"[""2025-10-31T00:00:00""]",[6.54126],[0.11577115507103412],[0.14058347459085008]
30,260503_092514/30/forecast_Wh_metrics_30d.json,[0.8102241530084328],[14.2144206916894],[1.133332509015383],[1.0897193735826018],[-2.5521329192883306],[0.8733743419598583],[15.62560559392136],"[""2026-01-29T00:00:00""]",[4.72749],[0.14837401486157745],[0.1712065876564985]
