column,records,values_count,min,median,max,mean,std
category,31,31,30.0,30.0,30.0,30.0,0.0
file,31,0,,,,,
MAE,31,31,0.4652023192205302,0.7476797500641434,0.9272354263269267,0.7017311290412092,0.11829257028154223
MAPE(%),31,31,8.189284947978043,13.226862156720069,16.427525614024795,12.324845459494915,2.082468480526081
MASE_lag1,31,31,0.6507198158489003,1.0458460957178732,1.2970065731379234,0.9815736770836472,0.16546632802449104
MASE_lastValue,31,31,0.625678681643663,1.005599630491162,1.2470948986015464,0.9438005563310324,0.15909881865165337
R2,31,31,-3.4385425355307415,-2.1758356170553554,-0.16111147566139872,-1.9111626828675379,0.7999952107341102
RMSSE,31,31,0.49933589134391093,0.8258189270331083,0.9762836538400005,0.7816994427920827,0.11868944992440916
SMAPE(%),31,31,8.55081996507096,14.13968205861047,18.27049996442594,13.33253477105449,2.4467043417610954
last_value_index,31,0,,,,,
last_value_value,31,31,4.72749,4.72749,4.72749,4.72749,0.0
nMAE,31,31,0.08519116045772686,0.13692043854259564,0.16980195223158276,0.1285059999539513,0.021662577591395334
nRMSE,31,31,0.09788425185421387,0.1618843532799681,0.19137978404962916,0.15323566052226648,0.023266559064221863
