date,doy,month,day,E_day_kWh,Hpoa_day_kWhm2,G(i)_Whm2,G(i)_kWhm2,G(i)_mean,G(i)_min,G(i)_max,G(i)_std,G(i)_p10,G(i)_p90,P_Wh,P_kWh,P_mean,P_min,P_max,P_std,P_p10,P_p90,P_mapped_Wh,P_mapped_Wh_kWh,P_mapped_Wh_mean,P_mapped_Wh_min,P_mapped_Wh_max,P_mapped_Wh_std,P_mapped_Wh_p10,P_mapped_Wh_p90,P_normalized_0_1_Wh_Wh,P_normalized_0_1_Wh_kWh,P_normalized_0_1_Wh_mean,P_normalized_0_1_Wh_min,P_normalized_0_1_Wh_max,P_normalized_0_1_Wh_std,P_normalized_0_1_Wh_p10,P_normalized_0_1_Wh_p90,T2m_mean,T2m_min,T2m_max,T2m_std,T2m_p10,T2m_p90,WS10m_mean,WS10m_max,WS10m_std,WS10m_p10,WS10m_p90,H_sun_max,H_sun_mean,n_obs_P,valid_frac_P,n_obs_P_mapped_Wh,valid_frac_P_mapped_Wh,n_obs_P_normalized_0_1_Wh,valid_frac_P_normalized_0_1_Wh,n_obs_G(i),valid_frac_G(i),n_obs_T2m,valid_frac_T2m,n_obs_WS10m,valid_frac_WS10m,n_obs_H_sun,valid_frac_H_sun
2005-01-01,1,1,1,0.42744,5.9336400000000005,5933.64,5.9336400000000005,370.8525,0.0,948.34,380.8439946312225,0.0,865.8050000000001,427.44,0.42744,26.715,0.0,67.0,27.357305910243912,0.0,61.864999999999995,6.792525975788212,0.006792525975788212,0.4245328734867633,0.0,1.064709059465212,0.43473987231638633,0.0,0.9831078502061992,357.8281179366116,0.35782811793661157,22.364257371038224,0.0,56.08853617292012,22.90195883791578,0.0,51.78981030354781,9.9375,7.8,12.54,1.5753327690787535,8.399999999999999,12.129999999999999,1.930625,3.24,1.1006693039540378,0.48,3.17,42.31,16.830625,16,1.0,16,1.0,16,1.0,16,1.0,16,1.0,16,1.0,16,1.0
2005-01-02,2,1,2,0.39198,5.5619499999999995,5561.95,5.5619499999999995,231.74791666666667,0.0,851.65,317.3832545099018,0.0,736.814,391.98,0.39198,16.3325,0.0,59.11,22.372267430906504,0.0,52.006,6.229024733271252,0.0062290247332712516,0.25954269721963547,0.0,0.9393276493281894,0.35552172857409947,0.0,0.8264367066648929,328.1430508815109,0.32814305088151086,13.672627120062954,0.0,49.48348318181058,18.728772105502124,0.0,43.536424062819165,10.753750000000002,7.42,14.78,2.731377757931286,7.742,14.556,1.2091666666666667,1.93,0.36585714326135865,0.83,1.769,42.41,11.511249999999999,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-03,3,1,3,0.31001,4.46126,4461.26,4.46126,185.88583333333335,0.0,831.17,283.5977724036612,0.0,670.0199999999999,310.01,0.31001,12.917083333333332,0.0,57.02,19.747895535466817,0.0,46.826999999999984,4.926424709325528,0.004926424709325528,0.205267696221897,0.0,0.9061150831448715,0.31381736241767366,0.0,0.744136285486231,259.5224940144323,0.25952249401443234,10.813437250601346,0.0,47.73385571014784,16.531799299702662,0.0,39.20086393088552,12.457500000000001,6.61,18.48,3.889636453337309,7.526,17.358,1.3145833333333334,2.07,0.3118804002465864,1.03,1.769,42.51,11.542916666666668,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-04,4,1,4,0.32182,4.6241,4624.1,4.6241,192.67083333333335,0.0,829.21,280.605665456405,0.0,658.1419999999998,321.82,0.32182,13.409166666666666,0.0,57.03,19.56749876634759,0.0,46.099999999999994,5.114099545031261,0.005114099545031261,0.21308748104296923,0.0,0.9062739949447918,0.3109506448896215,0.0,0.7325833976320338,269.40914494282316,0.26940914494282314,11.225381039284299,0.0,47.742227133457234,16.380781527908308,0.0,38.592261456292796,14.650416666666667,11.61,18.67,2.4432773413320605,11.693,17.982,1.4858333333333331,2.41,0.48766450215969864,0.9,2.3219999999999996,42.63,11.57875,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-05,5,1,5,0.28912,4.15319,4153.1900000000005,4.15319,173.04958333333335,0.0,640.63,243.16659639877898,0.0,595.291,289.12,0.28912,12.046666666666667,0.0,44.85,17.0648050388656,0.0,41.779,4.594457959292271,0.00459445795929227,0.1914357483038446,0.0,0.7127194226420114,0.2711798884013106,0.0,0.663917608886524,242.03459072111443,0.24203459072111444,10.084774613379768,0.0,37.54583354261892,14.285670667257355,0.0,34.974969444304925,15.400833333333333,13.58,18.39,1.8046387490278355,13.675,18.135,1.1558333333333333,1.93,0.4031928728953715,0.76,1.769,42.75,11.61625,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-06,6,1,6,0.43629,6.35854,6358.54,6.35854,264.93916666666667,0.0,968.07,366.2119100112092,0.0,851.5,436.29,0.43629,18.17875,0.0,65.27,25.051555763977056,0.0,58.331,6.933162918717573,0.006933162918717573,0.2888817882798989,0.0,1.0372173180790207,0.39809878172543767,0.0,0.9269484201144073,365.2368275654227,0.3652368275654227,15.21820114855928,0.0,54.640279940395466,20.971717785906762,0.0,48.83134930600901,15.330416666666666,11.14,19.65,2.7776569406084226,12.027000000000001,19.272,1.42,2.28,0.4929679414569955,0.851,2.1679999999999997,42.88,11.655833333333334,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-07,7,1,7,0.29344,4.20629,4206.29,4.20629,175.26208333333332,0.0,658.23,243.21457459509088,0.0,604.011,293.44,0.29344,12.226666666666667,0.0,45.96,17.0750582573751,0.0,42.373,4.663107856857788,0.004663107856857788,0.19429616070240785,0.0,0.7303586324331516,0.2713428241421425,0.0,0.6733569698017825,245.65104559077136,0.24565104559077136,10.235460232948807,0.0,38.47506152996133,14.294254070500028,0.0,35.47223198888275,15.5675,12.51,19.09,2.2005083404799306,13.190000000000001,18.907,1.5783333333333334,2.28,0.3473961110476259,1.121,2.0,43.02,11.698749999999999,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-08,8,1,8,0.32178,4.61147,4611.47,4.611470000000001,192.14458333333334,0.0,725.04,275.4500652446775,0.0,681.128,321.78000000000003,0.32178,13.4075,0.0,50.67,19.34560915242167,0.0,47.793,5.113463897831582,0.005113463897831582,0.21306099574298257,0.0,0.8052060901955568,0.3074245570963652,0.0,0.7594871653585207,269.3756592495856,0.2693756592495856,11.223985802066068,0.0,42.41800190868452,16.19502833929518,0.0,40.00954342257271,15.5875,13.33,18.63,1.811977660866232,13.527,18.381,1.8366666666666667,2.62,0.3733708573274691,1.471,2.389,43.16,11.744166666666667,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-09,9,1,9,0.15592999999999999,2.26495,2264.95,2.26495,94.37291666666665,0.0,632.34,163.7354817056586,0.0,315.37699999999995,155.93,0.15593,6.497083333333333,0.0,44.98,11.66348388521113,0.0,22.417999999999996,2.47791169615538,0.00247791169615538,0.10324632067314084,0.0,0.7147852760409736,0.18534652175389252,0.0,0.3562484730610615,130.53560366333485,0.13053560366333486,5.438983485972286,0.0,37.654662045641,9.763996086536347,0.0,18.76705677499288,14.27875,12.65,16.61,1.059127255563873,12.942,15.758,1.5279166666666668,2.41,0.39148523395627205,1.17,2.07,43.31,11.79125,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-10,10,1,10,0.19352,2.77099,2770.99,2.77099,115.45791666666666,0.0,491.9,160.89866213887458,0.0,339.57099999999997,193.52,0.19352,8.063333333333334,0.0,35.11,11.426828334979984,0.0,24.090999999999998,3.075261152055341,0.003075261152055341,0.12813588133563922,0.0,0.5579393295197552,0.18158578580905932,0.0,0.38283441718770783,162.00378388333584,0.16200378388333583,6.75015766180566,0.0,29.392067239272023,9.56588170758617,0.0,20.16759589465401,14.322916666666666,11.84,16.59,1.6619043010345385,12.336,16.573999999999998,1.405,2.21,0.35730878133260496,0.988,1.909,43.47,11.84125,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-11,11,1,11,0.22019,3.17589,3175.89,3.17589,132.32874999999999,0.0,703.58,207.450932685979,0.0,438.85999999999996,220.19,0.22019,9.174583333333333,0.0,49.01,14.59482516366575,0.0,31.178,3.499078922442463,0.003499078922442463,0.1457949551017693,0.0,0.7788267314088065,0.2319289936278473,0.0,0.49545520979114005,184.33036984948183,0.18433036984948184,7.6804320770617425,0.0,41.0283456393256,12.217945957159872,0.0,26.100423594019453,14.91375,13.46,18.03,1.4898141480238978,13.523,17.11,1.3904166666666666,2.21,0.5032371656858586,0.781,1.86,43.63,11.895000000000001,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-12,12,1,12,0.41635,6.03589,6035.89,6.03589,251.49541666666667,0.0,924.76,352.7237982871013,0.0,831.126,416.35,0.41635,17.347916666666666,0.0,62.93,24.324192998663527,0.0,57.187,6.616292789676732,0.006616292789676731,0.2756788662365305,0.0,1.0000319568976983,0.3865401291023484,0.0,0.9087689102035386,348.5442094864969,0.34854420948649695,14.522675395270705,0.0,52.68136688599796,20.362811625113878,0.0,47.87365847941467,14.707916666666668,10.69,18.81,2.7468020602094754,11.126999999999999,18.454,1.6958333333333335,2.41,0.41012104964549045,1.212,2.28,43.8,11.949166666666665,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-13,13,1,13,0.2613,3.7122,3712.2,3.7121999999999997,154.67499999999998,0.0,632.93,227.94411849512974,0.0,546.669,261.3,0.26130000000000003,10.887500000000001,0.0,44.91,16.279852378884176,0.0,39.150999999999996,4.152365331914327,0.004152365331914327,0.17301522216309695,0.0,0.7136728934415324,0.2587060643963324,0.0,0.6221555878675002,218.7452910743885,0.2187452910743885,9.114387128099521,0.0,37.596062082475264,13.628553567803658,0.0,32.77495939859695,13.464166666666666,10.75,16.74,1.8364235484428322,11.302,16.311,1.4870833333333333,2.55,0.6792417714319188,1.03,2.34,43.98,12.006666666666668,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-01-14,14,1,14,0.40969,5.77304,5773.04,5.77304,240.54333333333332,0.0,918.93,335.36860534235365,0.0,780.7299999999999,409.69,0.40969,17.070416666666667,0.0,64.49,23.847138645086353,0.0,55.67399999999999,6.510457530929892,0.006510457530929892,0.2712690637887455,0.0,1.0248221976852467,0.37895917250367767,0.0,0.8847255548756151,342.96884156244244,0.34296884156244245,14.2903683984351,0.0,53.98730892226296,19.963449231575627,0.0,46.6070621327038,12.264583333333334,9.61,14.95,1.656888070966215,10.047,14.597999999999999,2.1733333333333333,3.52,0.7447594690010102,1.373,3.3169999999999997,44.16,12.066249999999998,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
