column_name,dtype,non_null_count,null_count,null_ratio,unique_values,has_duplicates,is_constant,is_numeric,most_common_value,most_common_freq,is_datetime,is_binary,is_boolean,mean,std,min,max,median,q25,q75,iqr,skewness,kurtosis
T2m_std,float64,366,0,0.0,366,False,False,True,,,False,False,False,2.2815121033351926,0.8627341589529828,0.3317211920805835,5.245385118009152,2.1741426636431838,1.719092782587644,2.729421851059038,1.0103290684713937,0.6262581087434876,0.658225705136493
T2m_p10,float64,366,0,0.0,357,True,False,True,,,False,False,False,17.28851912568306,4.431680476392526,1.913,23.565,18.718,14.045,21.0,6.955,-0.7914428340659095,-0.16079204529943736
T2m_p90,float64,366,0,0.0,360,True,False,True,,,False,False,False,23.09531147540984,4.118734665547542,10.401,29.276,24.5425,20.304000000000002,26.3785,6.074499999999997,-0.8607909972244248,-0.2573647292753174
WS10m_mean,float64,366,0,0.0,339,True,False,True,,,False,False,False,1.2737562613843352,0.4889595521798091,0.6845833333333333,4.9158333333333335,1.1575,0.9909374999999999,1.443125,0.4521875000000001,3.5589451981999187,20.00227515896553
WS10m_max,float64,366,0,0.0,44,True,False,True,,,False,False,False,2.1868852459016392,0.8349027491235426,1.1,8.97,2.0,1.79,2.41,0.6200000000000001,4.188687615321621,25.93251006004201
WS10m_std,float64,366,0,0.0,366,False,False,True,,,False,False,False,0.5019341169294643,0.23977699974462693,0.1871482207282215,2.6533588229785776,0.45667930480164043,0.3714156597035181,0.5628349420066726,0.19141928230315453,4.669318250714141,34.23873517857131
WS10m_p10,float64,366,0,0.0,89,True,False,True,,,False,False,False,0.6978551912568307,0.37881736418930584,0.07,3.853,0.6305000000000001,0.44675,0.872,0.42525,2.395384307176334,14.17631616148362
WS10m_p90,float64,366,0,0.0,123,True,False,True,,,False,False,False,1.9542677595628417,0.7557591697286505,1.012,8.42,1.79,1.548,2.16275,0.6147499999999999,3.954025581883097,23.999757628857743
H_sun_max,float64,366,0,0.0,342,True,False,True,,,False,False,False,64.58590163934427,15.450735022854515,0.0,83.92,65.935,49.705,80.455,30.75,-0.29947808776471135,-0.8011514740092704
H_sun_mean,float64,366,0,0.0,362,True,False,True,,,False,False,False,18.637204576502732,4.895752501871356,0.0,24.864166666666662,19.137708333333332,13.933333333333334,23.546666666666667,9.613333333333333,-0.2736636304268653,-1.0122588974752698
n_obs_P,int64,366,0,0.0,3,True,False,True,,,False,False,False,23.934426229508198,0.9340238909094243,8.0,24.0,24.0,24.0,24.0,0.0,-15.303317877791333,244.01309814926898
valid_frac_P,float64,366,0,0.0,1,True,True,False,1.0,366.0,False,True,False,,,,,,,,,,
n_obs_P_mapped_Wh,int64,366,0,0.0,3,True,False,True,,,False,False,False,23.934426229508198,0.9340238909094243,8.0,24.0,24.0,24.0,24.0,0.0,-15.303317877791333,244.01309814926898
valid_frac_P_mapped_Wh,float64,366,0,0.0,1,True,True,False,1.0,366.0,False,True,False,,,,,,,,,,
n_obs_P_normalized_0_1_Wh,int64,366,0,0.0,3,True,False,True,,,False,False,False,23.934426229508198,0.9340238909094243,8.0,24.0,24.0,24.0,24.0,0.0,-15.303317877791333,244.01309814926898
valid_frac_P_normalized_0_1_Wh,float64,366,0,0.0,1,True,True,False,1.0,366.0,False,True,False,,,,,,,,,,
n_obs_G(i),int64,366,0,0.0,3,True,False,True,,,False,False,False,23.934426229508198,0.9340238909094243,8.0,24.0,24.0,24.0,24.0,0.0,-15.303317877791333,244.01309814926898
valid_frac_G(i),float64,366,0,0.0,1,True,True,False,1.0,366.0,False,True,False,,,,,,,,,,
n_obs_T2m,int64,366,0,0.0,3,True,False,True,,,False,False,False,23.934426229508198,0.9340238909094243,8.0,24.0,24.0,24.0,24.0,0.0,-15.303317877791333,244.01309814926898
valid_frac_T2m,float64,366,0,0.0,1,True,True,False,1.0,366.0,False,True,False,,,,,,,,,,
n_obs_WS10m,int64,366,0,0.0,3,True,False,True,,,False,False,False,23.934426229508198,0.9340238909094243,8.0,24.0,24.0,24.0,24.0,0.0,-15.303317877791333,244.01309814926898
valid_frac_WS10m,float64,366,0,0.0,1,True,True,False,1.0,366.0,False,True,False,,,,,,,,,,
n_obs_H_sun,int64,366,0,0.0,3,True,False,True,,,False,False,False,23.934426229508198,0.9340238909094243,8.0,24.0,24.0,24.0,24.0,0.0,-15.303317877791333,244.01309814926898
valid_frac_H_sun,float64,366,0,0.0,1,True,True,False,1.0,366.0,False,True,False,,,,,,,,,,
