column_name,dtype,non_null_count,null_count,null_ratio,unique_values,has_duplicates,is_constant,is_numeric,most_common_value,most_common_freq,is_datetime,is_binary,is_boolean,mean,std,min,max,median,q25,q75,iqr,skewness,kurtosis
cos_DOY_k1,float64,313,0,0.0,273,True,False,True,,,False,False,False,-0.015874945222793823,0.7566878394639664,-0.9999629591162656,1.0,-0.0988201387328721,-0.7775971469736268,0.7829801036770624,1.5605772506506892,0.05588528281397497,-1.6608889425633777
sin_DOY_k2,float64,313,0,0.0,313,False,False,True,,,False,False,False,-0.02848353613988577,0.736690865703572,-0.99999073973619,0.99999073973619,-0.06880242680232,-0.7802958510707761,0.7354170229639855,1.5157128740347616,0.07213360056297677,-1.5677523750605644
cos_DOY_k2,float64,313,0,0.0,296,True,False,True,,,False,False,False,0.14199836486114484,0.6629099652777931,-0.9999629591162656,1.0,0.2261156855082869,-0.4288919379124841,0.7829801036770624,1.2118720415895465,-0.2666958369692788,-1.3038814415066935
sin_DOY_k3,float64,313,0,0.0,313,False,False,True,,,False,False,False,0.11526407356685578,0.6906082610139498,-0.99999073973619,0.99999073973619,0.2219215130041654,-0.5307300481619346,0.7802958510707757,1.3110258992327104,-0.25779993403896245,-1.3818489422676872
cos_DOY_k3,float64,313,0,0.0,300,True,False,True,,,False,False,False,0.03526989989721676,0.7153244129391898,-0.9999629591162656,1.0,0.0559169901006043,-0.6839194216246103,0.7611042586607741,1.4450236802853844,-0.058585826592129325,-1.5137898573524877
month_2,bool,313,0,0.0,2,True,False,False,False,285.0,False,False,True,,,,,,,,,,
month_3,bool,313,0,0.0,1,True,True,False,False,313.0,False,False,True,,,,,,,,,,
month_4,bool,313,0,0.0,2,True,False,False,False,304.0,False,False,True,,,,,,,,,,
month_5,bool,313,0,0.0,2,True,False,False,False,282.0,False,False,True,,,,,,,,,,
month_6,bool,313,0,0.0,2,True,False,False,False,283.0,False,False,True,,,,,,,,,,
month_7,bool,313,0,0.0,2,True,False,False,False,282.0,False,False,True,,,,,,,,,,
month_8,bool,313,0,0.0,2,True,False,False,False,282.0,False,False,True,,,,,,,,,,
month_9,bool,313,0,0.0,2,True,False,False,False,283.0,False,False,True,,,,,,,,,,
month_10,bool,313,0,0.0,2,True,False,False,False,282.0,False,False,True,,,,,,,,,,
month_11,bool,313,0,0.0,2,True,False,False,False,283.0,False,False,True,,,,,,,,,,
month_12,bool,313,0,0.0,2,True,False,False,False,282.0,False,False,True,,,,,,,,,,
season_autumn,bool,313,0,0.0,2,True,False,False,False,222.0,False,False,True,,,,,,,,,,
season_spring,bool,313,0,0.0,2,True,False,False,False,273.0,False,False,True,,,,,,,,,,
season_summer,bool,313,0,0.0,2,True,False,False,False,221.0,False,False,True,,,,,,,,,,
is_weekend,float64,313,0,0.0,2,True,False,False,0.0,224.0,False,True,False,,,,,,,,,,
