column,records,values_count,min,median,max,mean,std
category,30,30,30.0,30.0,30.0,30.0,0.0
file,30,0,,,,,
MAE,30,30,0.7331473064323833,0.7331473064323833,0.7331473064323833,0.7331473064323833,0.0
MAPE(%),30,30,12.756377514949149,12.756377514949149,12.756377514949149,12.756377514949149,0.0
MASE_lag1,30,30,1.0255182756422159,1.0255182756422159,1.0255182756422159,1.0255182756422159,0.0
MASE_lastValue,30,30,0.9860540697815429,0.9860540697815429,0.9860540697815429,0.9860540697815429,0.0
R2,30,30,-2.1287247253717894,-2.1287247253717894,-2.1287247253717894,-2.1287247253717894,0.0
RMSSE,30,30,0.8196708715271482,0.8196708715271482,0.8196708715271482,0.8196708715271482,0.0
SMAPE(%),30,30,13.981105289548262,13.981105289548262,13.981105289548262,13.981105289548262,0.0
last_value_index,30,0,,,,,
last_value_value,30,30,4.72749,4.72749,4.72749,4.72749,0.0
nMAE,30,30,0.13425915400869534,0.13425915400869534,0.13425915400869534,0.13425915400869534,0.0
nRMSE,30,30,0.1606791568901404,0.1606791568901404,0.1606791568901404,0.1606791568901404,0.0
