column,records,values_count,min,median,max,mean,std
category,29,29,90.0,90.0,90.0,90.0,0.0
file,29,0,,,,,
MAE,29,29,0.4778187444444445,0.656716687446053,2.038890287280985,0.7682802618033971,0.3343151680304123
MAPE(%),29,29,8.992171892305265,13.034798287281035,38.06172750270091,14.980761374111145,6.381390337978654
MASE_lag1,29,29,0.6231927394361388,0.8565194987458612,2.6592125953905668,1.0020257400421868,0.43602890807928424
MASE_lastValue,29,29,0.715668688451529,0.9836189472541609,3.0538147671278724,1.150716948049666,0.5007315025114006
R2,29,29,-16.040239401630384,-0.9747070454925948,-0.01477183580427699,-2.0334162397873285,3.111300041160343
RMSSE,29,29,0.4890472748066394,0.6822098386464165,2.004031236559075,0.784549553517575,0.31530129599794027
SMAPE(%),29,29,9.041056011986653,12.188521354672549,50.07012384383424,14.747219734463009,7.975870333933826
last_value_index,29,0,,,,,
last_value_value,29,29,5.85374,5.85374,5.85374,5.85374,0.0
nMAE,29,29,0.09047798535341713,0.12435343635832836,0.38607670313210596,0.145478701040891,0.06330468033783415
nRMSE,29,29,0.1071495688520015,0.14947121442698744,0.43908042028891614,0.1718937017605832,0.06908206969973271
