category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
60,260426_040209/60/forecast_Wh_metrics_60d.json,[0.7332405666666669],[14.55336891529936],[0.9976283503537415],[-1.8432866890053026],[0.7711593744113943],[13.30451146259508],[0.13777279881831106],[0.16078605270218096]
90,260426_040209/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
30,260426_040251/30/forecast_Wh_metrics_30d.json,[0.435783683333333],[7.823382813624854],[0.6095693560680497],[-0.09294216907567399],[0.4844560860181635],[7.992095101412902],[0.07980381042363216],[0.0949673803909447]
60,260426_040251/60/forecast_Wh_metrics_60d.json,[0.7332405666666669],[14.55336891529936],[0.9976283503537415],[-1.8432866890053026],[0.7711593744113943],[13.30451146259508],[0.13777279881831106],[0.16078605270218096]
90,260426_040251/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
30,260426_040332/30/forecast_Wh_metrics_30d.json,[0.435783683333333],[7.823382813624854],[0.6095693560680497],[-0.09294216907567399],[0.4844560860181635],[7.992095101412902],[0.07980381042363216],[0.0949673803909447]
60,260426_040332/60/forecast_Wh_metrics_60d.json,[0.7332405666666669],[14.55336891529936],[0.9976283503537415],[-1.8432866890053026],[0.7711593744113943],[13.30451146259508],[0.13777279881831106],[0.16078605270218096]
90,260426_040332/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
30,260426_040411/30/forecast_Wh_metrics_30d.json,[0.435783683333333],[7.823382813624854],[0.6095693560680497],[-0.09294216907567399],[0.4844560860181635],[7.992095101412902],[0.07980381042363216],[0.0949673803909447]
60,260426_040411/60/forecast_Wh_metrics_60d.json,[0.7332405666666669],[14.55336891529936],[0.9976283503537415],[-1.8432866890053026],[0.7711593744113943],[13.30451146259508],[0.13777279881831106],[0.16078605270218096]
90,260426_040411/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
30,260426_040452/30/forecast_Wh_metrics_30d.json,[0.435783683333333],[7.823382813624854],[0.6095693560680497],[-0.09294216907567399],[0.4844560860181635],[7.992095101412902],[0.07980381042363216],[0.0949673803909447]
60,260426_040452/60/forecast_Wh_metrics_60d.json,[0.7332405666666669],[14.55336891529936],[0.9976283503537415],[-1.8432866890053026],[0.7711593744113943],[13.30451146259508],[0.13777279881831106],[0.16078605270218096]
90,260426_040452/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
30,260426_040534/30/forecast_Wh_metrics_30d.json,[0.435783683333333],[7.823382813624854],[0.6095693560680497],[-0.09294216907567399],[0.4844560860181635],[7.992095101412902],[0.07980381042363216],[0.0949673803909447]
60,260426_040534/60/forecast_Wh_metrics_60d.json,[0.7332405666666669],[14.55336891529936],[0.9976283503537415],[-1.8432866890053026],[0.7711593744113943],[13.30451146259508],[0.13777279881831106],[0.16078605270218096]
90,260426_040534/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
30,260426_040614/30/forecast_Wh_metrics_30d.json,[0.435783683333333],[7.823382813624854],[0.6095693560680497],[-0.09294216907567399],[0.4844560860181635],[7.992095101412902],[0.07980381042363216],[0.0949673803909447]
60,260426_040614/60/forecast_Wh_metrics_60d.json,[0.7332405666666669],[14.55336891529936],[0.9976283503537415],[-1.8432866890053026],[0.7711593744113943],[13.30451146259508],[0.13777279881831106],[0.16078605270218096]
90,260426_040614/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
30,260426_040655/30/forecast_Wh_metrics_30d.json,[0.435783683333333],[7.823382813624854],[0.6095693560680497],[-0.09294216907567399],[0.4844560860181635],[7.992095101412902],[0.07980381042363216],[0.0949673803909447]
60,260426_040655/60/forecast_Wh_metrics_60d.json,[0.7332405666666669],[14.55336891529936],[0.9976283503537415],[-1.8432866890053026],[0.7711593744113943],[13.30451146259508],[0.13777279881831106],[0.16078605270218096]
90,260426_040655/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
30,260426_040737/30/forecast_Wh_metrics_30d.json,[0.435783683333333],[7.823382813624854],[0.6095693560680497],[-0.09294216907567399],[0.4844560860181635],[7.992095101412902],[0.07980381042363216],[0.0949673803909447]
60,260426_040737/60/forecast_Wh_metrics_60d.json,[0.7332405666666669],[14.55336891529936],[0.9976283503537415],[-1.8432866890053026],[0.7711593744113943],[13.30451146259508],[0.13777279881831106],[0.16078605270218096]
90,260426_040737/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
30,260426_040816/30/forecast_Wh_metrics_30d.json,[0.435783683333333],[7.823382813624854],[0.6095693560680497],[-0.09294216907567399],[0.4844560860181635],[7.992095101412902],[0.07980381042363216],[0.0949673803909447]
60,260426_040816/60/forecast_Wh_metrics_60d.json,[0.7332405666666669],[14.55336891529936],[0.9976283503537415],[-1.8432866890053026],[0.7711593744113943],[13.30451146259508],[0.13777279881831106],[0.16078605270218096]
90,260426_040816/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
30,260426_040857/30/forecast_Wh_metrics_30d.json,[0.435783683333333],[7.823382813624854],[0.6095693560680497],[-0.09294216907567399],[0.4844560860181635],[7.992095101412902],[0.07980381042363216],[0.0949673803909447]
60,260426_040857/60/forecast_Wh_metrics_60d.json,[0.7332405666666669],[14.55336891529936],[0.9976283503537415],[-1.8432866890053026],[0.7711593744113943],[13.30451146259508],[0.13777279881831106],[0.16078605270218096]
90,260426_040857/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
30,260426_040937/30/forecast_Wh_metrics_30d.json,[0.435783683333333],[7.823382813624854],[0.6095693560680497],[-0.09294216907567399],[0.4844560860181635],[7.992095101412902],[0.07980381042363216],[0.0949673803909447]
60,260426_040937/60/forecast_Wh_metrics_60d.json,[0.7332405666666669],[14.55336891529936],[0.9976283503537415],[-1.8432866890053026],[0.7711593744113943],[13.30451146259508],[0.13777279881831106],[0.16078605270218096]
90,260426_040937/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
30,260426_041018/30/forecast_Wh_metrics_30d.json,[0.435783683333333],[7.823382813624854],[0.6095693560680497],[-0.09294216907567399],[0.4844560860181635],[7.992095101412902],[0.07980381042363216],[0.0949673803909447]
60,260426_041018/60/forecast_Wh_metrics_60d.json,[0.7332405666666669],[14.55336891529936],[0.9976283503537415],[-1.8432866890053026],[0.7711593744113943],[13.30451146259508],[0.13777279881831106],[0.16078605270218096]
90,260426_041018/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
30,260426_041057/30/forecast_Wh_metrics_30d.json,[0.435783683333333],[7.823382813624854],[0.6095693560680497],[-0.09294216907567399],[0.4844560860181635],[7.992095101412902],[0.07980381042363216],[0.0949673803909447]
60,260426_041057/60/forecast_Wh_metrics_60d.json,[0.7332405666666669],[14.55336891529936],[0.9976283503537415],[-1.8432866890053026],[0.7711593744113943],[13.30451146259508],[0.13777279881831106],[0.16078605270218096]
90,260426_041057/90/forecast_Wh_metrics_90d.json,[1.0717757936347116],[21.59940232071156],[1.3978582897017688],[-3.904359723953214],[1.0751221246117189],[18.772705183992695],[0.202947489369378],[0.23555774267618831]
30,260426_041136/30/forecast_Wh_metrics_30d.json,[0.435783683333333],[7.823382813624854],[0.6095693560680497],[-0.09294216907567399],[0.4844560860181635],[7.992095101412902],[0.07980381042363216],[0.0949673803909447]
60,260426_041136/60/forecast_Wh_metrics_60d.json,[0.7332405666666669],[14.55336891529936],[0.9976283503537415],[-1.8432866890053026],[0.7711593744113943],[13.30451146259508],[0.13777279881831106],[0.16078605270218096]
