category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
30,260424_224634/30/forecast_Wh_metrics_30d.json,[0.6489724060272315],[11.309361052690083],[0.9077753637355921],[-1.5616419589874453],[0.7416773885398585],[12.30992773462456],[0.11884444700778492],[0.14539018234603504]
60,260424_224634/60/forecast_Wh_metrics_60d.json,[0.5051188675232383],[9.93950315086924],[0.6872518044529335],[-0.45781651331809226],[0.5521858190165232],[9.402419107337874],[0.09490969714206876],[0.11513025859998652]
90,260424_224634/90/forecast_Wh_metrics_90d.json,[0.7691632352231943],[15.575288842200152],[1.0031773537675388],[-1.6076828881383833],[0.7839602254285076],[14.031762306307844],[0.1456458976129651],[0.17176458080662038]
120,260425_000203/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
30,260425_000203/30/forecast_Wh_metrics_30d.json,[0.5618094655797635],[9.692578397626086],[0.7858528147425863],[-1.0741910683811882],[0.6673907832458537],[10.459297164967483],[0.1028825488425536],[0.1308278628571986]
60,260425_000203/60/forecast_Wh_metrics_60d.json,[16.17806866792752],[307.8324411240115],[22.011466210149326],[-1033.3832115066814],[14.708708732444551],[119.5731371998294],[3.0397906242255996],[3.0667528605756327]
90,260425_000203/90/forecast_Wh_metrics_90d.json,[0.5606974709782248],[11.0662233943001],[0.7312869095165057],[-0.4898833296636549],[0.5925742438101601],[10.54941327402042],[0.10617159363609742],[0.12983218189317977]
120,260425_010613/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
30,260425_010613/30/forecast_Wh_metrics_30d.json,[0.7387448058245759],[12.858733388951388],[1.0333479953646043],[-2.1661753461483846],[0.8245619806159632],[14.100180538704551],[0.13528420794583243],[0.16163795549083274]
60,260425_010613/60/forecast_Wh_metrics_60d.json,[1.3616456251350546],[24.72329380354708],[1.8526201911403701],[-8.106204500911172],[1.3800744511332323],[29.143187600845415],[0.25584744939357357],[0.28774431174127824]
90,260425_010613/90/forecast_Wh_metrics_90d.json,[0.601541735425685],[10.984998036723308],[0.784557839858223],[-0.7219272098439167],[0.6370507552978852],[11.581000280929079],[0.11390571207204353],[0.13957692289359755]
120,260425_015444/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
30,260425_015444/30/forecast_Wh_metrics_30d.json,[0.8336997636630553],[14.587713388793027],[1.1661699313818754],[-2.78957888264348],[0.902092974603587],[16.09794305567671],[0.15267303580685568],[0.1768362688377202]
60,260425_015444/60/forecast_Wh_metrics_60d.json,[0.5051188675232383],[9.93950315086924],[0.6872518044529335],[-0.45781651331809226],[0.5521858190165232],[9.402419107337874],[0.09490969714206876],[0.11513025859998652]
90,260425_015444/90/forecast_Wh_metrics_90d.json,[0.528870235412727],[10.179698858115348],[0.6897763945956161],[-0.2876433146231252],[0.5508894168762248],[9.989256934914312],[0.10014490634762986],[0.12069909504506791]
120,260425_025149/120/forecast_Wh_metrics_120d.json,[0.8503361822644405],[15.234858337737354],[1.0420614280514318],[-1.5098859283886155],[0.8521400654018662],[16.87771271252603],[0.15554920678666181],[0.18985989305851989]
30,260425_025149/30/forecast_Wh_metrics_30d.json,[0.7702740900274799],[13.427172610168997],[1.0774508064699706],[-2.4420540578250804],[0.8597351203702108],[14.78526452107479],[0.1410580749251446],[0.16853290642444585]
60,260425_025149/60/forecast_Wh_metrics_60d.json,[0.5051188675232383],[9.93950315086924],[0.6872518044529335],[-0.45781651331809226],[0.5521858190165232],[9.402419107337874],[0.09490969714206876],[0.11513025859998652]
90,260425_025149/90/forecast_Wh_metrics_90d.json,[0.4936397782631386],[9.676414719980214],[0.6438272447183613],[-0.07432232464014543],[0.5031922467601572],[9.332774421740595],[0.09347379764158523],[0.11024871227702589]
120,260425_040545/120/forecast_Wh_metrics_120d.json,[1.1282932078156647],[20.21119308030973],[1.3826894067545197],[-3.182052971342018],[1.099964725362731],[23.43946685793297],[0.206394973140077],[0.24507612492909187]
30,260425_040545/30/forecast_Wh_metrics_30d.json,[0.7473011513189519],[13.06643449277064],[1.0453165160155096],[-2.1302624826912644],[0.8198722794734568],[14.296893674406371],[0.13685110684514248],[0.16071863866279815]
