category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
30,260424_222607/30/forecast_Wh_metrics_30d.json,[0.7568467512544482],[13.182960964324177],[1.0586687947457643],[-2.448293979547432],[0.86051405216888],[14.561639181561848],[0.1385991650601847],[0.1686855995468108]
60,260424_222607/60/forecast_Wh_metrics_60d.json,[1.8864209999999997],[36.81679628448604],[2.56661613644488],[-14.586264450044162],[1.8055305313531125],[30.338633374746678],[0.35445052106314684],[0.3764515310354878]
90,260424_222607/90/forecast_Wh_metrics_90d.json,[1.150078066179696],[20.856217028144613],[1.499983642251762],[-4.5481463797550346],[1.1435116563841796],[24.04289465453557],[0.21777451729751343],[0.25054179272800947]
120,260424_233920/120/forecast_Wh_metrics_120d.json,[0.7328035022259288],[13.222270392054355],[0.8980286620017854],[-0.908279046932962],[0.7430275796743422],[14.248499391981396],[0.13404933940148736],[0.1655492360284372]
30,260424_233920/30/forecast_Wh_metrics_30d.json,[0.7105789549948774],[12.345685578491075],[0.9939499173502071],[-1.9891203462046025],[0.8011752510716507],[13.510197299178273],[0.13012627683000805],[0.1570534812632727]
60,260424_233920/60/forecast_Wh_metrics_60d.json,[0.6499209048495334],[11.66137903757704],[0.8842657507521757],[-1.4442385152145074],[0.7149992858633295],[12.575529616956729],[0.12211738703807316],[0.14907672353278523]
90,260424_233920/90/forecast_Wh_metrics_90d.json,[0.5235658791717148],[9.548704871773218],[0.6828582141449412],[-0.3068350869116503],[0.5549796180168333],[9.927627376314728],[0.09914049312218887],[0.12159525235196107]
120,260425_002950/120/forecast_Wh_metrics_120d.json,[0.8570012998131571],[14.842573781030168],[1.0502293292366436],[-1.4380758225828862],[0.8398613529067666],[16.446936061640532],[0.15676843486311726],[0.1871241514406011]
30,260425_002950/30/forecast_Wh_metrics_30d.json,[0.7293091760798879],[12.68639692664388],[1.0201495417107842],[-2.1043687879230677],[0.816474224497392],[13.900486251027491],[0.13355628825500568],[0.16005252177663487]
60,260425_002950/60/forecast_Wh_metrics_60d.json,[0.6981256084587727],[12.500495642218867],[0.9498518368570359],[-1.79929450849543],[0.7651703139356419],[13.609837519877162],[0.13117484680553199],[0.15953733884970933]
90,260425_002950/90/forecast_Wh_metrics_90d.json,[0.7252463859434528],[13.124615104641514],[0.945899019821332],[-1.4874036935923747],[0.7656667328197536],[14.276071749558128],[0.13732996590852634],[0.16775650235121897]
120,260425_013615/120/forecast_Wh_metrics_120d.json,[0.9900020634163236],[19.618021292697552],[1.2132177666840176],[-2.0909281595351095],[0.945645693045025],[17.25194193886581],[0.18109782800431043],[0.21069328557871275]
30,260425_013615/30/forecast_Wh_metrics_30d.json,[0.7568467512544482],[13.182960964324177],[1.0586687947457643],[-2.448293979547432],[0.86051405216888],[14.561639181561848],[0.1385991650601847],[0.1686855995468108]
60,260425_013615/60/forecast_Wh_metrics_60d.json,[1.8864209999999997],[36.81679628448604],[2.56661613644488],[-14.586264450044162],[1.8055305313531125],[30.338633374746678],[0.35445052106314684],[0.3764515310354878]
90,260425_013615/90/forecast_Wh_metrics_90d.json,[0.5618861187662828],[10.109261616330674],[0.7328371975281781],[-0.5276517129664604],[0.6000380848507291],[10.71110279703331],[0.10639667157288563],[0.13146749894876103]
120,260425_022626/120/forecast_Wh_metrics_120d.json,[0.8783695732672501],[15.57136985220047],[1.0764155059688492],[-1.546782961452851],[0.8583807333129992],[17.293450534417623],[0.16067726298958052],[0.1912503364730807]
30,260425_022626/30/forecast_Wh_metrics_30d.json,[0.7293091760798879],[12.68639692664388],[1.0201495417107842],[-2.1043687879230677],[0.816474224497392],[13.900486251027491],[0.13355628825500568],[0.16005252177663487]
60,260425_022626/60/forecast_Wh_metrics_60d.json,[0.5876279999999999],[10.778433405870924],[0.7995116185765702],[-1.0926631726069553],[0.6615816976737389],[11.362634141347975],[0.1104128138900568],[0.13793920328098186]
90,260425_022626/90/forecast_Wh_metrics_90d.json,[0.8792810392048466],[15.902376635955804],[1.1467979561861543],[-2.5713306855380074],[0.9174484541023064],[17.784035736500144],[0.16649739657914014],[0.2010116636267223]
120,260425_033730/120/forecast_Wh_metrics_120d.json,[1.5735514407738078],[28.125347124104145],[1.9283399856260741],[-5.995052089120914],[1.4225890769761242],[33.819614419845564],[0.2878446002363062],[0.31695799902746125]
30,260425_033730/30/forecast_Wh_metrics_30d.json,[0.7957631535434032],[13.862666290709408],[1.1131046242433507],[-2.67101810410743],[0.8878693988475407],[15.322547040333498],[0.14572581369209783],[0.17404803731719962]
60,260425_033730/60/forecast_Wh_metrics_60d.json,[0.6981256084587727],[12.500495642218867],[0.9498518368570359],[-1.79929450849543],[0.7651703139356419],[13.609837519877162],[0.13117484680553199],[0.15953733884970933]
90,260425_033730/90/forecast_Wh_metrics_90d.json,[0.7628742279462644],[15.515489611925284],[0.9949749470624593],[-1.6077162906790106],[0.7839652463955016],[13.955545628423415],[0.14445503451915492],[0.17176568089341432]
120,260425_045040/120/forecast_Wh_metrics_120d.json,[0.7812912870509335],[14.072296090354186],[0.9574489846361125],[-1.1743691605366027],[0.7931414249185876],[15.35972547364309],[0.14291905072940814],[0.17671478226330015]
30,260425_045040/30/forecast_Wh_metrics_30d.json,[0.7568467512544482],[13.182960964324177],[1.0586687947457643],[-2.448293979547432],[0.86051405216888],[14.561639181561848],[0.1385991650601847],[0.1686855995468108]
60,260425_045040/60/forecast_Wh_metrics_60d.json,[1.8864209999999997],[36.81679628448604],[2.56661613644488],[-14.586264450044162],[1.8055305313531125],[30.338633374746678],[0.35445052106314684],[0.3764515310354878]
90,260425_045040/90/forecast_Wh_metrics_90d.json,[0.5877039128420015],[11.891253379487255],[0.7665099280422402],[-0.5846730123699657],[0.611134035729588],[11.003369728652856],[0.11128543330816747],[0.13389860615233926]
120,260425_055930/120/forecast_Wh_metrics_120d.json,[0.8521306632624397],[15.469148986373504],[1.0442605105677214],[-1.6645956712624366],[0.8780103842296125],[17.12618400091851],[0.1558774653056504],[0.19562389379671938]
30,260425_055930/30/forecast_Wh_metrics_30d.json,[0.722059944396609],[12.554333372169497],[1.0100093972809516],[-2.0593475257030356],[0.8105321229545422],[13.748900224742497],[0.13222875734208975],[0.15888769831001362]
60,260425_055930/60/forecast_Wh_metrics_60d.json,[0.6677514485634274],[11.961389594901311],[0.9085255322207165],[-1.5790653765444764],[0.7344546621927965],[12.955571202670157],[0.1254676707288447],[0.15313315242109135]
90,260425_055930/90/forecast_Wh_metrics_90d.json,[0.5618861187662828],[10.109261616330674],[0.7328371975281781],[-0.5276517129664604],[0.6000380848507291],[10.71110279703331],[0.10639667157288563],[0.13146749894876103]
120,260425_071148/120/forecast_Wh_metrics_120d.json,[0.8783695732672501],[15.57136985220047],[1.0764155059688492],[-1.546782961452851],[0.8583807333129992],[17.293450534417623],[0.16067726298958052],[0.1912503364730807]
30,260425_071148/30/forecast_Wh_metrics_30d.json,[0.7087843203116376],[12.311107901283831],[0.9914396023703709],[-1.9747972774768185],[0.7992534368723563],[13.468640732726733],[0.12979763055085997],[0.15667675019234079]
60,260425_071148/60/forecast_Wh_metrics_60d.json,[0.6924167598753791],[12.383872436347016],[0.9420845235719005],[-1.7693866412098949],[0.7610717694491522],[13.488425995433323],[0.1301021783211086],[0.15868279592165382]
90,260425_071148/90/forecast_Wh_metrics_90d.json,[0.5618861187662828],[10.109261616330674],[0.7328371975281781],[-0.5276517129664604],[0.6000380848507291],[10.71110279703331],[0.10639667157288563],[0.13146749894876103]
120,260425_093608/120/forecast_Wh_metrics_120d.json,[1.0732330640248595],[18.913767660553784],[1.3152148557897807],[-2.5485070278225015],[1.013227172684118],[21.503509948509432],[0.1963230017588147],[0.22575068402525064]
30,260425_093608/30/forecast_Wh_metrics_30d.json,[0.5084186666666665],[8.875656878736946],[0.711170360676216],[-0.5433753395071181],[0.5756938673806713],[9.391395773329254],[0.09310524565801018],[0.11285261981459448]
60,260425_093608/60/forecast_Wh_metrics_60d.json,[1.014069832750945],[20.178901062307382],[1.37971746297382],[-4.339644847329889],[1.056793181261941],[17.71774808873117],[0.19053942922231606],[0.22034045072379702]
90,260425_093608/90/forecast_Wh_metrics_90d.json,[0.7628742279462644],[15.515489611925284],[0.9949749470624593],[-1.6077162906790106],[0.7839652463955016],[13.955545628423415],[0.14445503451915492],[0.17176568089341432]
120,260425_111616/120/forecast_Wh_metrics_120d.json,[0.7812912870509335],[14.072296090354186],[0.9574489846361125],[-1.1743691605366027],[0.7931414249185876],[15.35972547364309],[0.14291905072940814],[0.17671478226330015]
30,260425_111616/30/forecast_Wh_metrics_30d.json,[0.7244126666666666],[12.596884014315515],[1.0133003589530274],[-2.0783221969043195],[0.8130417769374529],[13.799416824201918],[0.13265960459314552],[0.15937966295102712]
60,260425_111616/60/forecast_Wh_metrics_60d.json,[0.6548410698862621],[11.738443167622272],[0.8909600013872354],[-1.478423693189073],[0.719981923040023],[12.678577962577107],[0.12304186522241546],[0.1501155990107617]
90,260425_111616/90/forecast_Wh_metrics_90d.json,[0.8792810392048466],[15.902376635955804],[1.1467979561861543],[-2.5713306855380074],[0.9174484541023064],[17.784035736500144],[0.16649739657914014],[0.2010116636267223]
120,260425_122455/120/forecast_Wh_metrics_120d.json,[0.6875540789016659],[13.674047722458665],[0.8425768540330619],[-0.5971056520048301],[0.6797525048734707],[12.450136155534569],[0.1257720109137127],[0.15145132017783366]
30,260425_122455/30/forecast_Wh_metrics_30d.json,[0.5300844357498972],[10.08145326435752],[0.7414761968373236],[-0.5164404909674856],[0.57064827772218],[9.644262487504253],[0.09707283553052452],[0.11186353856198204]
60,260425_122455/60/forecast_Wh_metrics_60d.json,[1.8864209999999997],[36.81679628448604],[2.56661613644488],[-14.586264450044162],[1.8055305313531125],[30.338633374746678],[0.35445052106314684],[0.3764515310354878]
90,260425_122455/90/forecast_Wh_metrics_90d.json,[0.5618861187662828],[10.109261616330674],[0.7328371975281781],[-0.5276517129664604],[0.6000380848507291],[10.71110279703331],[0.10639667157288563],[0.13146749894876103]
120,260425_135647/120/forecast_Wh_metrics_120d.json,[1.5735514407738078],[28.125347124104145],[1.9283399856260741],[-5.995052089120914],[1.4225890769761242],[33.819614419845564],[0.2878446002363062],[0.31695799902746125]
30,260425_135647/30/forecast_Wh_metrics_30d.json,[0.764991590675453],[13.378401070029852],[1.0700617052906547],[-2.413302649611443],[0.8561369156087835],[14.66197038680805],[0.14009070603783896],[0.1678275544014966]
60,260425_135647/60/forecast_Wh_metrics_60d.json,[1.8864209999999997],[36.81679628448604],[2.56661613644488],[-14.586264450044162],[1.8055305313531125],[30.338633374746678],[0.35445052106314684],[0.3764515310354878]
90,260425_135647/90/forecast_Wh_metrics_90d.json,[0.5618861187662828],[10.109261616330674],[0.7328371975281781],[-0.5276517129664604],[0.6000380848507291],[10.71110279703331],[0.10639667157288563],[0.13146749894876103]
120,260425_145139/120/forecast_Wh_metrics_120d.json,[1.5735514407738078],[28.125347124104145],[1.9283399856260741],[-5.995052089120914],[1.4225890769761242],[33.819614419845564],[0.2878446002363062],[0.31695799902746125]
30,260425_145139/30/forecast_Wh_metrics_30d.json,[0.7244126666666666],[12.596884014315515],[1.0133003589530274],[-2.0783221969043195],[0.8130417769374529],[13.799416824201918],[0.13265960459314552],[0.15937966295102712]
60,260425_145139/60/forecast_Wh_metrics_60d.json,[1.8864209999999997],[36.81679628448604],[2.56661613644488],[-14.586264450044162],[1.8055305313531125],[30.338633374746678],[0.35445052106314684],[0.3764515310354878]
90,260425_145139/90/forecast_Wh_metrics_90d.json,[0.5586240989391089],[10.06084074005848],[0.7285827242664498],[-0.5133686315608164],[0.5972264100478263],[10.659940737496278],[0.10577898759632093],[0.13085146496104033]
