column,records,values_count,min,median,max,mean,std
category,2,2,4.0,4.0,4.0,4.0,0.0
file,2,0,,,,,
MAE,2,2,0.6481547005745434,0.6481547005745434,0.6481547005745434,0.6481547005745434,0.0
MAPE(%),2,2,10.885457110288439,10.885457110288439,10.885457110288439,10.885457110288439,0.0
MASE_lag1,2,2,0.9361657633128155,0.9361657633128155,0.9361657633128155,0.9361657633128155,0.0
R2,2,2,-8.849154694471844,-8.849154694471844,-8.849154694471844,-8.849154694471844,0.0
RMSSE,2,2,0.6611939016713666,0.6611939016713666,0.6611939016713666,0.6611939016713666,0.0
SMAPE(%),2,2,11.583065492157205,11.583065492157205,11.583065492157205,11.583065492157205,0.0
nMAE,2,2,0.11014548744093831,0.11014548744093831,0.11014548744093831,0.11014548744093831,0.0
nRMSE,2,2,0.11666370895168365,0.11666370895168365,0.11666370895168365,0.11666370895168365,0.0
