column,corr_with_Wh,abs_corr,weight
day_of_year_roll7,-0.6991768492596421,0.6991768492596421,0.03816146270520831
day_of_year,-0.6020245464582493,0.6020245464582493,0.03285883578899062
dayofyear,-0.6020245464582493,0.6020245464582493,0.03285883578899062
month,-0.5934015392458635,0.5934015392458635,0.03238818724207341
dayofyear_sin,0.5530189807284649,0.5530189807284649,0.030184084657105925
Wh_roll_std_30_roll7,0.5423979533922613,0.5423979533922613,0.02960438305655848
dayofyear_cos,-0.5287599876482738,0.5287599876482738,0.02886001527369327
Wh_lag1,0.5046136808389867,0.5046136808389867,0.027542096369846752
Wh_roll_std_14_roll7,0.49570386571190267,0.49570386571190267,0.02705579368685238
Wh_roll_std_7_roll7,0.48630069687514854,0.48630069687514854,0.026542563482999743
Wh_lag1_roll7,0.48090770238092506,0.48090770238092506,0.026248210833196433
Wh_lag14_roll7,0.480633303826472,0.480633303826472,0.026233234006928216
Wh_roll_mean_7,0.4770734704685672,0.4770734704685672,0.02603893631519501
Wh_roll_mean_14,0.4695259916154025,0.4695259916154025,0.02562699070647187
Wh_roll_std_30,0.46512377341479344,0.46512377341479344,0.025386715179814168
Wh_roll_mean_30,0.4586275736462899,0.4586275736462899,0.025032148970343938
Wh_roll_std_14,0.41514795328896087,0.41514795328896087,0.022659007021408124
Wh_lag7_roll7,0.38939391101245757,0.38939391101245757,0.02125333701834118
Wh_lag14,0.37544410082214036,0.37544410082214036,0.02049194859152724
Cloud Amount Sat_roll7,0.36441272405713465,0.36441272405713465,0.019889849890103367
Wh_lag7,0.36386178030376964,0.36386178030376964,0.019859779072514128
Wh_lag30_roll7,0.3537417173450738,0.3537417173450738,0.019307420387323714
Wh_roll_mean_7_roll7,0.35234562296328187,0.35234562296328187,0.0192312207766814
Wh_roll_mean_14_roll7,0.34015039771443234,0.34015039771443234,0.018565598575362257
Wh_lag30,0.33915220110437316,0.33915220110437316,0.018511116447203158
Wh_roll_std_7,0.33267899228540343,0.33267899228540343,0.018157805096591772
UVI Max,0.31494916359780684,0.31494916359780684,0.01719010115023271
Wh_roll_mean_30_roll7,0.3131511821913519,0.3131511821913519,0.017091966321455494
GloblRad,0.2676914097720743,0.2676914097720743,0.014610746567680022
Temperature,0.2673870419253725,0.2673870419253725,0.014594134000712345
SunshineRate_roll7,-0.25063497825593395,0.25063497825593395,0.013679797014821735
TxSoil100cm_roll7,-0.2472673884154684,0.2472673884154684,0.013495992081578527
TxSoil0cm,0.23946190413205726,0.23946190413205726,0.013069964392456817
LM35_tempC,0.23113653271644446,0.23113653271644446,0.012615560973464418
TxSoil5cm,0.22606328830954703,0.22606328830954703,0.012338660461908253
TxSoil10cm,0.22339166105370087,0.22339166105370087,0.012192841555012022
Cloud Amount Sat,0.22201561918618037,0.22201561918618037,0.012117736421791732
T Min,0.21933033183769834,0.21933033183769834,0.011971171939414526
GloblRad_roll7,0.2129209760970083,0.2129209760970083,0.011621345725457711
DHT11_humidity_roll7,0.20946299572419946,0.20946299572419946,0.011432607226504233
T Max,0.20942701988820525,0.20942701988820525,0.011430643645294364
UVI Max_roll7,0.19939092663069485,0.19939092663069485,0.01088286807326559
Td dew point,0.17022105525104428,0.17022105525104428,0.009290760211071657
Td dew point_roll7,0.16817464369106275,0.16817464369106275,0.009179065925844056
TxSoil20cm,0.1621535441125754,0.1621535441125754,0.008850430949940466
SunshineRate,-0.15984272431234367,0.15984272431234367,0.008724305115370316
DHT11_temp,0.1577356535582686,0.1577356535582686,0.008609300017469812
Temperature_roll7,0.13602017140338915,0.13602017140338915,0.007424056880119724
TxSoil0cm_roll7,0.12989943742889318,0.12989943742889318,0.007089983803267188
TxSoil30cm,0.12877603347521338,0.12877603347521338,0.007028667788403952
SunShine_roll7,-0.11841874089564468,0.11841874089564468,0.006463360978087405
LM35_tempC_roll7,0.11309313433989943,0.11309313433989943,0.006172686399581425
T Min_roll7,0.1110080252832914,0.1110080252832914,0.006058879983387444
TxSoil5cm_roll7,0.10750226444423194,0.10750226444423194,0.005867533599915491
TxSoil10cm_roll7,0.10631894387276537,0.10631894387276537,0.0058029473026086735
TxSoil50cm,0.10435346849475693,0.10435346849475693,0.005695670559370826
T Max_roll7,0.09439827716338577,0.09439827716338577,0.0051523106596292724
dayofweek,0.07460051004175305,0.07460051004175305,0.004071737479240653
SunShine,-0.07084320230076283,0.07084320230076283,0.00386666152545068
TxSoil100cm,-0.06962983438057141,0.06962983438057141,0.0038004352270783696
is_weekend,0.05859071181769957,0.05859071181769957,0.0031979137556833446
TxSoil50cm_roll7,-0.05175298130095087,0.05175298130095087,0.0028247066073352877
DHT11_temp_roll7,0.04074708585933843,0.04074708585933843,0.002223998690765604
TxSoil20cm_roll7,0.03004382768442283,0.03004382768442283,0.001639808885140937
DHT11_humidity,0.026330663592633707,0.026330663592633707,0.0014371423163648468
TxSoil30cm_roll7,-0.011760979876337285,0.011760979876337285,0.000641920846496565
