,Wh
2025-11-07,5.925381768833507
2025-11-08,5.925381768833507
2025-11-09,5.915270845095317
2025-11-10,6.000567631494431
2025-11-11,6.003678611346653
2025-11-12,5.848634958267212
2025-11-13,5.7310866991678875
2025-11-14,5.770788021087647
2025-11-15,5.925381768833507
2025-11-16,5.812186726983988
2025-11-17,5.8921024918556215
2025-11-18,5.812186726983988
2025-11-19,5.925381768833507
2025-11-20,5.733074188232422
2025-11-21,5.735281555276168
2025-11-22,5.770788021087647
2025-11-23,5.925381768833507
2025-11-24,5.733074188232422
2025-11-25,5.8921024918556215
2025-11-26,5.733074188232422
2025-11-27,5.925381768833507
2025-11-28,5.7310866991678875
2025-11-29,5.735281555276168
2025-11-30,5.770788021087647
2025-12-01,5.925381768833507
2025-12-02,5.7310866991678875
2025-12-03,5.8921024918556215
2025-12-04,5.7310866991678875
2025-12-05,5.925381768833507
2025-12-06,5.7310866991678875
2025-12-07,5.735281555276168
2025-12-08,5.770788021087647
2025-12-09,5.925381768833507
2025-12-10,5.7310866991678875
2025-12-11,5.8921024918556215
2025-12-12,5.7310866991678875
2025-12-13,5.925381768833507
2025-12-14,5.7310866991678875
2025-12-15,5.735281555276168
2025-12-16,5.770788021087647
2025-12-17,5.925381768833507
2025-12-18,5.7310866991678875
2025-12-19,5.8921024918556215
2025-12-20,5.7310866991678875
2025-12-21,5.925381768833507
2025-12-22,5.7310866991678875
2025-12-23,5.735281555276168
2025-12-24,5.770788021087647
2025-12-25,5.925381768833507
2025-12-26,5.7310866991678875
2025-12-27,5.8921024918556215
2025-12-28,5.7310866991678875
2025-12-29,5.925381768833507
2025-12-30,5.7310866991678875
2025-12-31,5.735281555276168
2026-01-01,5.770788021087647
2026-01-02,5.925381768833507
2026-01-03,5.7310866991678875
2026-01-04,5.8921024918556215
2026-01-05,5.7310866991678875
2026-01-06,5.925381768833507
2026-01-07,5.7310866991678875
2026-01-08,5.735281555276168
2026-01-09,5.770788021087647
2026-01-10,5.925381768833507
2026-01-11,5.7310866991678875
2026-01-12,5.8921024918556215
2026-01-13,5.7310866991678875
2026-01-14,5.925381768833507
2026-01-15,5.7310866991678875
2026-01-16,5.735281555276168
2026-01-17,5.770788021087647
2026-01-18,5.925381768833507
2026-01-19,5.7310866991678875
2026-01-20,5.8921024918556215
2026-01-21,5.7310866991678875
2026-01-22,5.925381768833507
2026-01-23,5.7310866991678875
2026-01-24,5.735281555276168
2026-01-25,5.770788021087647
2026-01-26,5.925381768833507
2026-01-27,5.7310866991678875
2026-01-28,5.8921024918556215
2026-01-29,5.7310866991678875
2026-01-30,5.925381768833507
2026-01-31,5.7310866991678875
2026-02-01,5.735281555276168
2026-02-02,5.770788021087647
2026-02-03,5.925381768833507
2026-02-04,5.7310866991678875
