,Wh
2026-01-10,5.4011101722717285
2026-01-11,5.003435228143737
2026-01-12,4.9795509098957424
2026-01-13,4.964649001853157
2026-01-14,4.951435210225261
2026-01-15,4.9385386761000145
2026-01-16,4.925701766016163
2026-01-17,4.912876061424009
2026-01-18,4.90005246274486
2026-01-19,4.623147260569091
2026-01-20,5.091472512154584
2026-01-21,5.327841821549672
2026-01-22,4.936386624619456
2026-01-23,4.852404990793304
2026-01-24,4.826208645891763
2026-01-25,4.810872225278965
2026-01-26,4.797576773185182
2026-01-27,4.784664892135252
2026-01-28,4.771825097814889
2026-01-29,4.75899885117145
2026-01-30,4.746175150621461
2026-01-31,4.7333519285735735
2026-02-01,4.720528796453358
2026-02-02,4.707705681233772
2026-02-03,4.694882569190419
2026-02-04,4.6820594577439945
2026-02-05,4.669236346409752
2026-02-06,4.656413235096595
2026-02-07,4.6435901237873995
2026-02-08,4.63076701247895
2026-02-09,4.617943901170639
2026-02-10,4.6051207898623545
2026-02-11,4.592297678554075
2026-02-12,4.579474567245796
2026-02-13,4.566651455937517
2026-02-14,4.553828344629239
2026-02-15,4.541005233320961
2026-02-16,4.264100122739624
2026-02-17,4.732425391538989
2026-02-18,4.96879470416918
2026-02-19,4.577339507846956
2026-02-20,4.493357874135067
2026-02-21,4.467161529255
2026-02-22,4.451825108646238
2026-02-23,4.4385296565532135
2026-02-24,4.425617775503427
2026-02-25,4.4127779811830905
2026-02-26,4.399951734539656
2026-02-27,4.387128033989669
2026-02-28,4.37430481194178
2026-03-01,4.361481679821566
2026-03-02,4.34865856460198
2026-03-03,4.3358354525586265
2026-03-04,4.323012341112201
2026-03-05,4.31018922977796
2026-03-06,4.297366118464803
2026-03-07,4.284543007155607
2026-03-08,4.271719895847156
2026-03-09,4.258896784538846
2026-03-10,4.246073673230562
