LocalTime,Wh,DHT11_temp,DHT11_humidity,LM35_tempC,INA219_busVoltage_V,INA219_shuntVoltage_mV,INA219_current_mA,INA219_power_mW,ACS712_20A_current_A
2025-04-22,0.24847,32.71429,56.0,33.55143,2.15714,0.00286,0.14286,0.0,0.13571
2025-04-23,8.31574,34.4076025,57.24895375,33.79472,2.5789066666666667,0.06753625,6.746302083333333,42.96297375,0.12663375000000002
2025-04-24,6.95669,34.162657083333336,58.66518291666667,33.85757541666667,2.33396375,0.05155958333333333,5.153029166666667,30.574471250000002,0.11985208333333335
2025-04-25,8.985949999999999,33.92777666666667,55.77817916666667,33.752907083333334,2.5212991666666666,0.060700833333333336,6.066110833333333,39.826865833333336,0.13546875
2025-04-26,6.47759,32.879575833333334,39.526855,33.3591925,2.1767608333333333,0.04189500000000001,4.191776666666667,25.99010583333333,0.11867166666666668
2025-04-27,9.206339999999999,33.174231666666664,54.99230083333333,33.6059475,2.6651979166666666,0.07064125,7.05625625,44.552400416666664,0.13408625
2025-04-28,7.5292699999999995,33.55076041666667,59.369078333333334,33.76405583333334,2.2483679166666666,0.04239083333333333,4.238385833333333,25.547575,0.13314625
2025-04-29,9.39732,33.010854583333334,57.90366041666667,33.44375708333333,2.7179562500000003,0.07056749999999999,7.0635787500000005,43.793059166666666,0.13614083333333335
2025-04-30,9.76544,33.563430833333335,51.97642208333334,33.685653333333335,2.7974674999999998,0.07916208333333334,7.917154583333333,53.22766583333333,0.133025
2025-05-01,8.84655,33.033642916666665,54.9140625,33.82901666666667,2.6125000000000003,0.06453625,6.448293333333333,38.404088333333334,0.13526291666666665
2025-05-02,7.29327,33.02987791666667,49.19594166666667,33.59485625,2.3577820833333334,0.04603458333333333,4.617700833333333,28.257960416666666,0.12775583333333332
2025-05-03,10.911389999999999,34.189315,54.99961916666667,33.815052083333335,3.086110833333333,0.09521875,9.523314583333333,66.17821958333333,0.13553291666666667
2025-05-04,8.38622,34.16685041666667,53.390833750000006,33.00641041666667,2.62514625,0.06526,6.51860125,39.018118333333334,0.12726708333333334
2025-05-05,7.08815,34.17514791666667,48.15652875,33.27161708333333,2.34683625,0.046987916666666664,4.709486666666667,28.735809166666666,0.12280333333333333
2025-05-06,8.65183,36.24001166666667,55.091825416666666,33.00761166666667,2.715840416666667,0.07151333333333333,7.145946666666666,44.44639458333333,0.12652791666666666
