LocalTime,Wh_sum
2025-04,66.88280999999999
2025-05,247.31027
2025-06,236.70713
2025-07,219.54923
2025-08,220.75158
2025-09,191.09766
2025-10,187.28464
2025-11,180.70592
2025-12,161.34912
2026-01,161.66205
2026-02,152.28331
2026-03,60.16945
