column,records,values_count,min,median,max,mean,std
category,30,30,120.0,120.0,120.0,120.0,0.0
file,30,0,,,,,
MAE,30,30,1.6322917354475477,1.6322917354475477,1.6322917354475477,1.6322917354475477,0.0
MAPE(%),30,30,31.71528093274707,31.71528093274707,31.71528093274707,31.71528093274707,0.0
MASE_lag1,30,30,2.000324450862958,2.000324450862958,2.000324450862958,2.000324450862958,0.0
R2,30,30,-6.194951073441402,-6.194951073441402,-6.194951073441402,-6.194951073441402,0.0
RMSSE,30,30,1.4427726992970857,1.4427726992970857,1.4427726992970857,1.4427726992970857,0.0
SMAPE(%),30,30,26.586044294993332,26.586044294993332,26.586044294993332,26.586044294993332,0.0
nMAE,30,30,0.2985897695393261,0.2985897695393261,0.2985897695393261,0.2985897695393261,0.0
nRMSE,30,30,0.3214549831864963,0.3214549831864963,0.3214549831864963,0.3214549831864963,0.0
