category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
120,260424_035328/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_035328/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_035328/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_035328/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_035527/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_035527/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_035527/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_035527/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_035750/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_035750/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_035750/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_035750/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_035947/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_035947/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_035947/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_035947/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_040135/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_040135/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_040135/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_040135/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_040331/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_040331/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_040331/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_040331/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_040553/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_040553/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_040553/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_040553/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_040757/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_040757/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_040757/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_040757/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_040950/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_040950/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_040950/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_040950/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_041127/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_041127/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_041127/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_041127/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_041300/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_041300/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_041300/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_041300/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_041435/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_041435/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_041435/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_041435/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_041613/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_041613/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_041613/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_041613/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_041748/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_041748/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_041748/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_041748/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_041920/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_041920/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
60,260424_041920/60/forecast_Wh_metrics_60d.json,[1.0298351381906294],[18.60431474370095],[1.401167334098811],[-4.5283186454565945],[1.0753017437092502],[21.075457568628824],[0.19350166338309768],[0.22419946974871138]
90,260424_041920/90/forecast_Wh_metrics_90d.json,[0.5782064802042601],[10.981659083241356],[0.7541229483937002],[-0.5548010706044089],[0.6053465283130607],[11.005264824739916],[0.10948703468717629],[0.13263057143186394]
120,260424_042110/120/forecast_Wh_metrics_120d.json,[1.2029193670664278],[21.59220366973572],[1.474141521460207],[-4.055368789901986],[1.2093734074054194],[25.673340607659327],[0.2200460915084371],[0.26945277557102865]
30,260424_042110/30/forecast_Wh_metrics_30d.json,[0.6662245372987453],[11.58331102378607],[0.9319074525497897],[-1.5948798361393988],[0.7464735956876608],[12.584782295524969],[0.12200378010365578],[0.1463303774262183]
