ds,yhat,yhat_lower,yhat_upper
2000-01-01,23.65705130640666,17.762420098847066,30.306938125200556
2000-01-02,23.663747188546797,17.903454756100352,29.989066942281944
2000-01-03,23.642045316593176,17.418802727817425,29.904563661475155
2000-01-04,23.6262016171219,17.60304192783036,29.956999869090097
2000-01-05,23.64374482437421,17.259877752895722,29.96103736464987
2000-01-06,23.650133977773656,17.80954505753341,29.36433395341863
2000-01-07,23.630976735864863,17.696558176289866,29.472070556918688
2000-01-08,23.657621132633793,17.91548595538689,29.75271731458
2000-01-09,23.6643170147739,17.23305986866296,29.252560355145626
2000-01-10,23.64261514282025,17.472421514823093,29.62256935825826
2000-01-11,23.626771443349,17.29984288917326,29.326624250578607
2000-01-12,23.6443146506013,17.32063652321129,29.55459391553577
2000-01-13,23.650703804000745,17.570432024112034,29.30132937543732
2000-01-14,23.631546562091973,17.696581473170525,29.77286078934303
2000-01-15,23.65819095886092,17.726851266967888,29.479355876496314
2000-01-16,23.664886841001007,17.587521605268837,29.636022798966586
2000-01-17,23.643184969047443,17.218939832802718,29.560745644998846
2000-01-18,23.627341269576103,17.72578429896138,30.246974139824157
2000-01-19,23.64488447682844,17.519431219967554,29.749576022931876
2000-01-20,23.651273630227845,17.486326925130204,29.818806519352773
2000-01-21,23.63211638831908,17.408487668318397,30.308656892213346
2000-01-22,23.65876078508799,17.324887077121932,29.75170715908791
2000-01-23,23.665456667228113,17.366636500996535,29.871526541059485
2000-01-24,23.643754795274532,17.537284693824777,29.53414047954382
2000-01-25,23.627911095803206,18.072244511333537,30.113408901075353
2000-01-26,23.645454303055555,17.267146080140655,29.761690473338906
2000-01-27,23.651843456454948,17.17126813297524,29.379549992519312
2000-01-28,23.632686214546183,17.45529748989263,30.282417768031166
2000-01-29,23.659330611315113,17.694741191838688,30.182085964517217
2000-01-30,23.6660264934552,17.09888933566013,29.655687670261027
2000-01-31,23.644324621501625,17.672298703472556,29.639276627068977
2000-02-01,23.628480922030327,16.989169982140215,29.375711780651212
2000-02-02,23.646024129282633,17.45922294091724,29.991848211187047
2000-02-03,23.652413282682115,17.286803248579293,29.831064845991556
2000-02-04,23.63325604077329,17.57549707136894,29.681768717189165
2000-02-05,23.659900437542245,17.776222582649023,29.561957148816315
2000-02-06,23.666596319682306,17.03542112278535,29.40906095870484
2000-02-07,23.644894447728767,17.794156764321027,29.851076326646
2000-02-08,23.62905074825743,17.30659117504362,29.717927547368745
2000-02-09,23.646593955509758,17.334927252993392,29.96482083594626
2000-02-10,23.6529831089092,17.644227258440186,30.060112994517425
2000-02-11,23.633825867000397,17.409075110377113,29.529174379895917
2000-02-12,23.66047026376937,17.35836639477665,29.743348950630743
2000-02-13,23.667166145909466,17.465733058315358,29.207579096074497
2000-02-14,23.64546427395584,17.441037144591434,29.836390315143394
2000-02-15,23.629620574484534,17.791423481545614,29.567857180365255
2000-02-16,23.647163781736882,17.5269223402363,29.92722582112594
2000-02-17,23.653552935136293,17.63381088796804,29.269321912101404
2000-02-18,23.634395693227503,17.756849773730583,29.939596074781445
2000-02-19,23.66104008999644,17.551952046458723,29.626467407569667
2000-02-20,23.66773597213657,17.640714815286135,30.059845954353975
2000-02-21,23.64603410018293,17.338945524740357,30.03673449301476
2000-02-22,23.630190400711637,17.152457284903704,30.330791625477765
2000-02-23,23.647733607963996,17.363219015609136,29.466664922570548
2000-02-24,23.65412276136342,17.9934767037373,29.574208318552387
2000-02-25,23.63496551945461,17.7131039384506,29.678365637325985
2000-02-26,23.66160991622357,18.125359684176043,30.11178014563752
2000-02-27,23.668305798363654,17.739390794040705,30.154970362725095
2000-02-28,23.64660392641002,17.424296050261454,29.907836563600736
2000-02-29,23.63076022693874,17.383445744370473,29.87086756393055
2000-03-01,23.648303434191025,17.633050927537315,30.086365281930618
2000-03-02,23.654692587590525,17.670996049445453,29.826762317143622
2000-03-03,23.635535345681717,17.87389404893167,30.186500982906058
2000-03-04,23.662179742450697,17.848982322256774,29.82388525458421
2000-03-05,23.668875624590765,17.266230782032718,29.62212718026678
2000-03-06,23.647173752637162,17.534364155772398,30.4637980651562
2000-03-07,23.631330053165858,17.016415788269896,29.91322135867022
2000-03-08,23.64887326041814,17.445739749240364,29.805908724965178
2000-03-09,23.655262413817606,17.3105813890345,29.66854255713677
2000-03-10,23.636105171908827,17.29923313873164,30.511420897288275
2000-03-11,23.66274956867776,17.126813591786195,29.70320770882178
2000-03-12,23.669445450817868,17.333026047306046,30.122766259406976
2000-03-13,23.647743578864237,17.47733487568004,29.80387227214997
2000-03-14,23.631899879392964,17.52457744275867,29.87697161584289
2000-03-15,23.649443086645267,17.504797410222192,29.588664703551228
2000-03-16,23.655832240044724,16.969937129204677,29.854436107359565
2000-03-17,23.636674998135927,17.75965313745289,29.725855188844918
2000-03-18,23.66331939490483,17.967270682107298,30.386719805472662
2000-03-19,23.670015277044975,17.328041267186833,29.781275901197695
2000-03-20,23.648313405091343,17.50271681293063,29.638892566602433
2000-03-21,23.632469705620068,18.017412817094282,29.71790100086587
2000-03-22,23.650012912872356,17.418372101435924,29.631044444626855
2000-03-23,23.656402066271824,17.677973212219094,30.018435105483917
2000-03-24,23.637244824363034,17.410738855431777,29.623753066642365
2000-03-25,23.663889221131953,17.990756334317354,29.97972121128671
2000-03-26,23.670585103272067,17.30878436842977,29.976870318314596
2000-03-27,23.6488832313185,17.86383043876757,29.88106631149631
2000-03-28,23.63303953184717,17.511856273979213,29.4710786612163
2000-03-29,23.650582739099466,17.613415458190843,29.737019164308425
2000-03-30,23.656971892498923,17.366869389776237,30.079497519902826
2000-03-31,23.637814650590144,17.30303584188091,29.645659153235822
2000-04-01,23.664459047359024,17.558133126656593,29.931162548148613
2000-04-02,23.67115492949918,17.550892621782104,29.773951593217397
2000-04-03,23.649453057545575,17.24212283428638,29.679425348128095
2000-04-04,23.63360935807429,17.40528370895134,30.15921914898578
2000-04-05,23.65115256532658,17.716307951699655,29.82196307716485
2000-04-06,23.657541718726012,17.47989477485599,29.68637069796831
2000-04-07,23.63838447681725,17.412299538464563,29.882793744050467
2000-04-08,23.665028873586156,17.62518984816084,29.79337158930207
2000-04-09,23.671724755726288,17.79647194859503,29.830954479042326
2000-04-10,23.65002288377265,17.395065237950238,29.638008090574054
2000-04-11,23.634179184301406,17.209065271330203,30.04310435817896
2000-04-12,23.651722391553673,17.32020025009656,29.733577607088694
