ds,yhat,yhat_lower,yhat_upper
2000-01-01,23.65705130640666,17.63206855301579,30.0632561991731
2000-01-02,23.663747188546797,17.668085016920614,29.489784436253803
2000-01-03,23.642045316593176,17.826837610746207,29.828200879453004
2000-01-04,23.6262016171219,17.94726783191368,29.70643824441372
2000-01-05,23.64374482437421,17.891058984961422,29.94321053652793
2000-01-06,23.650133977773656,17.794313809130436,30.302843064521795
2000-01-07,23.630976735864863,18.051531240369545,29.992741358398426
2000-01-08,23.657621132633793,17.46564525297352,29.807631729457228
2000-01-09,23.6643170147739,17.983869964248957,29.66242841334819
2000-01-10,23.64261514282025,17.495199237782906,29.93716757568642
2000-01-11,23.626771443349,17.463852916354373,30.167163175080596
2000-01-12,23.6443146506013,17.25096117196032,30.2947615952054
2000-01-13,23.650703804000745,17.489621239696877,29.76520304237815
2000-01-14,23.631546562091973,17.215734098475394,29.791784813622222
2000-01-15,23.65819095886092,17.320550024674603,30.00454554121364
2000-01-16,23.664886841001007,17.573371550490997,29.25046657625264
2000-01-17,23.643184969047443,17.670091436203183,29.47899219138655
2000-01-18,23.627341269576103,17.96885554033003,29.56817724578911
2000-01-19,23.64488447682844,17.393628130415813,29.90766015349616
2000-01-20,23.651273630227845,17.245327569476444,29.431139797558313
2000-01-21,23.63211638831908,17.500637836689982,29.954022563207396
2000-01-22,23.65876078508799,17.340932367408964,29.605618093858133
2000-01-23,23.665456667228113,17.643007653334834,29.395004857749242
2000-01-24,23.643754795274532,17.258278589167524,29.79871500769357
2000-01-25,23.627911095803206,17.979105059347596,29.767435306898836
2000-01-26,23.645454303055555,18.122145343284235,29.613252485678277
2000-01-27,23.651843456454948,18.06739404683254,29.637172876147332
2000-01-28,23.632686214546183,17.590579337207057,29.76485424746725
2000-01-29,23.659330611315113,17.341667696340373,29.483953106839056
2000-01-30,23.6660264934552,17.558234065109335,29.91213825998514
2000-01-31,23.644324621501625,17.5895860123109,30.04739247272486
2000-02-01,23.628480922030327,17.626685003869543,29.71380931436419
2000-02-02,23.646024129282633,17.48306743493801,29.830949942749015
2000-02-03,23.652413282682115,17.71922669173374,29.692899683378588
2000-02-04,23.63325604077329,17.226399891695223,29.75613904356946
2000-02-05,23.659900437542245,17.71450376768784,29.326187531629746
2000-02-06,23.666596319682306,17.667733115146753,29.68433676946204
2000-02-07,23.644894447728767,17.58453642467896,29.707818934846546
2000-02-08,23.62905074825743,17.432160894887662,29.302779448417194
2000-02-09,23.646593955509758,17.476565713296214,28.92247289805853
2000-02-10,23.6529831089092,17.575395498349923,29.87110710788471
2000-02-11,23.633825867000397,17.09920018302335,29.41958376297834
2000-02-12,23.66047026376937,17.76463328283077,30.22584939272295
2000-02-13,23.667166145909466,17.80058232680548,30.035140601462754
2000-02-14,23.64546427395584,17.876960357092745,29.678049948216934
2000-02-15,23.629620574484534,17.918292502876525,30.051631193144917
2000-02-16,23.647163781736882,17.488121698195794,30.27029454373271
2000-02-17,23.653552935136293,17.494695059061417,30.512864681324125
2000-02-18,23.634395693227503,17.266055699689453,29.7380125818252
2000-02-19,23.66104008999644,17.963921644148698,29.979486908372778
2000-02-20,23.66773597213657,17.68816534056326,29.923767461280242
2000-02-21,23.64603410018293,17.463599496913115,28.859761508678293
2000-02-22,23.630190400711637,17.68887321822802,29.822534979935398
2000-02-23,23.647733607963996,17.270436186309688,30.07928736665306
2000-02-24,23.65412276136342,17.454979782204713,29.781359549144323
2000-02-25,23.63496551945461,17.313258029780492,29.94867291674012
2000-02-26,23.66160991622357,17.713840828437156,29.644091435091315
2000-02-27,23.668305798363654,17.671982382287695,30.04528238923706
2000-02-28,23.64660392641002,17.68465705203929,29.767165843383896
2000-02-29,23.63076022693874,17.3684913350228,29.36625899186947
2000-03-01,23.648303434191025,17.457172304711147,29.54232452481468
2000-03-02,23.654692587590525,17.727107016003764,29.68846340099493
2000-03-03,23.635535345681717,16.95060501147517,29.487037822403984
2000-03-04,23.662179742450697,17.468278318843975,29.50092637932084
2000-03-05,23.668875624590765,17.15049487501535,29.94583087443352
2000-03-06,23.647173752637162,17.103515101076837,29.847547016780005
2000-03-07,23.631330053165858,17.64594620509699,29.995630391826708
2000-03-08,23.64887326041814,17.407761535342598,29.585946099358857
2000-03-09,23.655262413817606,17.605262584028246,29.805557831340842
2000-03-10,23.636105171908827,17.369383602384687,29.45461326283838
2000-03-11,23.66274956867776,17.78368787797151,30.064003282048866
2000-03-12,23.669445450817868,17.45517141913203,29.773501033847733
2000-03-13,23.647743578864237,17.1844012923003,29.79662003730891
2000-03-14,23.631899879392964,17.31787013187927,30.288422532120226
2000-03-15,23.649443086645267,17.899184255930226,29.97115726463676
2000-03-16,23.655832240044724,18.160539165586684,30.130756046167637
2000-03-17,23.636674998135927,17.350162552141217,29.489573491838385
2000-03-18,23.66331939490483,17.56001323363126,29.213151557867658
2000-03-19,23.670015277044975,17.54584038565365,30.111904291059933
2000-03-20,23.648313405091343,17.350559915286585,29.603029646238493
2000-03-21,23.632469705620068,17.779777124726216,30.32850135679771
2000-03-22,23.650012912872356,17.834872957592193,30.05676345552959
2000-03-23,23.656402066271824,17.606838985699504,29.815351676518596
2000-03-24,23.637244824363034,17.486482293280474,29.80238510660807
2000-03-25,23.663889221131953,17.194474481190205,30.327219485916835
2000-03-26,23.670585103272067,17.499005863577793,29.438944132982712
2000-03-27,23.6488832313185,17.18220982626979,29.488938270554552
2000-03-28,23.63303953184717,17.238384642561453,29.509443981288698
2000-03-29,23.650582739099466,17.658490227488848,30.095962818333515
2000-03-30,23.656971892498923,17.267310375927554,29.24714665788828
2000-03-31,23.637814650590144,17.771113721551146,29.900155831992183
2000-04-01,23.664459047359024,17.805430116374,29.929580774098838
2000-04-02,23.67115492949918,17.806833033566463,29.54026931273037
2000-04-03,23.649453057545575,17.42604935090958,30.0484032795834
2000-04-04,23.63360935807429,17.648658717521805,29.83566273871829
2000-04-05,23.65115256532658,17.45082517614385,29.66985667737142
2000-04-06,23.657541718726012,17.601300683214063,29.943019882462774
2000-04-07,23.63838447681725,17.734663654505773,30.025445564216454
2000-04-08,23.665028873586156,17.53455883212274,29.656831767057525
2000-04-09,23.671724755726288,18.01875732211521,30.51186152590732
2000-04-10,23.65002288377265,17.695638108295014,29.80636782737154
2000-04-11,23.634179184301406,17.475381889224817,29.821323469458903
2000-04-12,23.651722391553673,17.920640105181906,29.6411752637538
2000-04-13,23.658111544953133,17.679953665164916,29.75496920908544
2000-04-14,23.638954303044354,17.567611219213425,29.79554949790337
2000-04-15,23.66559869981328,17.330867344462572,29.99327138951954
2000-04-16,23.67229458195339,17.50417421356271,29.948816022513682
2000-04-17,23.65059270999974,17.13976033772906,29.552585897782194
2000-04-18,23.634749010528495,17.706619230040317,29.43366025719056
2000-04-19,23.652292217780797,17.13985530616214,30.474760161471565
2000-04-20,23.658681371180236,17.511269227233516,29.836192932889585
2000-04-21,23.63952412927146,17.295602195054332,29.423156620455668
2000-04-22,23.66616852604041,17.920461977717718,29.60569096025304
2000-04-23,23.6728644081805,17.371906852452856,29.656746410281887
2000-04-24,23.651162536226895,17.248171308564913,29.759207428985167
2000-04-25,23.635318836755584,17.163200509396553,29.520223299378447
2000-04-26,23.652862044007914,17.753858336414144,30.08370448469201
2000-04-27,23.659251197407336,17.54241197391826,29.65378594885064
2000-04-28,23.640093955498564,16.995062683584106,29.48947621719621
2000-04-29,23.666738352267476,17.560393174146427,29.82145865160204
2000-04-30,23.673434234407594,17.680275254316797,29.60750895909393
2000-05-01,23.651732362454023,17.548055395288014,30.171323850561752
2000-05-02,23.6358886629827,17.632565980178548,29.935925453460737
2000-05-03,23.65343187023503,17.445025732185346,30.24395737671893
2000-05-04,23.659821023634457,17.322051236774236,29.817033884241372
2000-05-05,23.64066378172567,17.709995080396258,29.822697620492015
2000-05-06,23.667308178494608,17.29182628876287,29.763569936396014
2000-05-07,23.6740040606347,17.660621138944997,29.808379702628706
2000-05-08,23.652302188681098,17.360842788928643,29.79055450136501
2000-05-09,23.636458489209804,17.54368390307559,29.84856741313658
2000-05-10,23.654001696462117,17.728225991656313,29.395204861550134
2000-05-11,23.660390849861592,17.361222339445668,29.60114391233452
2000-05-12,23.641233607952778,18.004313808043893,29.529408647407607
2000-05-13,23.667878004721736,17.679843016917644,29.7796904623934
2000-05-14,23.674573886861804,17.74894872161254,29.846195176285214
2000-05-15,23.65287201490824,17.527342608822295,29.973727596385856
2000-05-16,23.63702831543691,17.486997335680787,29.740376418279855
2000-05-17,23.654571522689256,18.01076628332231,29.816808428870125
2000-05-18,23.66096067608868,17.47924384154683,30.08067232256059
2000-05-19,23.641803434179884,17.16051370297561,29.905453569662626
2000-05-20,23.668447830948804,17.755745188613485,30.06110924514991
2000-05-21,23.675143713088918,17.791669822723897,29.597602037497822
2000-05-22,23.653441841135333,17.246560466110996,29.75160552445209
2000-05-23,23.63759814166401,17.373979381301787,30.19055843555923
2000-05-24,23.65514134891637,18.320179585714744,29.852301335334875
2000-05-25,23.661530502315813,17.357308698407035,29.666668951938455
2000-05-26,23.642373260406988,17.448346937313996,30.20620635775009
2000-05-27,23.669017657175935,17.557040939486523,30.063557139668106
2000-05-28,23.67571353931605,17.465570216192006,29.730410099399037
2000-05-29,23.65401166736242,17.654977007618577,30.025307616384733
2000-05-30,23.638167967891132,17.571437334766546,29.4770584005253
2000-05-31,23.655711175143445,17.578593191761854,29.391851043630012
2000-06-01,23.662100328542913,17.57375626459387,29.74662070363034
2000-06-02,23.642943086634098,17.924920597340925,30.022178896361726
2000-06-03,23.669587483403063,17.83999267574973,29.506124909062855
2000-06-04,23.676283365543142,17.64080807239751,29.964507878910183
2000-06-05,23.65458149358956,17.303909535328998,29.861560504855227
2000-06-06,23.638737794118235,17.69586695993551,29.666899760772097
2000-06-07,23.656281001370573,17.70011707774673,29.378836353865704
2000-06-08,23.66267015477,17.642291345496574,29.677472566263155
2000-06-09,23.64351291286121,17.34136534946159,29.944336640776296
2000-06-10,23.670157309630184,17.191959483443664,29.675677305634196
2000-06-11,23.676853191770263,17.404344335363565,29.865991666297216
2000-06-12,23.65515131981664,17.72928290262434,30.079396605083
2000-06-13,23.63930762034534,18.05757089804418,29.579283019512264
2000-06-14,23.656850827597637,17.599382628359276,29.775138530574417
2000-06-15,23.663239980997094,17.47834157545137,29.57482514599594
2000-06-16,23.644082739088308,18.054400982392664,29.80072050138744
2000-06-17,23.670727135857256,17.673999374885693,29.45029357549809
2000-06-18,23.67742301799737,18.00338737355334,29.950037910570902
2000-06-19,23.655721146043728,17.579143006619223,29.93279240583982
2000-06-20,23.639877446572445,17.443634058436526,29.73749747131644
2000-06-21,23.65742065382473,17.119879754548666,30.080251762857834
2000-06-22,23.66380980722422,17.719676332560173,29.324163990902342
2000-06-23,23.644652565315415,17.266859545595782,29.794881079080195
2000-06-24,23.67129696208432,17.979862430380805,29.636138598270627
2000-06-25,23.677992844224455,17.260171981632105,29.98591132809805
2000-06-26,23.65629097227082,17.309986176895187,29.12739619251252
2000-06-27,23.64044727279955,17.901044923407955,29.676566345055814
2000-06-28,23.65799048005184,18.028822798144958,29.8234078807972
2000-06-29,23.66437963345132,17.479839969186315,29.849321810963005
2000-06-30,23.645222391542525,17.505786176217192,29.651497893012383
2000-07-01,23.671866788311448,17.678891445234136,30.144988798460414
2000-07-02,23.678562670451566,17.797030839777843,29.771759098964797
2000-07-03,23.656860798497963,17.67154638899282,29.360743645731414
2000-07-04,23.641017099026666,17.88600173991199,30.163880349534466
2000-07-05,23.658560306278954,17.554002642133486,29.91088637975117
2000-07-06,23.664949459678404,17.738210136975226,30.186275679522577
2000-07-07,23.645792217769632,17.719273596713553,29.988473025261676
2000-07-08,23.67243661453852,17.65220900920756,29.79692527812954
