column,records,values_count,min,median,max,mean,std
category,30,30,60.0,60.0,60.0,60.0,0.0
file,30,0,,,,,
MAE,30,30,1.7018502455086155,1.7018502455086155,1.7018502455086155,1.7018502455086155,0.0
MAPE(%),30,30,30.98520745473291,30.98520745473291,30.98520745473291,30.98520745473291,0.0
MASE_lag1,30,30,2.3154938913079817,2.3154938913079817,2.3154938913079817,2.3154938913079817,0.0
MASE_lastValue,30,30,2.279258634032445,2.279258634032445,2.279258634032445,2.279258634032445,0.0
R2,30,30,-14.59987289008353,-14.59987289008353,-14.59987289008353,-14.59987289008353,0.0
RMSSE,30,30,1.8063185679365248,1.8063185679365248,1.8063185679365248,1.8063185679365248,0.0
SMAPE(%),30,30,39.33101930993225,39.33101930993225,39.33101930993225,39.33101930993225,0.0
last_value_index,30,0,,,,,
last_value_value,30,30,4.57906,4.57906,4.57906,4.57906,0.0
nMAE,30,30,0.31977045754472266,0.31977045754472266,0.31977045754472266,0.31977045754472266,0.0
nRMSE,30,30,0.37661583597145315,0.37661583597145315,0.37661583597145315,0.37661583597145315,0.0
