column,records,values_count,min,median,max,mean,std
category,30,30,30.0,30.0,30.0,30.0,0.0
file,30,0,,,,,
MAE,30,30,0.5560301696733153,0.5560301696733153,0.5560301696733153,0.5560301696733153,0.0
MAPE(%),30,30,9.641885507688444,9.641885507688444,9.641885507688444,9.641885507688444,0.0
MASE_lag1,30,30,0.7777688000835847,0.7777688000835847,0.7777688000835847,0.7777688000835847,0.0
MASE_lastValue,30,30,0.7478385406552138,0.7478385406552138,0.7478385406552138,0.7478385406552138,0.0
R2,30,30,-0.9472967852296439,-0.9472967852296439,-0.9472967852296439,-0.9472967852296439,0.0
RMSSE,30,30,0.6466538956154062,0.6466538956154062,0.6466538956154062,0.6466538956154062,0.0
SMAPE(%),30,30,10.339137863542081,10.339137863542081,10.339137863542081,10.339137863542081,0.0
last_value_index,30,0,,,,,
last_value_value,30,30,4.72749,4.72749,4.72749,4.72749,0.0
nMAE,30,30,0.10182420303352183,0.10182420303352183,0.10182420303352183,0.10182420303352183,0.0
nRMSE,30,30,0.1267628341527163,0.1267628341527163,0.1267628341527163,0.1267628341527163,0.0
