column,records,values_count,min,median,max,mean,std
category,30,30,120.0,120.0,120.0,120.0,0.0
file,30,0,,,,,
MAE,30,30,1.3783496731879035,1.3783496731879035,1.3783496731879035,1.3783496731879035,0.0
MAPE(%),30,30,26.847638432859817,26.847638432859817,26.847638432859817,26.847638432859817,0.0
MASE_lag1,30,30,1.6891260877215473,1.6891260877215473,1.6891260877215473,1.6891260877215473,0.0
R2,30,30,-5.302589822174074,-5.302589822174074,-5.302589822174074,-5.302589822174074,0.0
RMSSE,30,30,1.3503411896944708,1.3503411896944708,1.3503411896944708,1.3503411896944708,0.0
SMAPE(%),30,30,22.56940912120052,22.56940912120052,22.56940912120052,22.56940912120052,0.0
nMAE,30,30,0.2521369815971887,0.2521369815971887,0.2521369815971887,0.2521369815971887,0.0
nRMSE,30,30,0.3008609080562371,0.3008609080562371,0.3008609080562371,0.3008609080562371,0.0
