category,file,MAE,MAPE(%),MASE_lag1,R2,RMSSE,SMAPE(%),nMAE,nRMSE
120,260426_042755/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
30,260426_042755/30/forecast_Wh_metrics_30d.json,[0.4667696841044683],[8.204714933802094],[0.6529122283681524],[-0.3292507346392677],[0.5342681432055233],[8.571587185178982],[0.08547818747329958],[0.10473198180579849]
60,260426_042755/60/forecast_Wh_metrics_60d.json,[0.6039303693994077],[10.86449234014446],[0.8216922051809418],[-1.120788833186512],[0.6660127302536359],[11.600431412370412],[0.1134759600955878],[0.13886306968468112]
90,260426_042755/90/forecast_Wh_metrics_90d.json,[1.9266346436934494],[37.61451269281908],[2.5128037262160823],[-13.748489934365825],[1.864405685403143],[30.50073987606335],[0.3648203907868033],[0.40848865876034735]
120,260426_043108/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
60,260426_043108/60/forecast_Wh_metrics_60d.json,[0.6042735968960524],[10.870264665072044],[0.8221591917292043],[-1.12298224841361],[0.666357051413545],[11.607614567194249],[0.11354045108939509],[0.13893486034430433]
90,260426_043108/90/forecast_Wh_metrics_90d.json,[0.5483872417825658],[10.444772839777869],[0.7152313538382763],[-0.3941350617159516],[0.573217004605185],[10.408443659410695],[0.10384057429076585],[0.12559103805734464]
120,260426_043303/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
30,260426_043303/30/forecast_Wh_metrics_30d.json,[0.4667696841044683],[8.204714933802094],[0.6529122283681524],[-0.3292507346392679],[0.5342681432055234],[8.571587185178982],[0.08547818747329958],[0.10473198180579851]
60,260426_043303/60/forecast_Wh_metrics_60d.json,[0.6039303693994077],[10.86449234014446],[0.8216922051809418],[-1.120788833186512],[0.6660127302536359],[11.600431412370412],[0.1134759600955878],[0.13886306968468112]
90,260426_043303/90/forecast_Wh_metrics_90d.json,[1.9266346436934494],[37.61451269281908],[2.5128037262160823],[-13.748489934365825],[1.864405685403143],[30.50073987606335],[0.3648203907868033],[0.40848865876034735]
120,260426_043607/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
30,260426_043607/30/forecast_Wh_metrics_30d.json,[0.46676968410446834],[8.204714933802096],[0.6529122283681525],[-0.32925073463926813],[0.5342681432055234],[8.571587185178982],[0.08547818747329959],[0.10473198180579851]
60,260426_043607/60/forecast_Wh_metrics_60d.json,[0.6039303693994077],[10.86449234014446],[0.8216922051809418],[-1.120788833186512],[0.6660127302536359],[11.600431412370412],[0.1134759600955878],[0.13886306968468112]
90,260426_043607/90/forecast_Wh_metrics_90d.json,[1.9266346436934494],[37.61451269281908],[2.5128037262160823],[-13.748489934365825],[1.864405685403143],[30.50073987606335],[0.3648203907868033],[0.40848865876034735]
120,260426_043906/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
30,260426_043906/30/forecast_Wh_metrics_30d.json,[0.4667696841044684],[8.204714933802096],[0.6529122283681525],[-0.3292507346392679],[0.5342681432055234],[8.571587185178984],[0.0854781874732996],[0.10473198180579851]
60,260426_043906/60/forecast_Wh_metrics_60d.json,[0.6042735968960524],[10.870264665072044],[0.8221591917292043],[-1.12298224841361],[0.666357051413545],[11.607614567194249],[0.11354045108939509],[0.13893486034430433]
90,260426_043906/90/forecast_Wh_metrics_90d.json,[0.5469067737223836],[10.410442704932812],[0.7133004606768006],[-0.37842791550740706],[0.5699787576819607],[10.378663171033944],[0.10356023834952707],[0.12488154271909338]
120,260426_044200/120/forecast_Wh_metrics_120d.json,[1.3783496731879035],[26.847638432859817],[1.6891260877215473],[-5.302589822174074],[1.3503411896944708],[22.56940912120052],[0.2521369815971887],[0.3008609080562371]
30,260426_044200/30/forecast_Wh_metrics_30d.json,[0.4667696841044683],[8.204714933802098],[0.6529122283681524],[-0.3292507346392679],[0.5342681432055234],[8.571587185178986],[0.08547818747329958],[0.10473198180579851]
60,260426_044200/60/forecast_Wh_metrics_60d.json,[0.6039303693994077],[10.86449234014446],[0.8216922051809418],[-1.120788833186512],[0.6660127302536359],[11.600431412370412],[0.1134759600955878],[0.13886306968468112]
90,260426_044200/90/forecast_Wh_metrics_90d.json,[0.5483872417825658],[10.444772839777869],[0.7152313538382763],[-0.3941350617159516],[0.573217004605185],[10.408443659410695],[0.10384057429076585],[0.12559103805734464]
