date,E_day_kWh,Hpoa_day_kWhm2,G(i)_Whm2,G(i)_kWhm2,G(i)_mean,G(i)_min,G(i)_max,G(i)_std,G(i)_p10,G(i)_p90,P_Wh,P_kWh,P_mean,P_min,P_max,P_std,P_p10,P_p90,T2m_mean,T2m_min,T2m_max,T2m_std,T2m_p10,T2m_p90,WS10m_mean,WS10m_max,WS10m_std,WS10m_p10,WS10m_p90,H_sun_max,H_sun_mean,n_obs_P,valid_frac_P,n_obs_G(i),valid_frac_G(i),n_obs_T2m,valid_frac_T2m,n_obs_WS10m,valid_frac_WS10m,n_obs_H_sun,valid_frac_H_sun
2005-02-17,0.42012,6.30588,6305.88,6.30588,262.745,0.0,914.86,347.8827666851604,0.0,792.179,420.12,0.42012,17.505,0.0,59.94,23.23774085405033,0.0,53.017,18.661666666666665,14.06,23.89,3.5753487718794252,14.491999999999999,23.463,1.35125,1.93,0.3669653756916608,0.872,1.702,53.58,15.243333333333334,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-18,0.18271,2.66685,2666.85,2.6668499999999997,111.11874999999999,0.0,434.46,150.0682167871462,0.0,329.496,182.71,0.18271,7.612916666666667,0.0,30.85,10.598058263157236,0.0,23.197,16.430416666666666,14.55,18.12,0.9853513130579002,14.974,17.24,1.1433333333333333,1.93,0.4046863161669215,0.62,1.639,53.93,15.360833333333332,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-19,0.15663,2.27072,2270.72,2.27072,94.61333333333333,0.0,400.38,137.15785173570495,0.0,314.758,156.63,0.15663,6.52625,0.0,28.64,9.79219023885428,0.0,22.323999999999998,12.780416666666667,10.29,15.04,1.415920285052513,10.769,14.604000000000001,1.8808333333333334,2.55,0.39295886129042396,1.331,2.4869999999999997,54.28,15.479999999999999,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-20,0.05279,0.8535200000000001,853.52,0.85352,35.56333333333333,0.0,225.4,58.16602090916824,0.0,108.00399999999998,52.79,0.05279,2.1995833333333334,0.0,15.93,3.9698170795299292,0.0,6.852999999999998,9.84125,9.29,11.09,0.4477801527729776,9.405000000000001,10.401,1.5920833333333333,2.21,0.35123359211767313,1.03,1.93,54.64,15.600000000000001,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-21,0.04263,0.73129,731.29,0.73129,30.470416666666665,0.0,105.86,41.937654500892535,0.0,101.01299999999999,42.63,0.04263,1.77625,0.0,6.67,2.6095507067892636,0.0,6.299999999999999,11.329583333333334,10.16,12.2,0.7397266191063367,10.332,12.035,0.98375,1.38,0.22671208517681052,0.76,1.31,54.99,15.720416666666667,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-22,0.22934,3.29665,3296.65,3.29665,137.36041666666668,0.0,569.94,186.71005514198526,0.0,432.29,229.34,0.22934000000000002,9.555833333333334,0.0,40.4,13.284791866172997,0.0,30.613999999999997,13.86125,11.5,16.42,1.6687623961435039,11.733,16.127,0.82375,1.31,0.3062084044511544,0.48,1.24,55.35,15.841666666666667,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-23,0.32364,4.70817,4708.17,4.70817,196.17375,0.0,632.87,244.64243124116257,0.0,546.944,323.64,0.32364,13.485,0.0,43.13,17.03717852738279,0.0,38.231,16.582916666666666,13.36,20.14,2.2105546798832236,13.808,19.141000000000002,0.8470833333333333,1.86,0.5093344264537932,0.18200000000000005,1.5969999999999998,55.71,15.962916666666667,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-24,0.23076,3.37392,3373.92,3.37392,140.58,0.0,563.69,190.1915604354451,0.0,431.49299999999994,230.76,0.23076,9.615,0.0,39.16,13.295939556708737,0.0,30.182999999999993,17.713333333333335,14.83,20.58,1.6923142545732701,15.881,20.221999999999998,1.08125,2.07,0.4613808433481992,0.5920000000000001,1.7999999999999998,56.07,16.086666666666666,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-25,0.14304,2.13817,2138.17,2.13817,89.09041666666667,0.0,333.64,119.80164586512471,0.0,285.806,143.04,0.14304,5.96,0.0,23.29,8.305218893537077,0.0,19.801,16.919166666666666,15.63,18.15,0.780478764252606,15.841,17.914,0.8562500000000001,1.31,0.4365159741088222,0.14,1.289,56.43,16.209166666666665,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-26,0.20444,3.00398,3003.98,3.00398,125.16583333333334,0.0,642.9,201.84985325767502,0.0,455.18199999999996,204.44,0.20444,8.518333333333333,0.0,44.99,14.209483259174261,0.0,32.22,15.573333333333332,13.64,18.11,1.408402322296181,13.728,17.821,1.4800000000000002,2.14,0.34537943847562663,1.072,1.839,56.8,16.332083333333333,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-27,0.30527,4.41768,4417.68,4.417680000000001,184.07000000000002,0.0,617.57,246.51189072652298,0.0,577.34,305.27,0.30527,12.719583333333333,0.0,43.06,17.309543856338124,0.0,40.375,15.613750000000001,13.32,18.74,1.9855057673484386,13.599,18.561,1.3595833333333334,1.86,0.27315355080767406,0.988,1.702,57.16,16.455000000000002,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-02-28,0.14902,2.18701,2187.0099999999998,2.18701,91.12541666666665,0.0,415.05,124.18819971174769,0.0,253.748,149.02,0.14902,6.209166666666667,0.0,29.81,8.790784164787805,0.0,17.752,14.220416666666667,13.19,15.6,0.6386839673460791,13.559,15.094,1.4520833333333334,2.48,0.5848818473523681,0.83,2.21,57.53,16.579166666666666,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2005-03-01,0.17946,2.62066,2620.66,2.62066,109.19416666666666,0.0,498.98,172.46314620600936,0.0,412.84,179.46,0.17946,7.4775,0.0,35.52,12.305835042245468,0.0,29.330000000000002,14.379583333333334,12.97,16.54,1.1528772292820708,13.058,16.315,1.0320833333333332,1.93,0.3608080203324641,0.76,1.702,57.9,16.703333333333333,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
