LocalTime,Wh,DHT11_temp,DHT11_humidity,LM35_tempC
2025-04-22,0.2485,32.7143,56.0,33.5514
2025-04-23,8.3097,34.48270869565217,57.278039130434784,33.80604782608695
2025-04-24,6.9634,34.196852173913044,58.76493478260869,33.86273043478261
2025-04-25,8.9826,34.00667826086956,56.005300000000005,33.743278260869566
2025-04-26,6.5959,33.346095652173915,41.937947826086955,33.35827391304348
2025-04-27,9.2119,33.22765217391304,55.964239130434784,33.61853913043478
2025-04-28,7.5293,33.53123913043478,59.4286,33.77197826086957
2025-04-29,9.3974,33.05398260869565,57.85599565217391,33.42781304347826
2025-04-30,9.7941,33.639900000000004,52.132200000000005,33.70393913043478
2025-05-01,8.8412,33.05925652173913,54.96266086956522,33.829543478260874
2025-05-02,7.3628,33.293121739130434,49.95189565217391,33.58476521739131
2025-05-03,10.9112,34.19676086956522,54.958491304347824,33.818534782608694
2025-05-04,8.381,34.17410869565217,53.384943478260865,32.995295652173915
2025-05-05,7.1587000000000005,34.43517391304348,49.17967391304347,33.3139
2025-05-06,8.6518,36.303252173913044,55.15249565217391,33.01543043478261
2025-05-07,6.6918999999999995,34.26066956521739,57.92013043478261,33.189373913043475
2025-05-08,8.461500000000001,34.738291304347825,58.48994347826088,33.775926086956524
2025-05-09,8.1121,35.35212173913043,56.3095347826087,33.811286956521734
2025-05-10,6.986,33.589369565217396,55.73057391304348,33.68103913043478
2025-05-11,6.7087,33.15704782608696,49.666939130434784,33.50952608695652
2025-05-12,9.2641,32.056665217391306,59.41456956521739,32.87560434782609
2025-05-13,8.1643,33.42396956521739,57.94665652173912,32.70973478260869
2025-05-14,7.6941,34.1456,54.20649130434782,33.66633043478261
2025-05-15,7.521599999999999,35.196347826086956,53.08534347826087,33.638991304347826
2025-05-16,8.2657,36.36156521739131,52.355804347826094,33.31856086956522
2025-05-17,8.021700000000001,35.13265652173913,48.842047826086954,32.744
2025-05-18,7.7375,34.844213043478256,49.92516086956522,33.45527826086957
2025-05-19,8.0383,35.80816086956522,52.08164782608696,33.716552173913044
2025-05-20,7.9825,36.006973913043474,50.21990434782609,33.23107391304348
2025-05-21,8.284,36.59802608695652,50.34593043478261,32.8281
2025-05-22,7.8973,35.97274782608696,47.85054782608695,33.7559347826087
2025-05-23,8.1109,35.97662173913044,47.095600000000005,33.51708260869565
2025-05-24,7.5984,33.98802173913044,36.21106956521739,32.7155347826087
2025-05-25,8.6567,33.93852608695652,38.40658260869565,32.898856521739134
2025-05-26,6.8032,33.283,54.2770652173913,33.273339130434785
2025-05-27,8.5039,33.42817391304347,55.09180869565217,33.21692608695652
2025-05-28,8.401,34.4947304347826,56.74617826086956,33.10763043478261
2025-05-29,6.4936,33.387026086956524,45.18612608695652,33.160495652173914
2025-05-30,7.6472999999999995,33.460639130434785,50.212643478260865,33.40873913043478
2025-05-31,8.3352,34.129739130434785,55.759299999999996,33.360565217391304
2025-06-01,8.8364,34.15755217391304,54.06025217391304,33.59673478260869
2025-06-02,8.0292,35.51448260869565,57.110460869565216,33.0922
2025-06-03,6.1049,34.25180434782609,56.51796956521739,32.72528695652174
2025-06-04,6.582,33.428265217391306,45.63595217391304,33.358386956521734
2025-06-05,7.6149,35.47311739130435,59.41480869565218,32.85897826086956
2025-06-06,9.6419,35.1197304347826,57.58375217391305,33.01478695652174
2025-06-07,8.6771,34.98671304347826,52.73573913043479,33.62543478260869
2025-06-08,8.8894,34.50357826086957,43.34689565217391,33.315156521739134
2025-06-09,8.087,35.84629130434782,45.86463913043478,33.425517391304346
2025-06-10,7.6207,34.0,36.0,33.71524782608696
2025-06-11,7.6899,34.0,36.0,33.43810434782609
2025-06-12,6.9129,34.0,36.0,33.18862173913043
2025-06-13,5.7131,34.0,36.0,32.97480434782609
2025-06-14,9.5031,34.56138260869565,42.9408,32.89303043478261
2025-06-15,6.9852,35.38329130434783,49.53641739130435,33.03936521739131
2025-06-16,7.5942,35.0,36.0,33.33193913043478
2025-06-17,8.82,35.0,36.0,33.363860869565215
2025-06-18,9.1732,34.915786956521735,36.152478260869565,33.3772
2025-06-19,7.4633,34.951447826086955,36.42281304347826,33.49097391304348
2025-06-20,7.7863999999999995,36.765113043478266,42.78791739130435,33.57727391304348
2025-06-21,8.1487,35.0,35.0,33.61023478260869
2025-06-22,8.6398,35.0,35.0,33.3456
2025-06-23,8.3555,34.945269565217394,35.30458695652174,33.660495652173914
2025-06-24,8.2741,34.80619130434783,35.62786086956522,33.83753478260869
2025-06-25,7.5619000000000005,38.63802173913043,45.192839130434784,33.73592608695652
2025-06-26,8.1547,36.86010869565217,35.458939130434786,33.7534652173913
2025-06-27,6.1205,37.0,35.0,33.44332173913044
2025-06-28,7.9424,37.0,35.0,33.24621739130435
2025-06-29,8.274000000000001,36.86010869565217,35.458939130434786,33.29467826086957
2025-06-30,7.6651,37.0,35.0,33.44601739130435
2025-07-01,8.2763,37.0,35.0,33.59798695652174
2025-07-02,8.813,37.0,35.0,33.669991304347825
2025-07-03,8.1892,36.85831304347826,35.30458695652174,33.79533913043478
2025-07-04,6.8473,36.804013043478264,35.32115217391304,33.47987391304348
