variable,type,count,non_null,missing_count,mean,median,std,min,25%,75%,max,sum,skew,kurtosis,type,unique_count,top,freq,file,date_column,start,end,inferred_freq
G(h)_Whm2,numeric,366.0,366.0,0.0,4342.96131147541,4478.2,1532.8029724302069,45.35,3412.9625,5472.0,7695.95,1589523.84,-0.3659416390701553,-0.3122559375010505,,,,,tmy_24.148_120.703_2005_2023[UTC+8][daily].csv,date,2005-01-01,2006-01-01,D
G(h)_kWhm2,numeric,366.0,366.0,0.0,4.34296131147541,4.478199999999999,1.532802972430207,0.04535,3.4129625,5.4719999999999995,7.69595,1589.5238399999998,-0.3659416390701544,-0.3122559375010505,,,,,tmy_24.148_120.703_2005_2023[UTC+8][daily].csv,date,2005-01-01,2006-01-01,D
G(h)_mean,numeric,366.0,366.0,0.0,181.17744649362479,186.76979166666666,63.8758673554157,5.66875,142.20677083333334,229.75104166666665,320.6645833333333,66310.94541666667,-0.37091424251235416,-0.3217922427071387,,,,,tmy_24.148_120.703_2005_2023[UTC+8][daily].csv,date,2005-01-01,2006-01-01,D
G(h)_min,numeric,366.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,tmy_24.148_120.703_2005_2023[UTC+8][daily].csv,date,2005-01-01,2006-01-01,D
G(h)_max,numeric,366.0,366.0,0.0,660.0636612021858,696.25,196.1822372092384,45.35,557.775,798.55,1036.15,241583.3,-0.835997254944763,0.335694826660347,,,,,tmy_24.148_120.703_2005_2023[UTC+8][daily].csv,date,2005-01-01,2006-01-01,D
G(h)_std_Wm2,numeric,366.0,366.0,0.0,240.23483383821244,255.33704090761245,76.50467172300748,16.033646263404965,200.1563274726072,293.3350786378928,406.2119356024707,87925.94918478576,-0.7011806828883759,0.1081266934965992,,,,,tmy_24.148_120.703_2005_2023[UTC+8][daily].csv,date,2005-01-01,2006-01-01,D
G(h)_p10_Wm2,numeric,366.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,tmy_24.148_120.703_2005_2023[UTC+8][daily].csv,date,2005-01-01,2006-01-01,D
G(h)_p90_Wm2,numeric,366.0,366.0,0.0,564.3041803278687,602.4449999999999,186.40919562613811,13.604999999999992,462.76375,693.80625,956.255,206535.32999999996,-0.6760529372330655,0.04886212315518934,,,,,tmy_24.148_120.703_2005_2023[UTC+8][daily].csv,date,2005-01-01,2006-01-01,D
Gb(n)_Whm2,numeric,366.0,366.0,0.0,4427.267295081968,4762.25,2076.4568656594265,0.0,3130.06,6034.43,9451.97,1620379.83,-0.42263450186200613,-0.5934551656405058,,,,,tmy_24.148_120.703_2005_2023[UTC+8][daily].csv,date,2005-01-01,2006-01-01,D
Gb(n)_kWhm2,numeric,366.0,366.0,0.0,4.4272672950819665,4.76225,2.0764568656594267,0.0,3.1300600000000003,6.0344299999999995,9.45197,1620.3798299999999,-0.42263450186200413,-0.5934551656405072,,,,,tmy_24.148_120.703_2005_2023[UTC+8][daily].csv,date,2005-01-01,2006-01-01,D
