variable,type,count,non_null,missing_count,mean,median,std,min,25%,75%,max,sum,skew,kurtosis,type,unique_count,top,freq,file,date_column,start,end,inferred_freq
TxSoil100cm,numeric,313.0,313.0,0.0,26.530670926517566,27.4,2.679483756670489,21.7,24.4,29.0,29.5,8304.099999999999,-0.5799514063951926,-1.1558502947422027,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
day_of_year,numeric,313.0,313.0,0.0,199.19808306709265,209.0,105.36973545643808,1.0,131.0,287.0,365.0,62349.0,-0.32547348738527837,-0.9675138335354916,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
sin_DOY_k1,numeric,313.0,313.0,0.0,-0.15985853194698985,-0.2219215130041658,0.6361911377116459,-0.99999073973619,-0.7802958510707755,0.4327755925504312,0.9368813462954316,-50.03572049940782,0.1915788491869656,-1.391646015882296,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
cos_DOY_k1,numeric,313.0,313.0,0.0,-0.015874945222793823,-0.0988201387328721,0.7566878394639664,-0.9999629591162656,-0.7775971469736268,0.7829801036770624,1.0,-4.968857854734466,0.05615475410044933,-1.6683120830313143,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
sin_DOY_k2,numeric,313.0,313.0,0.0,-0.02848353613988577,-0.06880242680232,0.736690865703572,-0.99999073973619,-0.7802958510707761,0.7354170229639855,0.99999073973619,-8.915346811784246,0.07248141904331687,-1.5736704146865828,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
cos_DOY_k2,numeric,313.0,313.0,0.0,0.14199836486114484,0.2261156855082869,0.6629099652777931,-0.9999629591162656,-0.4288919379124841,0.7829801036770624,1.0,44.44548820153833,-0.267981808278124,-1.3055352874341641,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
sin_DOY_k3,numeric,313.0,313.0,0.0,0.11526407356685578,0.2219215130041654,0.6906082610139498,-0.99999073973619,-0.5307300481619346,0.7802958510707757,0.99999073973619,36.07765502642586,-0.2590430105052609,-1.3847627546528452,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
cos_DOY_k3,numeric,313.0,313.0,0.0,0.03526989989721676,0.0559169901006043,0.7153244129391898,-0.9999629591162656,-0.6839194216246103,0.7611042586607741,1.0,11.039478667828845,-0.05886831953599608,-1.5188358546323877,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
is_weekend,numeric,313.0,313.0,0.0,0.28434504792332266,0.0,0.45182426076032733,0.0,0.0,1.0,1.0,89.0,0.9607354871907503,-1.0839546542713263,,,,,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
LocalTime,,,,,,,,,,,,,,,categorical,313.0,2026-02-28,1.0,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
T Max Time,,,,,,,,,,,,,,,categorical,313.0,2026/02/28 13:13:00,1.0,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
T Min Time,,,,,,,,,,,,,,,categorical,313.0,2026/02/28 06:00:00,1.0,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
RHMinTime,,,,,,,,,,,,,,,categorical,313.0,2026/02/28 13:27:00,1.0,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
WGustTime,,,,,,,,,,,,,,,categorical,313.0,2026/02/28 18:10:00,1.0,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
Precp,,,,,,,,,,,,,,,categorical,42.0,0.0,193.0,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
PrecpMax10,,,,,,,,,,,,,,,categorical,28.0,0.0,193.0,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
PrecpMax10Time,,,,,,,,,,,,,,,categorical,121.0,--,193.0,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
PrecpMax60Time,,,,,,,,,,,,,,,categorical,121.0,--,193.0,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
EvapA,,,,,,,,,,,,,,,categorical,103.0,/,91.0,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
UVI Max Time,,,,,,,,,,,,,,,categorical,313.0,2026/02/28 12:00:00,1.0,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
Cloud Amount Sat,,,,,,,,,,,,,,,categorical,89.0,10.0,33.0,SolarRecord(260228)_d_forWh_WithCodis.csv,LocalTime,2025-04-22,2026-02-28,D
