variable,type,count,non_null,missing_count,mean,median,std,min,25%,75%,max,sum,skew,kurtosis,type,unique_count,top,freq,file,date_column,start,end,inferred_freq
doy,numeric,366.0,366.0,0.0,182.50273224043715,182.5,105.79462525213859,1.0,91.25,273.75,365.0,66796.0,0.00015328242179077277,-1.2002109472112574,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
month,numeric,366.0,366.0,0.0,6.5109289617486334,7.0,3.4599296390632728,1.0,4.0,9.75,12.0,2383.0,-0.008464114432743716,-1.2096117932504926,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
day,numeric,366.0,366.0,0.0,15.680327868852459,16.0,8.829837082636697,1.0,8.0,23.0,31.0,5739.0,0.008452322508598096,-1.1942706537386074,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
E_day_kWh,numeric,366.0,366.0,0.0,0.3145708743169399,0.33220000000000005,0.10321104742186471,0.0,0.26026749999999993,0.388845,0.52019,115.13294,-0.7838983937019469,0.17329871125053753,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
Hpoa_day_kWhm2,numeric,366.0,366.0,0.0,4.728061530054645,5.05801,1.5247920381606799,0.0,3.96151,5.8227075,7.52417,1730.47052,-0.809911857018729,0.08042166705888443,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
G(i)_Whm2,numeric,366.0,366.0,0.0,4728.061530054645,5058.01,1524.79203816068,0.0,3961.5099999999998,5822.7075,7524.17,1730470.52,-0.8099118570187293,0.08042166705888487,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
G(i)_kWhm2,numeric,366.0,366.0,0.0,4.728061530054645,5.0580099999999995,1.5247920381606799,0.0,3.96151,5.8227075,7.52417,1730.47052,-0.8099118570187291,0.08042166705888532,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
G(i)_mean,numeric,366.0,366.0,0.0,197.3403164845173,210.75041666666667,64.1265911284911,0.0,165.06291666666667,242.6128125,370.8525,72226.55583333333,-0.7499501250968995,0.13223933618648687,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
G(i)_min,numeric,366.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
G(i)_max,numeric,366.0,366.0,0.0,724.0710655737705,767.06,211.2106912539167,0.0,637.105,883.1724999999999,1078.62,265010.01,-1.0182920529658772,0.7419510438329531,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
G(i)_std,numeric,366.0,366.0,0.0,264.4427324097575,276.75791551084313,83.91092182484842,0.0,227.92893989475263,325.436162660244,411.0123655971094,96786.04006197126,-0.7988924966422937,0.19965320725269198,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
G(i)_p10,numeric,366.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
G(i)_p90,numeric,366.0,366.0,0.0,622.325743169399,657.198,205.5733174161982,0.0,529.61175,775.27275,979.143,227771.222,-0.7563400494402404,0.010582122853071585,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
P_Wh,numeric,366.0,366.0,0.0,314.5708743169399,332.20000000000005,103.21104742186472,0.0,260.2675,388.84499999999997,520.1899999999999,115132.94,-0.783898393701947,0.17329871125053842,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
P_kWh,numeric,366.0,366.0,0.0,0.3145708743169399,0.33220000000000005,0.10321104742186471,0.0,0.26026749999999993,0.388845,0.5201899999999999,115.13294,-0.7838983937019474,0.17329871125053709,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
P_mean,numeric,366.0,366.0,0.0,13.131450364298722,13.841666666666669,4.352022249537236,0.0,10.844479166666666,16.201874999999998,26.715,4806.110833333332,-0.6924910917623005,0.3022983049836503,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
P_min,numeric,366.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
P_max,numeric,366.0,366.0,0.0,48.355601092896165,51.18,13.804876150408173,0.0,43.0775,58.2425,75.17,17698.149999999998,-1.088458645373153,1.0771750236021118,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
P_std,numeric,366.0,366.0,0.0,17.867368231163674,18.574100784069145,5.642005366957044,0.0,15.48703506780656,21.912653905691574,28.877984239414705,6539.456772605904,-0.8206449222199599,0.38224705319475705,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
P_p10,numeric,366.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
P_p90,numeric,366.0,366.0,0.0,41.91060109289617,43.9525,13.749626014914957,0.0,35.79225,51.786500000000004,68.937,15339.279999999999,-0.7970396351837613,0.19306204500370017,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
P_mapped_Wh,numeric,366.0,366.0,0.0,4.9989023840169935,5.279049993348409,1.640145331745567,0.0,4.135957688572568,6.179205883996275,8.26643292004789,1829.5982725502195,-0.7838983937019478,0.17329871125053886,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
P_mapped_Wh_kWh,numeric,366.0,366.0,0.0,0.004998902384016944,0.00527904999334835,0.0016401453317455652,0.0,0.004135957688572525,0.00617920588399625,0.0082664329200478,1.8295982725502014,-0.7838983937019451,0.1732987112505242,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
P_mapped_Wh_mean,numeric,366.0,366.0,0.0,0.20867424129532253,0.21996041638951705,0.0691587688966637,0.0,0.17233157035719032,0.25746691183317805,0.4245328734867633,76.37477231408805,-0.6924910917623022,0.3022983049836512,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
P_mapped_Wh_min,numeric,366.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
P_mapped_Wh_max,numeric,366.0,366.0,0.0,0.76842756058944,0.8133105919914858,0.2193757716736541,0.0,0.6845523061061594,0.9255420506851137,1.19454,281.244487175735,-1.088458645373157,1.0771750236021198,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
P_mapped_Wh_std,numeric,366.0,366.0,0.0,0.28393356454508784,0.29516437874952706,0.08965812280224647,0.0,0.24610726180521011,0.348217927318143,0.4589052453552008,103.91968462350215,-0.8206449222199607,0.3822470531947588,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
P_mapped_Wh_p10,numeric,366.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
P_mapped_Wh_p90,numeric,366.0,366.0,0.0,0.6660089055408831,0.6984570885991751,0.21849778182594803,0.0,0.5687810870693095,0.8229485926566448,1.095490275109751,243.75925942796323,-0.7970396351837603,0.19306204500369706,,,,,Timeseries_24.148_120.703_E5_0kWp_crystSi_25_35deg_1deg_2005_2005[UTC+8][daily][scaled].csv,date,2005-01-01,2006-01-01,D
