variable,type,count,non_null,missing_count,mean,median,std,min,25%,75%,max,sum,skew,kurtosis,type,unique_count,top,freq,file,date_column,start,end,inferred_freq
Month,numeric,9404.0,9404.0,0.0,6.502445767758401,7.0,3.436065354194599,1.0,4.0,9.0,12.0,61149.0,-0.00834289220860095,-1.1979669956428831,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
Day,numeric,9404.0,9404.0,0.0,15.727881752445768,16.0,8.799724028407116,1.0,8.0,23.0,31.0,147905.0,0.0068587958106397775,-1.193910572550783,,,,,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
StnPresMaxTime,,,,,,,,,,,,,,,categorical,9404.0,2026/02/28 09:39:00,1.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
StnPresMinTime,,,,,,,,,,,,,,,categorical,9404.0,2026/02/28 16:42:00,1.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
T Max Time,,,,,,,,,,,,,,,categorical,9404.0,2026/02/28 13:13:00,1.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
T Min Time,,,,,,,,,,,,,,,categorical,9404.0,2026/02/28 06:00:00,1.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
RHMinTime,,,,,,,,,,,,,,,categorical,9404.0,2026/02/28 13:27:00,1.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
WD,,,,,,,,,,,,,,,categorical,72.0,340,1069.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
WSGust,,,,,,,,,,,,,,,categorical,179.0,6.8,264.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
WDGust,,,,,,,,,,,,,,,categorical,73.0,350,1055.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
WGustTime,,,,,,,,,,,,,,,categorical,9404.0,2026/02/28 18:10:00,1.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
Precp,,,,,,,,,,,,,,,categorical,576.0,0.0,6191.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
PrecpMax10,,,,,,,,,,,,,,,categorical,116.0,0.0,6191.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
PrecpMax10Time,,,,,,,,,,,,,,,categorical,3213.0,--,6039.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
PrecpMax60,,,,,,,,,,,,,,,categorical,289.0,0.0,6191.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
PrecpMax60Time,,,,,,,,,,,,,,,categorical,3214.0,--,6038.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
GloblRad,,,,,,,,,,,,,,,categorical,2468.0,X,119.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
EvapA,,,,,,,,,,,,,,,categorical,161.0,/,201.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
UVI Max,,,,,,,,,,,,,,,categorical,17.0,5,1557.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
UVI Max Time,,,,,,,,,,,,,,,categorical,9379.0,--,26.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
TxSoil5cm,,,,,,,,,,,,,,,categorical,206.0,28.8,130.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
TxSoil50cm,,,,,,,,,,,,,,,categorical,146.0,29.5,206.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
TxSoil100cm,,,,,,,,,,,,,,,categorical,111.0,28.7,285.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
Date,,,,,,,,,,,,,,,categorical,9404.0,2026-02-28,1.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
VisbMean Auto,,,,,,,,,,,,,,,categorical,57.0,--,30.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
Cloud Amount Sat,,,,,,,,,,,,,,,categorical,89.0,10.0,33.0,2000--202602-d.csv,ObsTime,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,
