column,n_train,n_valid,MASE,SMAPE,R2
Cloud Amount Sat,290,7,1.6509650740840085,53.58733429966846,-0.20219527200117948
EvapA,267,7,0.4484754188566114,49.44500846175144,-0.6130781499202542
Precp,306,5,0.0,,
PrecpHour,358,7,1.4676258992805757,200.0,-0.32747946936197114
PrecpMax10,306,5,0.0,,
PrecpMax60,306,5,0.0,,
RH,358,7,0.9689119170984457,6.491607947954243,-0.5453629032258063
RHMin,358,7,0.8275862068965517,11.535096034256618,-0.1172638436482083
SeaPres,358,7,4.663807864517945,0.6391992655810067,-30.672316989858782
StnPres,358,7,5.616936677342508,0.7619438585823666,-43.310749235143774
StnPresMin,358,7,3.239126478616919,0.4969268228369662,-10.04665211062565
SunShine,358,7,1.5402314158778367,87.00978564851755,-0.998222069959414
T Min,358,7,3.244290464545182,21.873202353179938,-12.271403474220502
Td dew point,358,7,3.0716395864320827,24.412285058324475,-14.568106594869295
TxSoil0cm,358,7,4.0794968885194915,10.831206743626616,-13.269371734627123
TxSoil100cm,358,7,9.063797450241047,4.296675764173084,-10.7944983139078
TxSoil20cm,358,7,5.007272727272728,8.703144827291874,-11.534810126582284
TxSoil30cm,358,7,8.874910730642657,13.684776889086352,-28.331158503544327
TxSoil50cm,358,7,5.4990599041348,7.2504061887229,-9.491451991915184
TxSoil5cm,358,7,4.448084910013848,17.944561620448578,-6.219350961538471
UVI Max,358,7,0.6071428571428571,19.98001998001998,-0.8421052631578947
VisbMean Auto,53,7,0.5024182281999844,21.249496629576605,0.15926985123896997
WD,358,7,0.9691548582995951,57.03923836775972,-0.48106291997556516
WDGust,358,7,1.2644927644482908,58.71523912229314,-0.8763426197322306
WSGust,358,7,0.5223868639835041,11.256231763891984,-0.28199215639686637
