,Wh
2025-12-01,7.767135631550055
2025-12-02,7.7744138990041805
2025-12-03,7.781692166458306
2025-12-04,7.788970433912432
2025-12-05,7.79624870136653
2025-12-06,7.803526968820655
2025-12-07,7.810805236274781
2025-12-08,7.818083503728907
2025-12-09,7.825361771183005
2025-12-10,7.83264003863713
2025-12-11,7.839918306091256
2025-12-12,7.847196573545382
2025-12-13,7.854474840999508
2025-12-14,7.861753108453605
2025-12-15,7.869031375907731
2025-12-16,7.876309643361857
2025-12-17,7.883587910815983
2025-12-18,7.890866178270109
2025-12-19,7.898144445724206
2025-12-20,7.905422713178332
2025-12-21,7.912700980632458
2025-12-22,7.919979248086584
2025-12-23,7.927257515540681
2025-12-24,7.934535782994807
2025-12-25,7.941814050448933
2025-12-26,7.949092317903059
2025-12-27,7.956370585357185
2025-12-28,7.963648852811282
2025-12-29,7.970927120265408
2025-12-30,7.978205387719534
2025-12-31,7.98548365517366
2026-01-01,7.9927619226277855
2026-01-02,8.000040190081883
2026-01-03,8.007318457536009
2026-01-04,8.014596724990135
2026-01-05,8.02187499244426
2026-01-06,8.029153259898358
2026-01-07,8.036431527352484
2026-01-08,8.04370979480661
2026-01-09,8.050988062260735
2026-01-10,8.058266329714861
2026-01-11,8.065544597168959
2026-01-12,8.072822864623085
2026-01-13,8.08010113207721
2026-01-14,8.087379399531336
2026-01-15,8.094657666985462
2026-01-16,8.10193593443956
2026-01-17,8.109214201893685
2026-01-18,8.116492469347811
2026-01-19,8.123770736801937
2026-01-20,8.131049004256035
2026-01-21,8.13832727171016
2026-01-22,8.145605539164286
2026-01-23,8.152883806618412
2026-01-24,8.160162074072538
2026-01-25,8.167440341526635
2026-01-26,8.174718608980761
2026-01-27,8.181996876434887
2026-01-28,8.189275143889013
2026-01-29,8.196553411343139
2026-01-30,8.203831678797236
2026-01-31,8.211109946251362
2026-02-01,8.218388213705488
2026-02-02,8.225666481159614
2026-02-03,8.232944748613711
2026-02-04,8.240223016067837
2026-02-05,8.247501283521963
2026-02-06,8.254779550976089
2026-02-07,8.262057818430215
2026-02-08,8.269336085884312
2026-02-09,8.276614353338438
2026-02-10,8.283892620792564
2026-02-11,8.29117088824669
2026-02-12,8.298449155700816
2026-02-13,8.305727423154913
2026-02-14,8.313005690609039
2026-02-15,8.320283958063165
2026-02-16,8.32756222551729
2026-02-17,8.334840492971388
2026-02-18,8.342118760425514
2026-02-19,8.34939702787964
2026-02-20,8.356675295333766
2026-02-21,8.363953562787891
2026-02-22,8.371231830241989
2026-02-23,8.378510097696115
2026-02-24,8.38578836515024
2026-02-25,8.393066632604366
2026-02-26,8.400344900058492
2026-02-27,8.40762316751259
2026-02-28,8.414901434966715
