file,column,used,usage_type,exists_in_other_file
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,valid_frac_G(h),False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,n_obs_T2m,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,valid_frac_T2m,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,n_obs_RH,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,valid_frac_RH,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,n_obs_WS10m,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,valid_frac_WS10m,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,n_obs_WD10m,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,valid_frac_WD10m,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,n_obs_SP,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,valid_frac_SP,False,unused,False
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,GloblRad,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,Temperature,True,regressor,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,RH,True,regressor,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,day_of_year,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,sin_DOY_k1,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,cos_DOY_k1,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,sin_DOY_k2,False,unused,True
tmy_24.148_120.703_2005_2023[UTC+8][daily][mapped][dateAdj].csv,cos_DOY_k2,False,unused,True
