date,_date(org),doy,month,day,E_day_kWh,Hpoa_day_kWhm2,G(i)_Whm2,G(i)_kWhm2,G(i)_mean,G(i)_min,G(i)_max,G(i)_std,G(i)_p10,G(i)_p90,P,P_kWh,P_mean,P_min,P_max,P_std,P_p10,P_p90,P_Wh_min_max_scaled,P_Wh_min_max_scaled_kWh,P_Wh_min_max_scaled_mean,P_Wh_min_max_scaled_min,P_Wh_min_max_scaled_max,P_Wh_min_max_scaled_std,P_Wh_min_max_scaled_p10,P_Wh_min_max_scaled_p90,P_max_normalization,P_max_normalization_kWh,P_max_normalization_mean,P_max_normalization_min,P_max_normalization_max,P_max_normalization_std,P_max_normalization_p10,P_max_normalization_p90,P_wh_max_scaled,P_wh_max_scaled_kWh,P_wh_max_scaled_mean,P_wh_max_scaled_min,P_wh_max_scaled_max,P_wh_max_scaled_std,P_wh_max_scaled_p10,P_wh_max_scaled_p90,T2m_mean,T2m_min,T2m_max,T2m_std,T2m_p10,T2m_p90,WS10m_mean,WS10m_max,WS10m_std,WS10m_p10,WS10m_p90,H_sun_max,H_sun_mean,n_obs_P,valid_frac_P,n_obs_P_Wh_min_max_scaled,valid_frac_P_Wh_min_max_scaled,n_obs_P_max_normalization,valid_frac_P_max_normalization,n_obs_P_wh_max_scaled,valid_frac_P_wh_max_scaled,n_obs_G(i),valid_frac_G(i),n_obs_T2m,valid_frac_T2m,n_obs_WS10m,valid_frac_WS10m,n_obs_H_sun,valid_frac_H_sun
2026/06/06,2005-06-06,157,6,6,0.35029,5.38155,5381.55,5.38155,224.23125,0.0,770.98,283.29038939656334,0.0,636.92,350.29,0.35029,14.595416666666669,0.0,50.98,18.965638718291395,0.0,42.607,5.566521439404017,0.005566521439404,0.2319383933085007,0.0,0.8101323559930822,0.3013863785359558,0.0,0.6770755059199147,4.659970733005188,0.0046599707330051,0.1941654472085494,0.0,0.6781960888652387,0.2523032954408859,0.0,0.5668085672475721,5.566521439404017,0.005566521439404,0.2319383933085007,0.0,0.8101323559930822,0.3013863785359558,0.0,0.6770755059199147,23.57333333333333,20.45,26.81,2.046812297136732,21.329,26.466,0.99125,2.07,0.6053120826410987,0.34,1.958,83.91,24.74375,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/06/07,2005-06-07,158,6,7,0.3263,5.00981,5009.81,5.00981,208.7420833333333,0.0,721.76,262.4826872796718,0.0,629.449,326.3,0.3263,13.595833333333331,0.0,47.83,17.565189368072062,0.0,41.825,5.185292031395503,0.0051852920313955,0.2160538346414793,0.0,0.7600751390182252,0.2791315858419157,0.0,0.6646486031661566,4.340827457762405,0.0043408274577624,0.1808678107401002,0.0,0.6362910735665823,0.2336728664104305,0.0,0.5564054809099374,5.185292031395503,0.0051852920313955,0.2160538346414793,0.0,0.7600751390182252,0.2791315858419157,0.0,0.6646486031661566,23.52875,20.62,26.73,1.870720187986203,21.65,26.147,0.905,2.14,0.5646160680921382,0.34,1.66,83.9,24.75916666666667,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/06/08,2005-06-08,159,6,8,0.32919,5.03658,5036.58,5.03658,209.8575,0.0,683.54,260.22746588739227,0.0,584.412,329.19,0.32919,13.71625,0.0,45.51,17.52354361932143,0.0,39.354,5.231217541572435,0.0052312175415724,0.2179673975655181,0.0,0.7232076014367432,0.278469785752617,0.0,0.6253814974058799,4.379273646401489,0.0043792736464014,0.1824697352667287,0.0,0.6054276972196354,0.2331188455410593,0.0,0.5235333244645469,5.231217541572435,0.0052312175415724,0.2179673975655181,0.0,0.7232076014367432,0.278469785752617,0.0,0.6253814974058799,23.53875,19.45,26.24,2.1321744616195484,20.761,25.915,1.0629166666666667,2.28,0.6295442047998706,0.361,1.909,83.88,24.77375,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/06/09,2005-06-09,160,6,9,0.3138,4.82214,4822.14,4.82214,200.9225,0.0,703.41,262.72817617966984,0.0,649.3639999999999,313.8,0.3138,13.075,0.0,46.64,17.55605036298957,0.0,43.226,4.986652281495277,0.0049866522814952,0.2077771783956365,0.0,0.7411646348277238,0.2789863562672018,0.0,0.686912146334974,4.174537714513768,0.0041745377145137,0.1739390714380736,0.0,0.6204602900093122,0.2335512885857332,0.0,0.5750432353332446,4.986652281495277,0.0049866522814952,0.2077771783956365,0.0,0.7411646348277238,0.2789863562672018,0.0,0.686912146334974,24.441666666666663,21.8,27.36,1.7725458641681773,22.703000000000003,27.051,0.94875,1.86,0.4957586413112561,0.298,1.73,83.86,24.78833333333333,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/06/10,2005-06-10,161,6,10,0.27396,4.18716,4187.16,4.18716,174.465,0.0,581.8,223.2953447985328,0.0,549.864,273.96,0.27396,11.415,0.0,39.35,15.13272440197359,0.0,37.151,4.353547670613276,0.0043535476706132,0.1813978196088864,0.0,0.625317932685912,0.2404768472413666,0.0,0.590373227883464,3.6445390448317134,0.0036445390448317,0.1518557935346547,0.0,0.5234801117467075,0.2013133484365251,0.0,0.4942264201144072,4.353547670613276,0.0043535476706132,0.1813978196088864,0.0,0.625317932685912,0.2404768472413666,0.0,0.590373227883464,24.254166666666663,21.88,26.64,1.571404568798429,22.49,26.3,1.1341666666666663,2.62,0.7105106349090353,0.501,2.308,83.83,24.79875,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/06/11,2005-06-11,162,6,11,0.27426,4.19899,4198.99,4.19899,174.95791666666665,0.0,586.65,223.5744192604443,0.0,537.854,274.26,0.27426,11.4275,0.0,39.36,15.14205753924278,0.0,36.444,4.3583150246108815,0.0043583150246108,0.1815964593587867,0.0,0.6254768444858321,0.2406251618056016,0.0,0.5791381636291074,3.6485299986696815,0.0036485299986696,0.1520220832779034,0.0,0.5236131435413064,0.2014375088365409,0.0,0.4848210722362644,4.3583150246108815,0.0043583150246108,0.1815964593587867,0.0,0.6254768444858321,0.2406251618056016,0.0,0.5791381636291074,24.3775,22.04,26.86,1.6923080457585529,22.294,26.29,1.0833333333333333,2.48,0.6504558045118733,0.501,2.028,83.8,24.81,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/06/12,2005-06-12,163,6,12,0.21946,3.37001,3370.01,3.37001,140.41708333333335,0.0,551.22,195.9091421725269,0.0,485.648,219.46,0.21946,9.144166666666663,0.0,37.05,13.205949224782604,0.0,32.836,3.48747836104829,0.0034874783610482,0.145311598377012,0.0,0.5887682187042702,0.209858116096472,0.0,0.521802786217906,2.919515764267659,0.0029195157642676,0.1216464901778191,0.0,0.4928827989889583,0.1756811124754902,0.0,0.4368232007449779,3.48747836104829,0.0034874783610482,0.145311598377012,0.0,0.5887682187042702,0.209858116096472,0.0,0.521802786217906,23.58458333333333,22.15,26.41,1.4165020577853562,22.206,25.962,1.045,2.14,0.5337561729609439,0.41,1.72,83.77,24.820416666666663,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/06/13,2005-06-13,164,6,13,0.17344,2.69152,2691.52,2.69152,112.14666666666666,0.0,422.51,147.62510292796668,0.0,349.6039999999999,173.44,0.17344,7.226666666666667,0.0,28.41,9.92164330124307,0.0,23.338,2.756166257815617,0.0027561662578156,0.1148402607423173,0.0,0.451468423573234,0.1576666195166541,0.0,0.370868358653718,2.3073034455234795,0.0023073034455234,0.0961376435634783,0.0,0.3779433284555009,0.131989401373461,0.0,0.3104696022349341,2.756166257815617,0.0027561662578156,0.1148402607423173,0.0,0.451468423573234,0.1576666195166541,0.0,0.370868358653718,23.38,21.62,26.14,1.3040938883244635,21.893,25.408,0.9533333333333333,2.07,0.3512916126261047,0.5710000000000001,1.219,83.73,24.828333333333333,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/06/14,2005-06-14,165,6,14,0.1672499999999999,2.60072,2600.72,2.60072,108.36333333333332,0.0,407.7,138.18225512664085,0.0,306.4529999999999,167.25,0.16725,6.96875,0.0,27.42,9.244132951323188,0.0,20.386999999999997,2.657799853665025,0.002657799853665,0.110741660569376,0.0,0.4357361553811361,0.1469001805996221,0.0,0.3239734864972726,2.224956764666755,0.0022249567646667,0.0927065318611147,0.0,0.3647731807902089,0.1229763596025434,0.0,0.271211919648796,2.657799853665025,0.002657799853665,0.110741660569376,0.0,0.4357361553811361,0.1469001805996221,0.0,0.3239734864972726,23.394583333333333,21.65,25.89,1.3933037971004358,21.866,25.307,1.1683333333333332,1.93,0.3302655936043603,0.7250000000000001,1.4289999999999998,83.7,24.8375,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
2026/06/15,2005-06-15,166,6,15,0.16147,2.49788,2497.88,2.4978800000000003,104.07833333333332,0.0,458.01,146.0696676148113,0.0,331.17799999999994,161.47,0.16147,6.727916666666666,0.0,31.01,9.889622571233408,0.0,22.255,2.5659488333111606,0.0025659488333111,0.1069145347212983,0.0,0.492785491552481,0.1571577723325948,0.0,0.3536582107223626,2.1480643873885854,0.0021480643873885,0.0895026828078577,0.0,0.4125315950512172,0.1315634238557058,0.0,0.2960622588798722,2.5659488333111606,0.0025659488333111,0.1069145347212983,0.0,0.492785491552481,0.1571577723325948,0.0,0.3536582107223626,23.27416666666667,21.93,26.06,1.3847615292004691,22.038,25.522,1.6266666666666667,2.76,0.4898594888746972,1.072,2.308,83.66,24.842916666666667,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0,24,1.0
