column,records,values_count,min,median,max,mean,std
category,29,29,120.0,120.0,120.0,120.0,0.0
file,29,0,,,,,
MAE,29,29,0.5311414676124463,1.132183282114609,198.58123975246673,10.182642768266811,36.2970766121432
MAPE(%),29,29,9.954220975522949,20.375583635006475,3753.299216902083,191.62194984481255,686.1850249773346
MASE_lag1,29,29,0.6508979010673631,1.3874565758621413,243.3553394489407,12.478522595828894,44.48097620380876
MASE_lastValue,29,29,0.4931152927420533,1.0511265352848933,184.36415182154167,9.453633684699293,33.69844881389997
R2,29,29,-125545.77973331566,-3.4797456182978204,0.077610610893315,-4582.400437236806,22883.905962266545
RMSSE,29,29,0.5165842280340239,1.1384413719372106,190.5841511235178,10.048537555676836,35.000919124832535
SMAPE(%),29,29,9.774280370368544,23.66633277728808,193.90135016689152,43.914516994726554,43.500547544814864
last_value_index,29,0,,,,,
last_value_value,29,29,6.54126,6.54126,6.54126,6.54126,0.0
nMAE,29,29,0.09715996531937109,0.2071065716632994,36.32581439019856,1.862677419391844,6.6397050877669965
nRMSE,29,29,0.11509683709567663,0.2536488611499103,42.46283917409224,2.238850563628418,7.798331555806759
