,Wh
2025-11-07,5.707866698899984
2025-11-08,5.692441037113374
2025-11-09,5.677015375326763
2025-11-10,5.661589713540153
2025-11-11,5.646164051753543
2025-11-12,5.6307383899669325
2025-11-13,5.615312728180323
2025-11-14,5.599887066393711
2025-11-15,5.584461404607101
2025-11-16,5.569035742820491
2025-11-17,5.55361008103388
2025-11-18,5.53818441924727
2025-11-19,5.52275875746066
2025-11-20,5.507333095674049
2025-11-21,5.491907433887439
2025-11-22,5.476481772100829
2025-11-23,5.4610561103142174
2025-11-24,5.4456304485276075
2025-11-25,5.4302047867409975
2025-11-26,5.414779124954385
2025-11-27,5.399353463167776
2025-11-28,5.383927801381166
2025-11-29,5.368502139594554
2025-11-30,5.353076477807944
2025-12-01,5.337650816021332
2025-12-02,5.322225154234722
2025-12-03,5.306799492448112
2025-12-04,5.2913738306615015
2025-12-05,5.275948168874892
2025-12-06,5.2605225070882815
2025-12-07,5.245096845301671
2025-12-08,5.229671183515061
2025-12-09,5.214245521728451
2025-12-10,5.198819859941839
2025-12-11,5.183394198155229
2025-12-12,5.16796853636862
2025-12-13,5.152542874582009
2025-12-14,5.137117212795399
2025-12-15,5.121691551008789
2025-12-16,5.106265889222177
2025-12-17,5.090840227435567
2025-12-18,5.0754145656489555
2025-12-19,5.059988903862346
2025-12-20,5.044563242075735
2025-12-21,5.029137580289123
2025-12-22,5.013711918502514
2025-12-23,4.998286256715904
2025-12-24,4.982860594929292
2025-12-25,4.967434933142682
2025-12-26,4.952009271356072
2025-12-27,4.936583609569461
2025-12-28,4.92115794778285
2025-12-29,4.905732285996241
2025-12-30,4.8903066242096305
2025-12-31,4.8748809624230205
2026-01-01,4.8594553006364105
2026-01-02,4.844029638849799
2026-01-03,4.828603977063189
2026-01-04,4.813178315276578
2026-01-05,4.797752653489968
2026-01-06,4.782326991703358
2026-01-07,4.766901329916747
2026-01-08,4.751475668130137
2026-01-09,4.736050006343527
2026-01-10,4.720624344556915
2026-01-11,4.705198682770305
2026-01-12,4.689773020983694
2026-01-13,4.674347359197083
2026-01-14,4.658921697410473
2026-01-15,4.643496035623864
2026-01-16,4.628070373837252
2026-01-17,4.612644712050642
2026-01-18,4.59721905026403
2026-01-19,4.58179338847742
2026-01-20,4.56636772669081
2026-01-21,4.550942064904199
2026-01-22,4.53551640311759
2026-01-23,4.520090741330979
2026-01-24,4.504665079544369
2026-01-25,4.489239417757759
2026-01-26,4.473813755971149
2026-01-27,4.458388094184537
2026-01-28,4.442962432397927
2026-01-29,4.427536770611318
2026-01-30,4.412111108824706
2026-01-31,4.396685447038097
2026-02-01,4.381259785251487
2026-02-02,4.365834123464875
2026-02-03,4.350408461678264
2026-02-04,4.3349827998916535
