LocalTime,Wh,DHT11_temp,DHT11_humidity,LM35_tempC,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60Time,SunShine,SunshineRate,GloblRad,EvapA,UVI Max,UVI Max Time,Cloud Amount,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil30cm,TxSoil50cm,TxSoil100cm,Cloud Amount Sat,day_of_year,sin_DOY_k1,cos_DOY_k1,sin_DOY_k2,cos_DOY_k2,sin_DOY_k3,cos_DOY_k3,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,season_autumn,season_spring,season_summer,is_weekend
2025/4/22,0.24847,32.71429,56,33.55143,27.4,32.4,2025/4/22 13:31,22.3,2025/4/22 05:19,21.6,72,53,2025/4/22 11:14,2025/4/22 12:53,0,0,0,--,--,11.1,86.5,27.1,5.8,10,2025/4/22 13:00,,25.9,25.4,25.8,26.4,26.2,25.1,24.6,,112,0.9368813462954316,-0.349647455,-0.655156357,-0.755493314,-0.47873384,0.8779600847008878,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
2025/4/23,8.31574,34.4076025,57.24895375,33.79472,26.8,30.6,2025/4/23 13:28,24.2,2025/4/23 04:49,21.7,74,58,2025/4/23 10:26,2025/4/23 08:52,0,0,0,--,--,1.4,10.9,11.98,-2.4,5,2025/4/23 14:00,,25.8,25.3,25.7,26.5,26.4,25.3,24.8,,113,0.9307239310379792,-0.365722523,-0.680773409,-0.732494072,-0.432775593,0.9015016841318838,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
2025/4/24,6.95669,34.162657083333336,58.66518291666667,33.85757541666667,26.6,29.4,2025/4/24 14:27,25.3,2025/4/24 04:20,23,80,69,2025/4/24 16:01,2025/4/24 14:11,T,0.2,T,2025/4/24 04:05,2025/4/24 04:05,0.6,4.7,8.44,-2.7,4,2025/4/24 15:00,,26.2,25.7,26.1,26.7,26.5,25.4,25,,114,0.9242907221930932,-0.38168922,-0.70558361,-0.708626678,-0.385663406,0.9226395488404876,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
2025/4/25,8.985949999999999,33.92777666666667,55.77817916666667,33.752907083333334,24.2,26.7,2025/4/25 12:56,21.5,2025/4/25 22:18,20.3,79,72,2025/4/25 04:24,2025/4/25 15:06,4,0.9,2.5,2025/4/25 09:12,2025/4/25 09:12,1,7.7,11.12,-2.2,6,2025/4/25 13:00,,25.1,24.9,25.4,26.4,26.4,25.3,25.1,,115,0.9175836260593938,-0.397542814,-0.729557554,-0.683919422,-0.3375229,0.941317318,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0
2025/4/26,6.47759,32.879575833333334,39.526855,33.3591925,23,25.4,2025/4/26 14:18,21.1,2025/4/26 03:15,19.5,81,75,2025/4/26 14:38,2025/4/26 17:50,T,0.2,T,2025/4/26 08:02,2025/4/26 08:02,0,0,6.66,-1.5,3,2025/4/26 12:00,,24.3,24.1,24.6,25.8,25.9,24.9,25.2,,116,0.9106046300942162,-0.413278608,-0.752666828,-0.658401585,-0.288482433,0.9574851883550392,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
