category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
60,260428_145315/60/forecast_Wh_metrics_60d.json,[0.9357818651001589],[16.872446696773576],[1.2732008576868865],[1.253276486124128],[-3.6346263769696963],[0.9845577178304518],[18.879631163833206],"[""2025-12-30T00:00:00""]",[4.57906],[0.17582945147779566],[0.20527942000089758]
90,260428_145315/90/forecast_Wh_metrics_90d.json,[0.9376703469076068],[18.97609254266862],[1.2229519226099088],[1.4044265009977663],[-2.6310366402106222],[0.92508567560906],[16.81270964915043],"[""2025-11-30T00:00:00""]",[5.85374],[0.17755377933630664],[0.20268496809815492]
120,260428_154857/120/forecast_Wh_metrics_120d.json,[2.3550059523809486],[43.226432010190834],[2.8859889970488646],[2.1864032850565494],[-16.67806676880852],[2.261524923161228],[62.69195324285195],"[""2025-10-31T00:00:00""]",[6.54126],[0.4307935090980338],[0.5038759442182518]
30,260428_154857/30/forecast_Wh_metrics_30d.json,[0.5597799999999998],[9.675315452969556],[0.7830140209236984],[0.7528819138248027],[-1.108217177586197],[0.6728426282525409],[10.430654662743216],"[""2026-01-29T00:00:00""]",[4.72749],[0.1025108986578796],[0.13189658188772624]
60,260428_154857/60/forecast_Wh_metrics_60d.json,[1.8089184275430834],[33.11638522528677],[2.461168119759363],[2.422653200608593],[-14.655870800210348],[1.8095576794038186],[41.43855351225287],"[""2025-12-30T00:00:00""]",[4.57906],[0.33988811575113625],[0.3772911878693485]
90,260428_154857/90/forecast_Wh_metrics_90d.json,[1.4590815469051597],[29.06191246965487],[1.902999907075156],[2.185387218811492],[-6.746964901691326],[1.351239818942638],[24.760493129604285],"[""2025-11-30T00:00:00""]",[5.85374],[0.2762862704011719],[0.29605474045961216]
120,260428_164217/120/forecast_Wh_metrics_120d.json,[1.9899720817968274],[36.349016968881],[2.438650962514029],[1.8475033969288246],[-10.859836900569965],[1.8523512877135508],[47.6757255184328],"[""2025-10-31T00:00:00""]",[6.54126],[0.364019061292675],[0.41271057619647533]
30,260428_164217/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260428_164217/60/forecast_Wh_metrics_60d.json,[0.8125598933872663],[16.215948596470646],[1.10554819639714],[1.0882474280913654],[-2.5143984149449037],[0.8573522927784869],[14.571172907004334],"[""2025-12-30T00:00:00""]",[4.57906],[0.152676564566516],[0.17875720052840566]
90,260428_164217/90/forecast_Wh_metrics_90d.json,[0.7164774459416046],[12.87332247592332],[0.9344621730980902],[1.0731275823812882],[-1.4163252620618745],[0.7546478476734482],[14.031838070999934],"[""2025-11-30T00:00:00""]",[5.85374],[0.13566951195129473],[0.1653422801410591]
120,260428_174002/120/forecast_Wh_metrics_120d.json,[2.341866151093504],[43.272164824274746],[2.869886565587647],[2.1742042056143878],[-18.352154025990156],[2.3661847406840777],[66.05376603887801],"[""2025-10-31T00:00:00""]",[6.54126],[0.42838988837692854],[0.5271945306445823]
30,260428_174002/30/forecast_Wh_metrics_30d.json,[0.6244930471777973],[10.834963415203976],[0.8735339095887316],[0.8399183974588285],[-1.3834591543926207],[0.7154177015404668],[11.730046905723597],"[""2026-01-29T00:00:00""]",[4.72749],[0.11436161254741796],[0.14024252550738223]
60,260428_174002/60/forecast_Wh_metrics_60d.json,[0.6261581521701777],[11.252097861304081],[0.8519347575787627],[0.838602796203818],[-1.2712202580666077],[0.6892288420648421],[12.070140359778971],"[""2025-12-30T00:00:00""]",[4.57906],[0.11765246639252674],[0.1437036086200542]
90,260428_174002/90/forecast_Wh_metrics_90d.json,[1.3122368080247855],[24.256165393445485],[1.711478381060002],[1.9654456972566725],[-6.2159606849563716],[1.3041084824075972],[28.52700597465289],"[""2025-11-30T00:00:00""]",[5.85374],[0.248480295252389],[0.2857283310319246]
120,260428_183500/120/forecast_Wh_metrics_120d.json,[2.0785346910471136],[38.017299961207364],[2.547181777728257],[1.929725515986417],[-11.971642322259035],[1.937231293153067],[50.706458026975874],"[""2025-10-31T00:00:00""]",[6.54126],[0.38021952871622283],[0.43162214884733197]
30,260428_183500/30/forecast_Wh_metrics_30d.json,[0.5317603333333333],[9.177753582949212],[0.7438204236861975],[0.7151965726823308],[-0.8625152113474657],[0.6324202084080645],[9.838003286444655],"[""2026-01-29T00:00:00""]",[4.72749],[0.09737973782667052],[0.12397262049579744]
60,260428_183500/60/forecast_Wh_metrics_60d.json,[0.5972899307300426],[10.617899372327907],[0.8126573942655283],[0.799940085932901],[-1.17290984546535],[0.6741470994242109],[11.46212526723152],"[""2025-12-30T00:00:00""]",[4.57906],[0.11222824977724193],[0.14055907851704127]
90,260428_183500/90/forecast_Wh_metrics_90d.json,[0.8740080967741937],[17.721062023515792],[1.1399207470426154],[1.3090742788704692],[-2.2204787861478916],[0.8712180446114742],[15.789233169106184],"[""2025-11-30T00:00:00""]",[5.85374],[0.16549893175632385],[0.19088264604503205]
120,260428_193506/120/forecast_Wh_metrics_120d.json,[0.8188698404548213],[14.90822317318091],[1.0035003721236844],[0.7602442394653192],[-1.4812194550901618],[0.8472597635606574],[16.347477921766124],"[""2025-10-31T00:00:00""]",[6.54126],[0.14979317216053306],[0.18877254413164102]
30,260428_193506/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260428_193506/60/forecast_Wh_metrics_60d.json,[1.3009456666666668],[23.758131983787962],[1.7700333810452225],[1.742334057290051],[-6.571677099580463],[1.2584323060892224],[27.34254910923415],"[""2025-12-30T00:00:00""]",[4.57906],[0.2444421841279561],[0.2623820312674386]
90,260428_193506/90/forecast_Wh_metrics_90d.json,[0.656716687446053],[13.358166023772993],[0.8565194987458612],[0.9836189472541609],[-0.9747070454925948],[0.6822098386464165],[12.188521354672549],"[""2025-11-30T00:00:00""]",[5.85374],[0.12435343635832836],[0.14947121442698744]
120,260428_204240/120/forecast_Wh_metrics_120d.json,[2.1786438353168065],[39.40660563279088],[2.669862524489943],[2.022667515421351],[-11.503699437720767],[1.9019682204456025],[50.644815697895986],"[""2025-10-31T00:00:00""]",[6.54126],[0.39853216589199764],[0.4237654085237836]
