category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
60,260505_043718/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
90,260505_043718/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
120,260505_044133/120/forecast_Wh_metrics_120d.json,[0.6275464715555407],[12.484953988381706],[0.7690393352148794],[0.5826183435109776],[-0.3736382451026108],[0.6304057711809253],[11.439024270920912],"[""2025-10-31T00:00:00""]",[6.54126],[0.11479501626319875],[0.14045668917519968]
30,260505_044133/30/forecast_Wh_metrics_30d.json,[0.7331473064323833],[12.756377514949149],[1.0255182756422159],[0.9860540697815429],[-2.1287247253717894],[0.8196708715271482],[13.981105289548262],"[""2026-01-29T00:00:00""]",[4.72749],[0.13425915400869534],[0.1606791568901404]
60,260505_044133/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
90,260505_044133/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
120,260505_044451/120/forecast_Wh_metrics_120d.json,[0.6275464715555407],[12.484953988381706],[0.7690393352148794],[0.5826183435109776],[-0.3736382451026108],[0.6304057711809253],[11.439024270920912],"[""2025-10-31T00:00:00""]",[6.54126],[0.11479501626319875],[0.14045668917519968]
30,260505_044451/30/forecast_Wh_metrics_30d.json,[0.7331473064323833],[12.756377514949149],[1.0255182756422159],[0.9860540697815429],[-2.1287247253717894],[0.8196708715271482],[13.981105289548262],"[""2026-01-29T00:00:00""]",[4.72749],[0.13425915400869534],[0.1606791568901404]
60,260505_044451/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
90,260505_044451/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
120,260505_044856/120/forecast_Wh_metrics_120d.json,[0.6275464715555407],[12.484953988381706],[0.7690393352148794],[0.5826183435109776],[-0.3736382451026108],[0.6304057711809253],[11.439024270920912],"[""2025-10-31T00:00:00""]",[6.54126],[0.11479501626319875],[0.14045668917519968]
30,260505_044856/30/forecast_Wh_metrics_30d.json,[0.7331473064323833],[12.756377514949149],[1.0255182756422159],[0.9860540697815429],[-2.1287247253717894],[0.8196708715271482],[13.981105289548262],"[""2026-01-29T00:00:00""]",[4.72749],[0.13425915400869534],[0.1606791568901404]
60,260505_044856/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
90,260505_044856/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
120,260505_045238/120/forecast_Wh_metrics_120d.json,[0.6275464715555407],[12.484953988381706],[0.7690393352148794],[0.5826183435109776],[-0.3736382451026108],[0.6304057711809253],[11.439024270920912],"[""2025-10-31T00:00:00""]",[6.54126],[0.11479501626319875],[0.14045668917519968]
30,260505_045238/30/forecast_Wh_metrics_30d.json,[0.7331473064323833],[12.756377514949149],[1.0255182756422159],[0.9860540697815429],[-2.1287247253717894],[0.8196708715271482],[13.981105289548262],"[""2026-01-29T00:00:00""]",[4.72749],[0.13425915400869534],[0.1606791568901404]
60,260505_045238/60/forecast_Wh_metrics_60d.json,[0.7713437482273056],[13.783023769415312],[1.0494705640713708],[1.0330473568951484],[-2.3463587011276603],[0.8366042419383696],[15.19784221957424],"[""2025-12-30T00:00:00""]",[4.57906],[0.14493222535052847],[0.17443125013923622]
90,260505_045238/90/forecast_Wh_metrics_90d.json,[0.5583894519225757],[10.55475276042426],[0.7282766870531047],[0.8363461068636696],[-0.44683366427986426],[0.5839503769848834],[10.625088573235542],"[""2025-11-30T00:00:00""]",[5.85374],[0.10573455570750961],[0.12794270482262288]
